algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,0,3.40716633793724,0.15639999508857727,2.2744839191436768,nan,1.1398376791477203,0.0,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,1,3.726471047042815,0.18140000104904175,2.2531189918518066,nan,1.1423221466541291,0.0,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,2,4.04577575614839,0.20739999413490295,2.227811813354492,nan,1.144680336713791,0.0,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,3,4.365080465253965,0.23479999601840973,2.200183153152466,nan,1.1444608726501464,0.0,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,4,4.68438517435954,0.26639997959136963,2.1729931831359863,nan,1.1426581625938415,0.0,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,5,5.003689883465115,0.2906999886035919,2.1528353691101074,nan,1.138976173877716,0.0,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,6,5.149844429965637,0.31849998235702515,2.1274335384368896,nan,1.1354197676181794,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,7,5.199580565668886,0.3531999886035919,2.094677686691284,nan,1.130643798828125,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,8,5.249316701372135,0.38839998841285706,2.0621678829193115,nan,1.1230335788726806,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,9,5.299052837075385,0.421999990940094,2.0309901237487793,nan,1.1150089609622955,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,10,5.3487889727786335,0.4624999761581421,1.9948337078094482,nan,1.1065145606994629,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,11,5.398525108481882,0.49719998240470886,1.958619475364685,nan,1.096016681432724,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,12,5.448261244185131,0.5297999978065491,1.9221926927566528,nan,1.0846500174999236,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,13,5.49799737988838,0.5519999861717224,1.889676570892334,nan,1.0727224113941192,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,14,5.547733515591629,0.5726999640464783,1.8674365282058716,nan,1.0618268964290618,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,15,5.597469651294878,0.5891000032424927,1.8402941226959229,nan,1.0543548719882965,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,16,5.647205786998127,0.613599956035614,1.8103591203689575,nan,1.04472536277771,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,17,5.696941922701376,0.6294999718666077,1.7837275266647339,nan,1.0343701982498168,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,18,5.746678058404624,0.6464999914169312,1.7544065713882446,nan,1.0244514033794403,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,19,5.796414194107873,0.6606000065803528,1.7262340784072876,nan,1.0138174896240235,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,20,5.846150329811122,0.677899956703186,1.691139578819275,nan,1.0031207300424576,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,21,5.895886465514371,0.6880999803543091,1.6651958227157593,nan,0.9898241410255432,0.0,3.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,0,0.7,0.0234,0.05,iid,1.0,99999,22,5.94562260121762,0.7035999894142151,1.6289876699447632,nan,0.9797148219347,0.0,3.0,nan,nan,0,0,0,0
