algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,0,2.0085048948333024,0.11729999631643295,2.3019237518310547,nan,1.1397561791539192,1.141916732788086,6.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,1,2.255098147312124,0.09009999781847,2.316779851913452,nan,1.1551003509759903,1.1436070966720582,6.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,2,2.400431065523688,0.06189999729394913,2.3392984867095947,nan,1.169489360153675,1.1219087219238282,5.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,3,2.4496653084249767,0.04519999772310257,2.3626368045806885,nan,1.182131981253624,1.087509800195694,5.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,4,2.4988995513262653,0.033900000154972076,2.4075558185577393,nan,1.1934575054049492,1.0459221160411836,5.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,5,2.548133794227554,0.027899999171495438,2.4670064449310303,nan,1.2062964698672294,1.000703029036522,5.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,6,2.5973680371288426,0.024399999529123306,2.5346877574920654,nan,1.2204633656144142,0.9520223551988601,5.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,7,2.646602280030131,0.02329999953508377,2.609344959259033,nan,1.2355497366189956,0.9042153221368789,5.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,8,2.6958365229314194,0.022699998691678047,2.6939990520477295,nan,1.2499674081802368,0.8553435206413269,5.0,nan,nan,0,0,0,0
cfl-fedavg,label_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,9,2.745070765832708,0.020499998703598976,2.79236102104187,nan,1.2647965800762178,0.8065676945447922,5.0,nan,nan,0,0,0,0
