algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,0,2.563096916045848,0.5934999585151672,2.0134072303771973,nan,1.1015877744555473,1.1018987727165221,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,1,2.8734654952718732,0.1850999891757965,12.004420280456543,nan,0.7666091799736023,0.7684897857904435,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,2,3.1838340744978986,0.3125,14.565055847167969,nan,1.3915341132879258,1.3905579733848572,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,3,3.303825288981192,0.1070999950170517,24.49173927307129,nan,2.021052224636078,2.0238050019741056,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,4,3.3578162040185737,0.2660999894142151,14.397929191589355,nan,1.961437261402607,1.9623558485507966,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,5,3.4118071190559554,0.18639999628067017,22.495559692382812,nan,1.8715173974633217,1.8712501096725465,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,6,3.4657980340933374,0.24650000035762787,16.150659561157227,nan,2.2473733711242674,2.24859708070755,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,7,3.519788949130719,0.21050000190734863,19.10846710205078,nan,1.8465183806419372,1.8479379177093507,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,8,3.5737798641681007,0.2622999846935272,14.404422760009766,nan,2.1214293640851976,2.121653175354004,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,9,3.6277707792054823,0.25779998302459717,5.8745198249816895,nan,1.5537348279356957,1.5523838663101197,4.0,nan,nan,0,0,0,0
