algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,0,2.563096916045848,0.7037000060081482,1.7202796936035156,nan,1.1397561791539192,1.1401636791229248,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,1,2.8734654952718732,0.12079999595880508,13.234490394592285,nan,0.5538059903681278,0.5524186933040619,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,2,3.1838340744978986,0.38419997692108154,8.713985443115234,nan,1.1396515038609505,1.1389980483055115,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,3,3.303825288981192,0.17579999566078186,11.274412155151367,nan,1.7170466890931129,1.716215193271637,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,4,3.3578162040185737,0.23839999735355377,11.19088077545166,nan,1.5316324079036712,1.53123996257782,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,5,3.4118071190559554,0.17639999091625214,14.063854217529297,nan,1.6534218037128448,1.653938353061676,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,6,3.4657980340933374,0.36980000138282776,10.259451866149902,nan,1.7457428595423699,1.7467602252960206,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,7,3.519788949130719,0.1979999989271164,13.551268577575684,nan,1.7259341198205949,1.7248605179786682,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,8,3.5737798641681007,0.2345999926328659,13.818229675292969,nan,1.7188764902949334,1.7182196128368377,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,9,3.6277707792054823,0.27719998359680176,5.214686870574951,nan,1.6473716330528259,1.6459332084655762,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,10,3.681761694242864,0.36319997906684875,3.992323398590088,nan,1.1473013216257095,1.150005054473877,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,11,3.7357526092802456,0.3228999972343445,2.2080962657928467,nan,1.174672458767891,1.173440911769867,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,12,3.789743524317628,0.2708999812602997,8.19493293762207,nan,0.8697603419423103,0.8700195550918579,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,13,3.8437344393550097,0.3060999810695648,9.406050682067871,nan,1.5602415946125985,1.5600286543369293,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,14,3.8977253543923913,0.23119999468326569,8.268707275390625,nan,1.7782155027985573,1.7777437663078308,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,15,3.951716269429773,0.30859997868537903,2.7824954986572266,nan,1.4463365963101387,1.4475295090675353,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,16,4.005707184467155,0.4088999927043915,1.8127154111862183,nan,0.7662825407087803,0.768517415523529,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,17,4.059698099504536,0.349700003862381,2.543048620223999,nan,0.5625670482218266,0.56347476541996,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,18,4.113689014541918,0.3046000003814697,2.73335862159729,nan,0.7877766187489033,0.7883144056797028,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,19,4.1676799295792994,0.13459999859333038,7.7044358253479,nan,0.8248036538064479,0.8247544372081757,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,20,4.221670844616681,0.3296999931335449,4.239092826843262,nan,1.255678983926773,1.2550248849391936,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,21,4.275661759654063,0.22599999606609344,3.345743179321289,nan,1.019585073441267,1.018073187470436,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,22,4.329652674691444,0.3146999776363373,7.365324974060059,nan,0.9857101863622666,0.9832632011175155,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,23,4.383643589728826,0.3511999845504761,3.0533792972564697,nan,1.3198123955726624,1.3174279129505158,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,24,4.437634504766208,0.31279999017715454,1.9917320013046265,nan,0.7134227184951305,0.7122950953245163,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,25,4.491625419803589,0.4048999845981598,1.8715622425079346,nan,0.3533762501180172,0.35027510702610015,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,26,4.545616334840971,0.34209999442100525,4.0356364250183105,nan,0.6044788578152657,0.6039975041151047,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,27,4.5996072498783525,0.26080000400543213,3.1063694953918457,nan,1.0323738312721253,1.030327605009079,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,28,4.653598164915734,0.19290000200271606,2.4192285537719727,nan,0.9547598601877689,0.9543041807413101,4.0,nan,nan,0,0,0,0
