algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,0,2.563096916045848,0.6541000008583069,8.449039459228516,nan,1.1397919197877249,1.1399063181877136,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,1,2.8734654952718732,0.0973999947309494,159.76052856445312,nan,1.1129506095250448,1.1109138292074203,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,2,3.1838340744978986,0.2775999903678894,43.98799133300781,nan,5.242836416562398,5.242634263038635,5.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,3,3.303825288981192,0.14459998905658722,18.389368057250977,nan,3.219873042901357,3.220155966281891,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,4,3.3578162040185737,0.10619999468326569,9.315814971923828,nan,1.7931592869758606,1.7924686056375503,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,5,3.4118071190559554,0.10949999839067459,12.297428131103516,nan,1.3051795045534769,1.3065535360574723,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,6,3.4657980340933374,0.1151999980211258,2.3897335529327393,nan,1.5260647817452748,1.5267641580104827,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,7,3.519788949130719,0.12429999560117722,2.2843093872070312,nan,0.12538058025141557,0.1250174431502819,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,8,3.5737798641681007,0.28769999742507935,2.8510377407073975,nan,0.250159514049689,0.2462230261415243,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,9,3.6277707792054823,0.20809999108314514,8.324369430541992,nan,0.7729225707054138,0.7720381662249565,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,10,3.681761694242864,0.17019999027252197,6.392788887023926,nan,1.2092246190706888,1.2096603864431381,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,11,3.7357526092802456,0.11349999904632568,2.391810178756714,nan,1.2991159137090047,1.2966850864887238,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,12,3.789743524317628,0.11349999904632568,2.322162389755249,nan,0.10841378698746364,0.10845210142433644,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,13,3.8437344393550097,0.11349999904632568,2.3030834197998047,nan,0.06054534168293079,0.06069181863218546,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,14,3.8977253543923913,0.11349999904632568,2.3010528087615967,nan,0.023967977622523905,0.024321315390989185,4.0,nan,nan,0,0,0,0
cfl-fedavg,scale,mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,15,3.951716269429773,0.11349999904632568,2.301006317138672,nan,0.012257805403011541,0.012796581112779678,4.0,nan,nan,0,0,0,0
