algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,0,2.0085048948333024,0.25669997930526733,2.1796116828918457,nan,1.1397561791539192,1.1401636791229248,6.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,1,2.255098147312124,0.40049999952316284,2.048956871032715,nan,1.1388642051815987,1.1394318735599518,6.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,2,2.400431065523688,0.538100004196167,1.9069386720657349,nan,1.1108835226297378,1.111172913312912,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,3,2.4496653084249767,0.6474999785423279,1.749601125717163,nan,1.0675165823101997,1.0678572487831115,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,4,2.4988995513262653,0.7142999768257141,1.6025886535644531,nan,1.0118135675787925,1.0119374752044679,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,5,2.548133794227554,0.758899986743927,1.4602200984954834,nan,0.9550576363503933,0.9554634255170822,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,6,2.5973680371288426,0.7900999784469604,1.321587085723877,nan,0.895554473400116,0.8951899659633636,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,7,2.646602280030131,0.8154000043869019,1.1887686252593994,nan,0.8338331884145737,0.8338168299198151,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,8,2.6958365229314194,0.8352999687194824,1.0621955394744873,nan,0.7700161129236222,0.7698654657602311,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,9,2.745070765832708,0.8463999629020691,0.9510241746902466,nan,0.7044140146672726,0.7042733025550842,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,10,2.7943050087339967,0.8569999933242798,0.8532468676567078,nan,0.6419000226259232,0.6417442691326142,5.0,nan,nan,0,0,0,0
cfl-fedavg,sign_flip,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,11,2.843539251635285,0.8639000058174133,0.7671254873275757,nan,0.5821065209805966,0.5819113433361054,5.0,nan,nan,0,0,0,0
