algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,0,2.0085048948333024,0.13244324656203388,2.3022732120752334,nan,4.750585014820099,4.750991859436035,6.0,nan,nan,0,0,0,10662
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,1,2.255098147312124,0.13673499677330256,2.3112444549798967,nan,4.749929124116898,4.7486162281036375,6.0,nan,nan,0,0,0,10964
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,2,2.400431065523688,0.14246624669060112,2.320386642217636,nan,4.750602160692215,4.752455816268921,5.0,nan,nan,0,0,0,11058
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,3,2.4496653084249767,0.14775074664503335,2.3311245930194855,nan,4.74950477719307,4.74997715473175,5.0,nan,nan,0,0,0,11600
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,4,2.4988995513262653,0.15182524623349308,2.346448294520378,nan,4.7508950102329255,4.750937232971191,5.0,nan,nan,0,0,0,10916
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,5,2.548133794227554,0.15691574612632395,2.36112268447876,nan,4.750328869819641,4.752702779769898,5.0,nan,nan,0,0,0,11580
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,6,2.5973680371288426,0.1607102461718023,2.3732822871208192,nan,4.750491474866867,4.74989761352539,5.0,nan,nan,0,0,0,10848
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,7,2.646602280030131,0.16422274602577092,2.3916760474443435,nan,4.7518062496185305,4.7509948968887326,5.0,nan,nan,0,0,0,11050
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,8,2.6958365229314194,0.16785549541935324,2.4119796270132063,nan,4.7499937760829924,4.753517665863037,5.0,nan,nan,0,0,0,11710
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,9,2.745070765832708,0.1706534956768155,2.4368423557281496,nan,4.750505808591843,4.751622986793518,5.0,nan,nan,0,0,0,11736
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,10,2.7943050087339967,0.17434674562886357,2.457771584391594,nan,4.749483366012573,4.748207421302795,5.0,nan,nan,0,0,0,11542
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,11,2.843539251635285,0.17737524529919027,2.482297885417938,nan,4.749777474403381,4.753701572418213,5.0,nan,nan,0,0,0,11890
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,12,2.8927734945365735,0.18123824514448642,2.497857555449009,nan,4.750161266326904,4.751604180335999,5.0,nan,nan,0,0,0,12078
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,13,2.942007737437862,0.18458299545571208,2.5171625566482545,nan,4.750041589736939,4.751994428634643,5.0,nan,nan,0,0,0,10552
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,14,2.991241980339151,0.18695099551230668,2.5393207240104676,nan,4.749886850118637,4.7522893810272215,5.0,nan,nan,0,0,0,10898
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,15,3.0404762232404394,0.18962524509057402,2.561314277052879,nan,4.751016172170639,4.750225820541382,5.0,nan,nan,0,0,0,10968
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,16,3.0897104661417276,0.194151245187968,2.577937718629837,nan,4.749973793029785,4.748452258110047,5.0,nan,nan,0,0,0,11810
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,17,3.1389447090430163,0.19686099492013454,2.604172654747963,nan,4.750371458530426,4.753290104866028,5.0,nan,nan,0,0,0,10802
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,18,3.188178951944305,0.1997472447156906,2.628082287311554,nan,4.750867550373077,4.749981622695923,5.0,nan,nan,0,0,0,11156
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,19,3.237413194845593,0.20220749489963055,2.653017619848251,nan,4.750919808149337,4.749982318878174,5.0,nan,nan,0,0,0,11270
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,20,3.2866474377468817,0.20476749485358595,2.6822886103391648,nan,4.751257456541062,4.752267866134644,5.0,nan,nan,0,0,0,11266
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,21,3.3358816806481704,0.20897599425166846,2.7045795756578443,nan,4.7507181894779205,4.750129647254944,5.0,nan,nan,0,0,0,10734
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,22,3.385115923549459,0.21146449455991387,2.722150685787201,nan,4.752243432998657,4.749472951889038,5.0,nan,nan,0,0,0,11346
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,23,3.4343501664507476,0.21508224442601204,2.748888337612152,nan,4.750668826103211,4.750147833824157,5.0,nan,nan,0,0,0,10944
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,24,3.4835844093520363,0.21793199477717282,2.7710681051015853,nan,4.749542170763016,4.751466612815857,5.0,nan,nan,0,0,0,11032
