algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,0,2.563096916045848,0.13582649676129221,2.2951582318544386,nan,4.2227558159828185,4.223117938041687,5.0,nan,nan,0,0,0,10662
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,1,2.8734654952718732,0.14121449636295438,2.296854313015938,nan,4.222173476219178,4.2210063648223874,5.0,nan,nan,0,0,0,10964
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,2,3.1838340744978986,0.14777449641376733,2.298091574311256,nan,4.222771631479263,4.224417719841004,5.0,nan,nan,0,0,0,11058
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,3,3.303825288981192,0.1535249960049987,2.300332258939743,nan,4.221794615983963,4.222217803001404,4.0,nan,nan,0,0,0,11600
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,4,3.3578162040185737,0.15842924589291216,2.3058493649959564,nan,4.223029963970184,4.223066992759705,4.0,nan,nan,0,0,0,10916
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,5,3.4118071190559554,0.1645534962415695,2.3097143882513045,nan,4.222527939081192,4.224640350341797,4.0,nan,nan,0,0,0,11580
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,6,3.4657980340933374,0.16907949576154352,2.31200264275074,nan,4.222671579122544,4.222143664360046,4.0,nan,nan,0,0,0,10848
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,7,3.519788949130719,0.17359024595469236,2.318328202366829,nan,4.2238416063785555,4.223121981620789,4.0,nan,nan,0,0,0,11050
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,8,3.5737798641681007,0.1780819953791797,2.325890512466431,nan,4.22223047375679,4.225364360809326,4.0,nan,nan,0,0,0,11710
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,9,3.6277707792054823,0.18143074549734592,2.3369647425413134,nan,4.222683447599411,4.223678708076477,4.0,nan,nan,0,0,0,11736
dp-fedavg,scale,mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,10,3.681761694242864,0.185726245585829,2.3446566438674927,nan,4.221775960922241,4.22064332485199,4.0,nan,nan,0,0,0,11542
