algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,0,2.563096916045848,0.1109339972337087,2.3323140652974446,nan,4.222133138974508,4.223863036632538,5.0,nan,nan,0,0,0,30800
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,1,2.8734654952718732,0.12688533016170064,2.3263129727045695,nan,4.221734646161397,4.22223219871521,5.0,nan,nan,0,0,0,31168
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,2,3.1838340744978986,0.13758233010768892,2.3204451139767963,nan,4.222304814656575,4.224284508228302,5.0,nan,nan,0,0,0,31306
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,3,3.303825288981192,0.14960532937198878,2.311340048313141,nan,4.220984619458516,4.223237242698669,4.0,nan,nan,0,0,0,31382
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,4,3.3578162040185737,0.15569166243076324,2.3069475531578063,nan,4.222714546521504,4.2235379314422605,4.0,nan,nan,0,0,0,31208
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,5,3.4118071190559554,0.16216066268583137,2.3070877893765767,nan,4.222500321070354,4.223597898483276,4.0,nan,nan,0,0,0,30866
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,6,3.4657980340933374,0.1701123293985923,2.2982105954488117,nan,4.222670162518819,4.222406361103058,4.0,nan,nan,0,0,0,31172
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,7,3.519788949130719,0.17729799536367258,2.2916884088516234,nan,4.224465023676554,4.2225382304191585,4.0,nan,nan,0,0,0,31048
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,8,3.5737798641681007,0.1807439951846997,2.2923354355494183,nan,4.221601152420044,4.224731731414795,4.0,nan,nan,0,0,0,31914
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,9,3.6277707792054823,0.18672732869784037,2.2913157765070595,nan,4.222509423891704,4.223472242355347,4.0,nan,nan,0,0,0,31738
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,10,3.681761694242864,0.1935089950511853,2.2882164243857064,nan,4.222012286186218,4.220843796730041,4.0,nan,nan,0,0,0,32034
dp-fedavg,scale,fashion_mnist,42,500,200,0.8,0.0234,0.05,iid,1.0,50,11,3.7357526092802456,0.2002566617478927,2.2868416595458982,nan,4.222003205617269,4.223848955631256,4.0,nan,nan,0,0,0,31680
