algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,0,2.563096916045848,0.13513349667191504,2.294217394590378,nan,4.220914783477784,4.224103878339132,5.0,nan,nan,0,0,0,50158
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,1,2.8734654952718732,0.1415359964221716,2.295611093044281,nan,4.221354131698608,4.222330691019694,5.0,nan,nan,0,0,0,51210
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,2,3.1838340744978986,0.1470914962887764,2.297186042070389,nan,4.221775739192963,4.2239846483866375,5.0,nan,nan,0,0,0,51100
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,3,3.303825288981192,0.15226599568501115,2.298073946237564,nan,4.221224389076233,4.222320931752523,4.0,nan,nan,0,0,0,51242
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,4,3.3578162040185737,0.156273995898664,2.303752683401108,nan,4.222381691932679,4.223471748034159,4.0,nan,nan,0,0,0,50968
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,5,3.4118071190559554,0.1605859963223338,2.308955147266388,nan,4.221695976257324,4.223789189656576,4.0,nan,nan,0,0,0,50564
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,6,3.4657980340933374,0.16648649547249078,2.3101462721824646,nan,4.222486619949341,4.222620468139649,4.0,nan,nan,0,0,0,50646
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,7,3.519788949130719,0.17157049603760244,2.316192669868469,nan,4.2249818348884585,4.222843785285949,4.0,nan,nan,0,0,0,51486
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,8,3.5737798641681007,0.17639799557626248,2.326183272600174,nan,4.222025105953216,4.223413678805033,4.0,nan,nan,0,0,0,51670
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,9,3.6277707792054823,0.17919499546289444,2.3404381823539735,nan,4.223473198413849,4.222489102681478,4.0,nan,nan,0,0,0,51628
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,10,3.681761694242864,0.18340799532830715,2.3534973180294037,nan,4.222105782032013,4.221183505058288,4.0,nan,nan,0,0,0,51156
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,11,3.7357526092802456,0.18658549539744854,2.362549002170563,nan,4.2220521473884585,4.223188751538594,4.0,nan,nan,0,0,0,51594
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,12,3.789743524317628,0.19246149517595768,2.3620586407184603,nan,4.222123990058899,4.222974936167399,4.0,nan,nan,0,0,0,50592
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,13,3.8437344393550097,0.19589699488133192,2.3681704819202425,nan,4.221557586193085,4.223313374519348,4.0,nan,nan,0,0,0,50896
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,14,3.8977253543923913,0.20015999492257833,2.3740107214450834,nan,4.223633415699005,4.221847893397014,4.0,nan,nan,0,0,0,50650
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,15,3.951716269429773,0.20387099493294955,2.3847313106060026,nan,4.223090283870697,4.222935341199239,4.0,nan,nan,0,0,0,50698
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,16,4.005707184467155,0.2089124944061041,2.3889966809749605,nan,4.2220205569267275,4.221881411870321,4.0,nan,nan,0,0,0,51270
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,17,4.059698099504536,0.2106714940443635,2.402005956172943,nan,4.221811888217926,4.223930948575338,4.0,nan,nan,0,0,0,50992
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,18,4.113689014541918,0.21370749402791261,2.4113260865211488,nan,4.223282425403595,4.222561182975769,4.0,nan,nan,0,0,0,51174
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,19,4.1676799295792994,0.2168924953043461,2.425661987066269,nan,4.223839466571808,4.222249131202698,4.0,nan,nan,0,0,0,50870
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,20,4.221670844616681,0.22075299423187972,2.4332324826717375,nan,4.2236283659935,4.223465871810913,4.0,nan,nan,0,0,0,51138
dp-fedavg,scale,mnist,42,500,300,0.8,0.0234,0.05,iid,1.0,50,21,4.275661759654063,0.22518399495631455,2.4443588733673094,nan,4.223200767040253,4.2224856996536255,4.0,nan,nan,0,0,0,50626
