algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,0,2.3572640629813235,0.13576819635927678,2.2969862031936645,0.0,4.486742582321167,0.0,6.0,0.0,0.0,39.79234027862549,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,1,2.4799159690257153,0.14243499648571015,2.298839367866516,0.0,4.485804095268249,0.0,5.0,0.0,0.0,39.791951974232994,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,2,2.5935097851286617,0.14873059646785258,2.3028323316574095,0.0,4.487040092468262,0.0,5.0,0.0,0.0,39.566044136329936,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,3,2.707103601231608,0.15516799610108137,2.306289472579956,0.0,4.485738386154175,0.0,5.0,0.0,0.0,39.64548642294748,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,4,2.8206974173345545,0.15978459592163563,2.3144715037345884,0.0,4.486971789360046,0.0,5.0,0.0,0.0,39.68100254352276,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,5,2.934291233437501,0.16583719600737096,2.3194679589271545,0.0,4.486878304481507,0.0,5.0,0.0,0.0,39.804341316223145,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,6,3.0478850495404473,0.17077559550106525,2.320837493896484,0.0,4.4864760694503785,0.0,5.0,0.0,0.0,39.469303998080164,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,7,3.1614788656433936,0.17533119569718839,2.327369191646576,0.0,4.487671310424805,0.0,5.0,0.0,0.0,39.81101476735082,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,8,3.27507268174634,0.17926939550042154,2.3355244789123537,0.0,4.486776239395142,0.0,5.0,0.0,0.0,39.616338927170325,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,9,3.388666497849286,0.18341239553689956,2.3462800960540773,0.0,4.486812392234802,0.0,5.0,0.0,0.0,39.83347532484267,0.0
