2026-05-04 16:01:10 | INFO    | dpfl | Experiment start: algorithm=dpsgd_kurtosis, dataset=mnist, model=mlp, device=cuda
2026-05-04 16:01:10 | INFO    | dpfl | Config: nodes=300, attackers=0, rounds=100, noise_mode=none, attack=scale
2026-05-04 16:01:10 | INFO    | dpfl.data.mnist_dataset | Loading MNIST dataset...
2026-05-04 16:01:10 | INFO    | dpfl.data.mnist_dataset | MNIST loaded: 60000 train, 10000 test samples
2026-05-04 16:01:43 | INFO    | dpfl.core.base_simulator | Vectorized state ready: param_spec.D=50890, X_test=(10000, 1, 28, 28), train clients N=300, max_n_samples=2000
2026-05-04 16:01:43 | INFO    | dpfl.core.base_simulator | Setup complete: 300 nodes (0 attackers), param_dim=50890, split=iid
2026-05-04 16:01:43 | DEBUG   | dpfl.core.base_simulator | Attacker IDs: set()
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=13, k=2, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=13, k=2, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=13, k=2, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=8, k=1, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=7, k=1, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=7, k=1, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=4, k=1, flagged=[61]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=8, k=1, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=13, k=2, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=13, k=2, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=13, k=2, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=13, k=2, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=13, k=2, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=16, k=3, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=16, k=3, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=15, k=3, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=15, k=3, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=15, k=3, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=15, k=3, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=16, k=3, flagged=[]
2026-05-04 16:01:44 | INFO    | dpfl.core.base_simulator | Round   1/100 | Acc: 0.5589 | Loss: 1.8956 | eps: 0.00 | P: 0.00 R: 0.00 F1: 0.00
2026-05-04 16:01:44 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['0.36', '0.37', '0.35', '0.36', '0.36'], attacker: []
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=23, k=4, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=23, k=4, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=25, k=5, flagged=[]
2026-05-04 16:01:44 | DEBUG   | dpfl.algorithms.trimmed_mean.trimmed_mean_aggregator | TrimmedMean: n=25, k=5, flagged=[]
