algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.38017298916975656,2.0955872495969134,nan,0.1751359083255132,0.17505748324096204,,nan,nan,0,0,0,30800,4.983853203909738,4.983839049339294,9.901476044941065,9.901447923900088,65.85714285714286,151.695
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5547793200612068,1.8903739953041077,nan,0.17950089951356252,0.1801270044595003,,nan,nan,0,0,0,31168,5.000520586967468,4.999791877269745,9.868579001826594,9.86714088571522,43.625,152.35
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6512259842952093,1.679781951904297,nan,0.18130752642949421,0.1823176334798336,,nan,nan,0,0,0,31306,5.026571528116862,5.025347037315369,9.854077486283312,9.851676997765114,50.13333333333333,152.77
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.7101003148158391,1.4799018442630767,nan,0.17619780952731767,0.17759077288210393,,nan,nan,0,0,0,31382,5.060848259925843,5.05839744091034,9.855351660656906,9.85057900555763,42.2,152.69
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.7511883163452149,1.299669655561447,nan,0.16707753509283066,0.16884942434728145,,nan,nan,0,0,0,31208,5.099101305007935,5.096436991691589,9.863865760384964,9.85871182691237,49.357142857142854,152.585
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.779563980102539,1.1454518298308054,nan,0.15469505901137987,0.15638880133628846,,nan,nan,0,0,0,30866,5.141229735480414,5.136920821666718,9.879278468210948,9.870998550438113,55.333333333333336,151.84
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7999363134304682,1.0189741027355195,nan,0.14036208088199298,0.14210128091275692,,nan,nan,0,0,0,31172,5.181756083170573,5.1777263617515565,9.890992800842305,9.883300824434086,45.93333333333333,152.415
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.8141313127676646,0.9180723631381988,nan,0.1260968862225612,0.12762850701808928,,nan,nan,0,0,0,31048,5.223214970694648,5.217434499263764,9.903883513428868,9.892923000406642,36.94444444444444,151.915
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.8245083127419154,0.838287489215533,nan,0.11316544733941555,0.11460142862051725,,nan,nan,0,0,0,31914,5.261521754057511,5.255259017944336,9.9102291613067,9.898433115797529,49.608695652173914,153.865
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.8324696451425553,0.7745817246039709,nan,0.10184065627555053,0.10334776900708675,,nan,nan,0,0,0,31738,5.297224124272664,5.290902523994446,9.911180339070144,9.899352536636442,54.94444444444444,153.745
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.8386059790849686,0.7236708591381709,nan,0.09224065045515696,0.0936882770434022,,nan,nan,0,0,0,32034,5.331214402851305,5.324295361042022,9.908499284243971,9.895639677476275,60.10526315789474,154.46
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.8440626466274261,0.6818888050317764,nan,0.08417099903027217,0.08571201574057341,,nan,nan,0,0,0,31680,5.363676044676039,5.355602781772614,9.902594067125735,9.887688945216077,53.5,153.585
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.8482379800081253,0.6476301548878352,nan,0.07749786163369815,0.07890326909720898,,nan,nan,0,0,0,30700,5.3922483270818535,5.384959602355957,9.889196920438923,9.875829651399915,39.0,151.355
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,13,0.0,0.8518439775705338,0.6189277714490891,nan,0.07182568232218424,0.07327552631497383,,nan,nan,0,0,0,30976,5.421495213228114,5.412566800117492,9.87676959505811,9.860503993840215,37.0,151.735
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,14,0.0,0.8551826453208924,0.5944391433397929,nan,0.06703397048016389,0.06855153452605009,,nan,nan,0,0,0,30632,5.447728951772054,5.438592557907104,9.858617997762341,9.842084095692499,42.55555555555556,151.245
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,15,0.0,0.8580069796244303,0.5735459121068319,nan,0.06289813087632258,0.06437214244157076,,nan,nan,0,0,0,31250,5.474614918231964,5.463184485435486,9.841444042195537,9.820896119387305,45.8125,152.585
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,16,0.0,0.8603516447544098,0.555434490442276,nan,0.059285635724663735,0.060925194919109346,,nan,nan,0,0,0,31002,5.498697020790794,5.486508281230926,9.819056183502958,9.79729067831293,53.09090909090909,152.09
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,17,0.0,0.8624216453234355,0.5397137242555619,nan,0.05622813211133083,0.0579783071577549,,nan,nan,0,0,0,31054,5.521474063396454,5.508711090087891,9.794216375260081,9.771576891538801,40.125,152.06
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,18,0.0,0.8644949783881505,0.5258532504240672,nan,0.053672184559206165,0.055376943834125995,,nan,nan,0,0,0,30858,5.546787083148956,5.529880537986755,9.773741688683408,9.743951433029752,35.0,151.49
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,19,0.0,0.8661226459344228,0.5136535805463791,nan,0.05117601584643126,0.05287649478763342,,nan,nan,0,0,0,31020,5.5651913556185635,5.550123462677002,9.741013979611639,9.714639943858337,53.81818181818182,152.14
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,20,0.0,0.8676863125960033,0.5027289981643359,nan,0.04903679298857848,0.050998207591474054,,nan,nan,0,0,0,30732,5.587249342600504,5.5695324754714965,9.714642458432623,9.683837849744487,32.333333333333336,151.235
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,21,0.0,0.8690609792868297,0.4929730806748072,nan,0.04718044526875019,0.04910571848973632,,nan,nan,0,0,0,30810,5.606924970944722,5.588173274993896,9.684076606074377,9.651689359763317,40.833333333333336,151.6
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,22,0.0,0.8703759789466858,0.4840514540672302,nan,0.04546325415372848,0.04750262081623077,,nan,nan,0,0,0,31378,5.626233201277883,5.606115636825561,9.65285770815172,9.618342255246441,43.68421052631579,152.74
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,23,0.0,0.8714733123779297,0.4761134336392085,nan,0.04386079091578722,0.046000969260931016,,nan,nan,0,0,0,30674,5.64623473240779,5.623418443202972,9.622807716533194,9.583922198266908,33.07692307692308,151.22
