algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.45778132110834124,1.9723681139945983,nan,0.2352038327852885,0.23516964085400105,,0.0,nan,0,30595,0,205,0.23025802629334585,0.5325348789989949
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5724346512556076,1.7053646536668141,nan,0.20451674366990724,0.2045826007425785,,0.0,nan,0,30953,0,215,0.1433942390140146,0.49583041593432425
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6217913158734639,1.4807927310466766,nan,0.1875772335131963,0.18994518883526326,,0.0,nan,0,31093,0,213,0.15602895853420098,0.48149618893861773
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.6509659830729166,1.3047918343544007,nan,0.1660664170483748,0.1691757395863533,,0.0,nan,0,31164,0,218,0.1232559752650559,0.4623942562937737
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.6730676498015722,1.1753492760658264,nan,0.14286964590350787,0.1469825628399849,,0.0,nan,0,30996,0,212,0.14786190340029343,0.4705794505774975
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.6907429824272792,1.0811051193873087,nan,0.12300093958775203,0.12781973961740734,,0.0,nan,0,30660,0,206,0.16573470709328023,0.4828546094894409
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7022313165664673,1.0108341765403748,nan,0.10725057408213616,0.1132203646376729,,0.0,nan,0,30960,0,212,0.13329629115760327,0.498823716044426
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.7101906484365463,0.9573155844211578,nan,0.09540892002483209,0.10254400305449962,,0.0,nan,0,30831,0,217,0.10730988666829136,0.5009677417576313
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.7165073158343633,0.9143197975556056,nan,0.0864158387730519,0.09572325684130192,,0.0,nan,0,31695,0,219,0.1429651088040808,0.5018679517507553
krum,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.7227806474765142,0.8790807322661082,nan,0.07922196313738823,0.08846681017428637,,0.0,nan,0,31523,0,215,0.1579979600177871,0.48099838092923164
