algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,0,0.0,0.4575837881565094,1.9725535604953766,nan,0.23519015601277352,0.0,,0.0,nan,0,101,0,15,0.022567340172827244,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,1,0.0,0.5720793846845627,1.706127673625946,nan,0.2043528224825859,0.0,,0.0,nan,0,189,0,21,0.02536190968627731,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,2,0.0,0.6218561840057373,1.4817133767604829,nan,0.18745049381256104,0.0,,0.0,nan,0,247,0,25,0.028451919486677205,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,3,0.0,0.6505783839225769,1.3056027600765228,nan,0.16599584338068962,0.0,,0.0,nan,0,282,0,26,0.02800232052270855,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,4,0.0,0.6736365826129913,1.1759796261787414,nan,0.1428987841308117,0.0,,0.0,nan,0,221,0,23,0.01968358174109688,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,5,0.0,0.6905759813785552,1.081835222005844,nan,0.12295701305568218,0.0,,0.0,nan,0,161,0,17,0.0173918989719823,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,6,0.0,0.7022489821910858,1.0114829108715058,nan,0.10729772134125233,0.0,,0.0,nan,0,164,0,18,0.01598493598232215,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,7,0.0,0.710786581158638,0.9574218589067459,nan,0.09550722414255142,0.0,,0.0,nan,0,294,0,26,0.018863951466206848,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,8,0.0,0.7172239829301834,0.9143319588899612,nan,0.08637699849903584,0.0,,0.0,nan,0,305,0,25,0.01957700568540343,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,9,0.0,0.7231079827547073,0.8791692026853561,nan,0.07925558266043663,0.0,,0.0,nan,0,229,0,25,0.014523392681170392,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,10,0.0,0.7278733813762664,0.8499796030521393,nan,0.0735634476095438,0.0,,0.0,nan,0,330,0,28,0.017909304959879767,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,11,0.0,0.7325115818977356,0.8249513038396835,nan,0.06876253223419189,0.0,,0.0,nan,0,316,0,26,0.01723468294367194,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,12,0.0,0.7365691810846329,0.8036084691286087,nan,0.06471474830806255,0.0,,0.0,nan,0,365,0,27,0.01959463839108745,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,13,0.0,0.7404837807416916,0.7847719694375992,nan,0.06122806411236525,0.0,,0.0,nan,0,262,0,24,0.015796289641272138,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,14,0.0,0.7437159811258316,0.7685947968959809,nan,0.0583542605638504,0.0,,0.0,nan,0,103,0,17,0.00850117969740596,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,15,0.0,0.7466275812387466,0.7545266115665435,nan,0.055997825518250464,0.0,,0.0,nan,0,179,0,21,0.011790703921376364,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,16,0.0,0.749395980834961,0.7417109109163285,nan,0.05391698922216892,0.0,,0.0,nan,0,213,0,21,0.01321527462763091,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,17,0.0,0.7521825820207596,0.7300080034732819,nan,0.05180275164544582,0.0,,0.0,nan,0,159,0,19,0.01034464327279817,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,18,0.0,0.7545197819471359,0.7200056332349777,nan,0.05004637239128351,0.0,,0.0,nan,0,201,0,21,0.011959821127517067,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,19,0.0,0.7569367798566818,0.7103556711673736,nan,0.04866413950920105,0.0,,0.0,nan,0,175,0,19,0.01039933269335465,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,20,0.0,0.7590099805593491,0.7018467726707458,nan,0.047214174367487434,0.0,,0.0,nan,0,271,0,25,0.013585141161456704,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,21,0.0,0.7609075808525085,0.6941962226629257,nan,0.046101780489087106,0.0,,0.0,nan,0,142,0,18,0.00904748673062949,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,22,0.0,0.762720181107521,0.6867966915369034,nan,0.04478370090574026,0.0,,0.0,nan,0,275,0,25,0.013697827201602715,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,23,0.0,0.7645057816505432,0.680339504480362,nan,0.04390087297558785,0.0,,0.0,nan,0,134,0,18,0.008399936814038526,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,24,0.0,0.7661005815267563,0.6741077004671097,nan,0.042847420044243335,0.0,,0.0,nan,0,128,0,18,0.008343633683398365,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,25,0.0,0.7676065804958343,0.6686147156953811,nan,0.04215861748158932,0.0,,0.0,nan,0,127,0,15,0.009258941404129329,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,26,0.0,0.7689563801288605,0.6631671770811081,nan,0.04144480319321155,0.0,,0.0,nan,0,164,0,20,0.010113078148358247,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,27,0.0,0.7704221795797348,0.6582959487438201,nan,0.04090005441009998,0.0,,0.0,nan,0,289,0,25,0.013462230151232619,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,28,0.0,0.7717511796951294,0.6537026077508926,nan,0.040249598741531376,0.0,,0.0,nan,0,267,0,25,0.012446412471709427,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,29,0.0,0.7730333806276322,0.6491912429332733,nan,0.03960108889639378,0.0,,0.0,nan,0,144,0,18,0.00860755116723123,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,30,0.0,0.7742337818145753,0.6450896583795548,nan,0.03875972732901573,0.0,,0.0,nan,0,364,0,30,0.014152282063150778,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,31,0.0,0.7752623797655106,0.6412729642391205,nan,0.03850609495490789,0.0,,0.0,nan,0,112,0,14,0.008093271870166063,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,32,0.0,0.7762689803838729,0.6377276102304459,nan,0.03829590277373791,0.0,,0.0,nan,0,204,0,20,0.009875760956977805,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,33,0.0,0.7773381811380387,0.6342914394140243,nan,0.037532118499279024,0.0,,0.0,nan,0,211,0,23,0.011354021336883307,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,34,0.0,0.7783589807748794,0.6309368649721145,nan,0.036981390547007324,0.0,,0.0,nan,0,525,0,37,0.016999404999966685,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,35,0.0,0.7791301814317704,0.6279511204957962,nan,0.036797480281442405,0.0,,0.0,nan,0,99,0,15,0.00811437372227802,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,36,0.0,0.7797801797389984,0.6252923825979233,nan,0.03617789128795266,0.0,,0.0,nan,0,264,0,24,0.012112492695450783,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,37,0.0,0.78073077917099,0.6227106745243073,nan,0.03589558142051101,0.0,,0.0,nan,0,141,0,17,0.008194053615443408,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,38,0.0,0.7813091796636581,0.6202085863351822,nan,0.035734167739748954,0.0,,0.0,nan,0,497,0,33,0.01660221832728869,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,39,0.0,0.7821593801975251,0.6175213729143143,nan,0.03527951214835048,0.0,,0.0,nan,0,179,0,21,0.009279996804569078,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,40,0.0,0.7828569809198379,0.6153309346437454,nan,0.03502930270880461,0.0,,0.0,nan,0,330,0,28,0.012303165222207705,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,41,0.0,0.7836177800893783,0.613024954199791,nan,0.03482714756950736,0.0,,0.0,nan,0,474,0,34,0.016850894392543548,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,42,0.0,0.7841405804157258,0.6111240092515945,nan,0.034426287356764076,0.0,,0.0,nan,0,165,0,21,0.008736740656035103,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,43,0.0,0.7849385795593262,0.6089230769872666,nan,0.034224648624658585,0.0,,0.0,nan,0,297,0,27,0.013158761639276454,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,44,0.0,0.7854981791973114,0.6071471252441406,nan,0.03421729739755392,0.0,,0.0,nan,0,407,0,31,0.014187315591808521,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,45,0.0,0.7859253797531128,0.605384162068367,nan,0.033549560513347385,0.0,,0.0,nan,0,262,0,26,0.012036528903990984,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,46,0.0,0.7868017801046372,0.6034168243408203,nan,0.03333569812402129,0.0,,0.0,nan,0,106,0,16,0.0061243679374456406,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,47,0.0,0.7870917803049088,0.6019444998502731,nan,0.032938066236674786,0.0,,0.0,nan,0,412,0,30,0.012882957488975742,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,48,0.0,0.7877209793329238,0.6003646926879883,nan,0.03304058497399092,0.0,,0.0,nan,0,131,0,17,0.006827978743240237,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,49,0.0,0.7881653805971146,0.5988944368362427,nan,0.032549142457544804,0.0,,0.0,nan,0,165,0,21,0.008226444457911632,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,50,0.0,0.7885379818677902,0.5975540673732758,nan,0.03248166557401419,0.0,,0.0,nan,0,210,0,22,0.008105676826089621,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,51,0.0,0.7889825804233551,0.5962226241827011,nan,0.03219968140125275,0.0,,0.0,nan,0,153,0,19,0.008101754906502638,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,52,0.0,0.7893377808332444,0.5950759966373443,nan,0.03228674677014351,0.0,,0.0,nan,0,147,0,17,0.0076294577503133384,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,53,0.0,0.7898229813575744,0.5938069068193436,nan,0.03178917319700122,0.0,,0.0,nan,0,176,0,20,0.009228570598431608,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,54,0.0,0.7901999804973602,0.5927870570421219,nan,0.03196123423799872,0.0,,0.0,nan,0,347,0,31,0.013508499367162585,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,55,0.0,0.7903557795286179,0.5918561811447144,nan,0.03163793269172311,0.0,,0.0,nan,0,99,0,13,0.005295227514579892,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,56,0.0,0.791085779428482,0.5902389321327209,nan,0.03154222782701254,0.0,,0.0,nan,0,59,0,13,0.004227274346963635,0.0
krum,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,57,0.0,0.7912009794712067,0.5896229442358017,nan,0.03117293519899249,0.0,,0.0,nan,0,294,0,24,0.01125432810346995,0.0
