algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,0,0.0,0.3806919901371002,2.09563382768631,nan,0.17510453829169273,0.0,,0.0,nan,0,103,0,13,0.026029866246972233,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,1,0.0,0.5553057870268822,1.8903257114887237,nan,0.17943986332416534,0.0,,0.0,nan,0,190,0,20,0.03111673581103484,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,2,0.0,0.6514735826253891,1.6796425237655639,nan,0.1813042829334736,0.0,,0.0,nan,0,249,0,23,0.03528790410470079,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,3,0.0,0.7098005830049515,1.4796224303245544,nan,0.1762869292497635,0.0,,0.0,nan,0,283,0,25,0.036920425216002126,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,4,0.0,0.7508875811100006,1.2993184671401978,nan,0.16719735425710677,0.0,,0.0,nan,0,221,0,23,0.029343974561645433,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,5,0.0,0.7796059800386429,1.1448975899219513,nan,0.1547536196410656,0.0,,0.0,nan,0,161,0,17,0.024745697807520627,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,6,0.0,0.7998219795227051,1.0185428879261016,nan,0.14043002372980118,0.0,,0.0,nan,0,163,0,19,0.020935057958757334,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,7,0.0,0.8142039794921875,0.9176540375947952,nan,0.1261138649880886,0.0,,0.0,nan,0,294,0,26,0.025452803113851053,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,8,0.0,0.8244479798078537,0.8378668650388718,nan,0.11315977515280247,0.0,,0.0,nan,0,302,0,28,0.02485157401654227,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,9,0.0,0.832617178440094,0.7742141755819321,nan,0.1018853972107172,0.0,,0.0,nan,0,229,0,25,0.01846493159731229,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,10,0.0,0.8387179803848267,0.7233255581855774,nan,0.092271617770195,0.0,,0.0,nan,0,331,0,27,0.021186777630880956,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,11,0.0,0.8442003804445267,0.6815779464244842,nan,0.0842622593343258,0.0,,0.0,nan,0,314,0,28,0.019538137254615624,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,12,0.0,0.8484263797998428,0.6472717859745025,nan,0.0775305884629488,0.0,,0.0,nan,0,364,0,28,0.021230232436209917,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,13,0.0,0.851944778084755,0.6185932562351227,nan,0.07187585005164146,0.0,,0.0,nan,0,260,0,26,0.01718239665583328,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,14,0.0,0.8552723797559738,0.5941885598897934,nan,0.06710958701372147,0.0,,0.0,nan,0,104,0,16,0.00902763076333536,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,15,0.0,0.858038777589798,0.5732878711223602,nan,0.06295413764566184,0.0,,0.0,nan,0,180,0,20,0.012189455411356428,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,16,0.0,0.8605253791809082,0.5550963951349258,nan,0.05938974011689425,0.0,,0.0,nan,0,212,0,22,0.013507019029930234,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,17,0.0,0.8626203771829605,0.5394391903877258,nan,0.056367154486477375,0.0,,0.0,nan,0,158,0,20,0.01052461289377375,0.0
