algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,0,0.0,0.4576815881729126,1.9727583255767822,nan,0.23519015601277352,0.0,,0.0,nan,0,1,0,115
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,1,0.0,0.5720205841064453,1.7062201168537139,nan,0.20434732133150102,0.0,,nan,nan,0,0,0,210
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,2,0.0,0.6218111839294433,1.481853976726532,nan,0.1874376600086689,0.0,,nan,nan,0,0,0,272
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,3,0.0,0.6508045840263367,1.3057189393043518,nan,0.16599703556299208,0.0,,nan,nan,0,0,0,308
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,4,0.0,0.6736291837692261,1.176021950006485,nan,0.14291071036458017,0.0,,nan,nan,0,0,0,244
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,5,0.0,0.6906275812387467,1.0818162956237793,nan,0.12295222114026547,0.0,,0.0,nan,0,2,0,176
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,6,0.0,0.7023927825689316,1.0114044822454453,nan,0.10729617339372635,0.0,,nan,nan,0,0,0,182
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,7,0.0,0.7108523811101913,0.957328263759613,nan,0.09547228413820266,0.0,,nan,nan,0,0,0,320
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,8,0.0,0.7172813825607299,0.9142720050811768,nan,0.08634373216331005,0.0,,nan,nan,0,0,0,330
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,9,0.0,0.723144782781601,0.8791177723407745,nan,0.07921909703314305,0.0,,nan,nan,0,0,0,254
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,10,0.0,0.7279417814016342,0.8498481501340867,nan,0.07353754559159278,0.0,,nan,nan,0,0,0,358
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,11,0.0,0.7325947812795639,0.824797694683075,nan,0.06867817547917367,0.0,,nan,nan,0,0,0,342
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,12,0.0,0.7365997813940048,0.8034889622926712,nan,0.06464293465763331,0.0,,0.0,nan,0,1,0,391
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,13,0.0,0.7405393807888031,0.7846500008106232,nan,0.06119340954720974,0.0,,nan,nan,0,0,0,286
trimmed-mean,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,14,0.0,0.743793180346489,0.7685021324157715,nan,0.05829254500567913,0.0,,nan,nan,0,0,0,120
