algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.4498612379655242,1.9795981550216675,nan,0.23502892007430395,0.23513522297143935,1000.0,nan,nan,0,0,0,10662,3.8468959828217826,1.5467345917224884,9.617239832878113,3.86683641910553,0.26351076997229567,0.26351076997229567,0.8668608720437221,0.8668417244656028,0.0,0.0,0.26351076997229567,5.551115123125783e-17,0.3,0.9996825498790645,0.9900623492448191
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.5646889846399427,1.7193300938606262,nan,0.2072062649224934,0.22997040122747422,1000.0,nan,nan,0,0,0,10964,3.366507787453501,1.7862432885169983,8.117029026934976,3.800090186595917,0.3021655892380524,0.30216558923805237,0.7158584365718133,0.8297847433542106,0.0,0.0,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990604305342677,0.9752786671075905
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.615521234050393,1.4986007407307624,nan,0.18923650309443474,0.2186744149029255,1000.0,nan,nan,0,0,0,11058,2.9432422518730164,1.8770917308330537,7.160362386703492,3.843447120189667,0.3441026623744499,0.3441026623744501,0.6117313888876786,0.7837817216947467,0.0,0.0,0.3441026623744499,5.551115123125783e-17,0.33,0.9984085708677902,0.958004600180978
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.6462727351486683,1.325402010679245,nan,0.16775756080945334,0.2004847440123558,1000.0,nan,nan,0,0,0,11600,2.241064332149647,1.8732399177551269,5.451390619631167,3.7314966821670534,0.38986963149288734,0.3898696314928873,0.5179333530496191,0.7308166768676052,0.0,0.0,0.38986963149288734,0.0,0.345,0.9971798085352235,0.9324172469429701
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.6695859828591346,1.1929540064930917,nan,0.14425633433792326,0.1806327959895134,1000.0,nan,nan,0,0,0,10916,2.210363248984019,1.7700117242336273,5.48914897441864,3.385129299163818,0.4422646815187023,0.44226468151870224,0.43044980786702614,0.6781281924725614,0.0,0.0,0.44226468151870235,1.1102230246251565e-16,0.36,0.9966701306746722,0.915983826136209
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.6871134829521179,1.0961210322380066,nan,0.1272343293660217,0.1575390711426735,1000.0,nan,nan,0,0,0,11580,1.8989867137538061,1.5820569241046905,4.4579258759816485,2.925633234977722,0.53157775151441,0.5315777515144101,0.38258042213187243,0.5977973044612664,0.0,0.0,0.53157775151441,1.1102230246251565e-16,0.375,0.9960762171276724,0.8902074361849052
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.699374483525753,1.0236864997446538,nan,0.11118299100134107,0.1337274406850338,1000.0,nan,nan,0,0,0,10848,1.8968641261259716,1.384909062385559,4.243575056393941,2.511799874305725,0.5589996222039592,0.558999622203959,0.34603719699856106,0.5129086256699729,0.0,0.0,0.5589996222039593,2.220446049250313e-16,0.39,0.9955199440487982,0.8785297925518695
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.7078044810891151,0.9687140364944935,nan,0.09789267283948985,0.11400551266968251,1000.0,nan,nan,0,0,0,11050,1.40922610597177,1.1888408946990967,3.25463820587505,2.110599277019501,0.5880046216568432,0.5880046216568432,0.2936135032602838,0.43251559048041704,0.0,0.0,0.5880046216568433,0.0,0.405,0.9946440226235094,0.8680638867607173
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.7143314817547798,0.9252697803080082,nan,0.08858712762594223,0.09968278221786023,1000.0,nan,nan,0,0,0,11710,1.413162182878565,1.024083309173584,2.7442817290623984,1.8370378017425537,0.6186656634250421,0.618665663425042,0.2791413701151824,0.3640335419440909,0.0,0.0,0.6186656634250423,0.0,0.42,0.9934162218595051,0.8464896075593193
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.7204762323200703,0.8892985722422599,nan,0.08139995951205492,0.08965162351727486,1000.0,nan,nan,0,0,0,11736,1.2409513369202614,0.8784906941652298,2.519088243444761,1.5704613053798675,0.6510644430024426,0.6510644430024426,0.26364784466475694,0.3077932707859723,0.0,0.0,0.6510644430024427,1.1102230246251565e-16,0.435,0.9925616214994515,0.8279055052387647
