algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.4566089887917042,1.9747460025548935,nan,0.23398345708847046,0.23519558623433112,1000.0,nan,nan,0,0,0,50158,0.8644608702548511,0.8671598970639104,0.0,0.0,2.0655025243759155,1.235191338857015,5.1637561321258545,3.087978301048279,0.26351076997229567,0.26351076997229567,0.26351076997229567,5.551115123125783e-17,0.3,0.9999804976837959,0.996254339713537
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.567041485607624,1.7171923047304154,nan,0.20594753821690878,0.22869478220740955,1000.0,nan,nan,0,0,0,51210,0.7094940792584717,0.8281163231537391,0.0,0.0,2.106303254763285,1.4072884766260783,5.2657579978307085,2.9776757033665975,0.3021655892380524,0.30216558923805237,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990638023601055,0.9767028528018608
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.6189649841189384,1.4962688225507736,nan,0.187522249089347,0.2129135369757811,1000.0,nan,nan,0,0,0,51100,0.6079698964291448,0.7765588270671244,0.0,0.0,1.733635041448805,1.4290128143628438,4.334087504280938,2.871816459496816,0.3441026623744499,0.3441026623744499,0.3441026623744499,5.551115123125783e-17,0.33,0.9986731209420492,0.9569104900659309
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.647337484061718,1.3245160800218583,nan,0.16730435299021856,0.19650995502869287,1000.0,nan,nan,0,0,0,51242,0.5174914781959413,0.7238647295281246,0.0,0.0,1.829171555382865,1.379919852813085,4.530025039400373,2.6910977594057717,0.38986963149288734,0.38986963149288734,0.38986963149288734,0.0,0.345,0.997265857024859,0.9373001510396755
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.6699839836359024,1.1927562439441681,nan,0.14528174036078983,0.17699867367744446,1000.0,nan,nan,0,0,0,50968,0.43441272862305674,0.6721297429733772,0.0,0.0,1.5612387657165527,1.3091906917095184,3.833988322152032,2.512340275446574,0.4422646815187023,0.44226468151870224,0.44226468151870235,1.1102230246251565e-16,0.36,0.9968945046966772,0.9181944737017457
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.6878359827399254,1.0954445308446885,nan,0.13397225737571716,0.1548756388326486,1000.0,nan,nan,0,0,0,50564,0.39876292964853777,0.5917014766981366,0.0,0.0,1.7564307649930317,1.1765307195981343,4.0348005294799805,2.176184433698654,0.53157775151441,0.53157775151441,0.53157775151441,1.1102230246251565e-16,0.375,0.9966913366807528,0.9083880091326235
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.6998949825763703,1.0228892782330512,nan,0.11087348205702645,0.13331707209348678,1000.0,nan,nan,0,0,0,50646,0.3380054962351675,0.5085459868111962,0.0,0.0,1.377618738583156,1.0333709170420964,3.2128427709851946,1.8709914485613506,0.5589996222039592,0.558999622203959,0.5589996222039593,2.220446049250313e-16,0.39,0.9963775434944316,0.8977884619622691
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.7081054824590683,0.9685106405615806,nan,0.09624911631856646,0.11560679691533247,1000.0,nan,nan,0,0,0,51486,0.2903579864925102,0.4334115344324185,0.0,0.0,1.0248256708894457,0.8966160611311594,2.410613621984209,1.6132821158568065,0.5880046216568432,0.5880046216568432,0.5880046216568433,0.0,0.405,0.9950623103020735,0.8734036165725055
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.7145879825949669,0.925202510356903,nan,0.08813830465078354,0.1001513749609391,1000.0,nan,nan,0,0,0,51670,0.2610409107586099,0.3675489716530556,0.0,0.0,0.9213344852129618,0.773945884903272,2.100575399398804,1.3817476411660512,0.6186656634250421,0.6186656634250421,0.6186656634250423,0.0,0.42,0.9936238554579466,0.8491563152661094
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.7209049814939499,0.8889054387807847,nan,0.08110751894613107,0.08932267501950264,1000.0,nan,nan,0,0,0,51628,0.2884307676362396,0.31284350888921814,0.0,0.0,0.9893135329087576,0.6619195046027502,1.8272139529387157,1.1695736281077067,0.6510644430024426,0.6510644430024427,0.6510644430024427,1.1102230246251565e-16,0.435,0.992895273008977,0.8311908473572134
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.7256914812326432,0.8590970465540886,nan,0.07409300451928919,0.08164166328807672,1000.0,nan,nan,0,0,0,51156,0.20429056904899232,0.2696839774715537,0.0,0.0,0.7457294735041532,0.571925810277462,1.735428430817344,1.0187625261147817,0.6852937746268957,0.6852937746268957,0.6852937746268957,0.0,0.44999999999999996,0.9920728683783683,0.8129605918978675
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.7303759813308716,0.8333837014436721,nan,0.07107458320947793,0.0757928981880347,1000.0,nan,nan,0,0,0,51594,0.22036343415180953,0.23648288263594916,0.0,0.0,0.7955788465646597,0.4939548220237096,1.524514024074261,0.8811244855324427,0.7214611380882578,0.7214611380882577,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9910555500374756,0.7978384807432579
