algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,0,0.2635107699722956,0.4484919883012772,1.981638562440872,nan,0.23639114666730165,0.0,1000.0,nan,nan,0,0,0,116,6.025212377309799,0.0,0.0,0.0,0.8712028442078881,0.0,0.26351076997229567,0.0,15.063030540943146,0.0,0.26351076997229567,5.551115123125783e-17,0.3,0.9996612421536414,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,1,0.30216558923805237,0.5611945846676827,1.7212103922367097,nan,0.20690763927996159,0.0,1000.0,nan,nan,0,0,0,210,4.484612276156743,0.0,0.0,0.0,0.7121437507826837,0.0,0.3021655892380525,0.0,10.980852921803793,0.0,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990514422724258,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,2,0.34410266237445,0.6134569844007493,1.501156417131424,nan,0.1905059461240415,0.0,1000.0,nan,nan,0,0,0,272,3.581664791813603,0.0,0.0,0.0,0.6158148666588669,0.0,0.3441026623744499,0.0,8.806114903202763,0.0,0.3441026623744499,5.551115123125783e-17,0.33,0.9982565890534455,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,3,0.38986963149288734,0.6435033841729164,1.3258854925632477,nan,0.1678832056266921,0.0,1000.0,nan,nan,0,0,0,308,2.9061400294303894,0.0,0.0,0.0,0.5176074048958058,0.0,0.38986963149288734,0.0,7.120516061782837,0.0,0.38986963149288734,0.0,0.345,0.9973573203736957,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,4,0.44226468151870224,0.6680349828004837,1.1943294765949248,nan,0.1440398796246602,0.0,1000.0,nan,nan,0,0,0,244,2.6141917613836436,0.0,0.0,0.0,0.43004941526582824,0.0,0.44226468151870235,0.0,6.494336990209726,0.0,0.44226468151870235,1.1102230246251565e-16,0.36,0.9966446078976959,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,5,0.5315777515144099,0.6852491818666459,1.0980266525745392,nan,0.12796454802155494,0.0,1000.0,nan,nan,0,0,0,178,2.6590775430202482,0.0,0.0,0.0,0.3878602887444967,0.0,0.53157775151441,0.0,6.189854598045349,0.0,0.53157775151441,1.1102230246251565e-16,0.375,0.9961294013998122,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,6,0.558999622203959,0.6980961827039719,1.025884208202362,nan,0.10894630612297491,0.0,1000.0,nan,nan,0,0,0,182,2.2496444149450823,0.0,0.0,0.0,0.3358423794791943,0.0,0.5589996222039593,0.0,5.094553123820912,0.0,0.5589996222039593,2.220446049250313e-16,0.39,0.9955943253037335,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,7,0.5880046216568433,0.706966781258583,0.9707760448455811,nan,0.09687655239269652,0.0,1000.0,nan,nan,0,0,0,320,1.6930572534429615,0.0,0.0,0.0,0.2862143844715633,0.0,0.5880046216568433,0.0,3.826052739702422,0.0,0.5880046216568433,0.0,0.405,0.9946590825722988,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,8,0.6186656634250423,0.7136543827056885,0.9268276513814926,nan,0.0890149677108074,0.0,1000.0,nan,nan,0,0,0,330,1.8472988605499268,0.0,0.0,0.0,0.28196510253618634,0.0,0.6186656634250423,0.0,3.6979644462980072,0.0,0.6186656634250423,0.0,0.42,0.9937146369872424,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,9,0.6510644430024428,0.719542782664299,0.8908247281312942,nan,0.08129380753746739,0.0,1000.0,nan,nan,0,0,0,254,1.9382110525060583,0.0,0.0,0.0,0.2710949672520098,0.0,0.6510644430024427,0.0,3.783378733528985,0.0,0.6510644430024427,1.1102230246251565e-16,0.435,0.9929857100086446,0.0
