algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.185395495146513,2.25060487985611,nan,0.04047817705820004,0.04165808539837599,1000.0,nan,nan,0,0,0,10662,1.6612945695718129,0.6846210014820099,0.26351076997229567,0.26351076997229567,0.6645178521672884,0.2738484063744545,0.0,0.0,0.14975431986971446,0.15406542487626657,0.26351076997229567,5.551115123125783e-17,0.3,0.999682369516807,0.989948395604054
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.23034674417227508,2.2136414891481397,nan,0.04024660528490418,0.041241710856556896,1000.0,nan,nan,0,0,0,10964,1.5892885327339172,0.6868478763103485,0.3021655892380524,0.30216558923805237,0.6534066200256348,0.32095929712057114,0.0,0.0,0.14494243462663992,0.14957699260964616,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990603413166463,0.9765021932482435
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.2753394928947091,2.177608879804611,nan,0.03978188894689083,0.04093523360788822,1000.0,nan,nan,0,0,0,11058,1.5579144686460495,0.7192167711257934,0.3441026623744499,0.3441026623744501,0.6368133172392845,0.3466107654571533,0.0,0.0,0.13947460095486208,0.14545601492973587,0.3441026623744499,5.551115123125783e-17,0.33,0.9984088127992212,0.9615553293883446
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.3175014915317297,2.142021606564522,nan,0.039575645631110226,0.040487798079848286,1000.0,nan,nan,0,0,0,11600,1.326107179677045,0.7484910565614701,0.38986963149288734,0.3898696314928873,0.5424500367155781,0.3651131325960159,0.0,0.0,0.13535951143673974,0.14144870825388403,0.38986963149288734,0.0,0.345,0.9971802985030426,0.9403497485244632
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.35636524103581907,2.1055086612701417,nan,0.03933396273189121,0.040184972994029525,1000.0,nan,nan,0,4,0,10912,1.4730825126171112,0.7073616480827332,0.4422646815187023,0.44226468151870224,0.5923356413841248,0.35989425987005236,0.0,0.04,0.1312916073374627,0.13770160526829012,0.44226468151870235,1.1102230246251565e-16,0.36,0.9966706757593621,0.9276704587031606
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.3909489905461669,2.0681812155246733,nan,0.039567149761650294,0.040019936598837375,1000.0,nan,nan,0,4,0,11576,1.3106125758753882,0.7045852607488632,0.53157775151441,0.5315777515144101,0.5466529594527351,0.35545177102088926,0.0,0.04,0.1288633224680365,0.1335403961245612,0.53157775151441,1.1102230246251565e-16,0.375,0.9960792294884575,0.9082289602392779
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.4209142395108938,2.030434678196907,nan,0.039442111220624715,0.0401734970882535,1000.0,nan,nan,0,5,0,10843,1.4480046927928925,0.6461505198478699,0.5589996222039592,0.558999622203959,0.6093683830565877,0.3358754232525826,0.0,0.05,0.12566631545149487,0.12986441488197487,0.5589996222039593,2.220446049250313e-16,0.39,0.9955270229232001,0.8992963381585344
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.446828239262104,1.9924752965569497,nan,0.03943011350929737,0.04022099185734987,1000.0,nan,nan,0,2,0,11048,1.3069543134082446,0.6222021812200547,0.5880046216568432,0.5880046216568432,0.5427377515218474,0.32161160200834277,0.0,0.02,0.12262699712952475,0.12651547642629185,0.5880046216568433,0.0,0.405,0.9946545985306485,0.8904069649793994
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.4699032383412123,1.9543547946214677,nan,0.04015191989364447,0.04028002705425024,1000.0,nan,nan,0,2,0,11708,1.193393173041167,0.6486838316917419,0.6186656634250421,0.618665663425042,0.5307250138786104,0.32355661392211915,0.0,0.02,0.12201612985396634,0.1235774980367795,0.6186656634250423,0.0,0.42,0.9934388083584552,0.8728735896748171
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.49127073906362057,1.915868464410305,nan,0.039962598433097206,0.04029713898897171,1000.0,nan,nan,0,1,0,11735,1.1598914712667465,0.6253385490179062,0.6510644430024426,0.6510644430024426,0.5025993827730417,0.3171020767092705,0.0,0.01,0.11905510301087084,0.12092462183688384,0.6510644430024427,1.1102230246251565e-16,0.435,0.9925928276390832,0.855466496460885
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.5101737374812365,1.8771267771720885,nan,0.039201344518611826,0.04019749458879232,1000.0,nan,nan,0,1,0,11541,1.2295578320821126,0.6236459374427795,0.6852937746268957,0.6852937746268958,0.5351203791797161,0.31494442343711854,0.0,0.01,0.11385710882999811,0.11838260377381477,0.6852937746268957,0.0,0.44999999999999996,0.9917124188328227,0.8381148603200531
