algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.37650365600983304,2.0984203012784324,nan,0.1750647212777819,0.17505748324096204,1000.0,nan,nan,0,0,0,30800,0.0,0.0,0.26351076997229567,0.26351076997229567,0.645082641693228,0.6452103106486561,1.5199516330446516,0.9585434252023697,3.7998791422162737,2.3963585090637207,0.26351076997229567,5.551115123125783e-17,0.3,0.9998714125813631,0.9873126323458761
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.543632986942927,1.9007354497909545,nan,0.1806474570184946,0.17985522478818894,1000.0,nan,nan,0,0,0,31168,0.0,0.0,0.30216558923805237,0.3021655892380524,0.6385741312613675,0.636245217465679,2.2913043946027756,1.1214202344417572,5.659525007009506,2.401562110185623,0.3021655892380525,1.1102230246251565e-16,0.315,0.9991295555669852,0.9733270828109699
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.6403426505128542,1.6972221839427948,nan,0.18254061043262482,0.18427311331033708,1000.0,nan,nan,0,0,0,31306,0.0,0.0,0.3441026623744499,0.3441026623744499,0.6130049965353529,0.6257317297982514,2.20129079023997,1.1963488900661468,5.454139963785807,2.463376466035843,0.3441026623744499,5.551115123125783e-17,0.33,0.9985558712436697,0.9557023290625198
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.6997059812148412,1.5049161028862,nan,0.17679483443498611,0.18452264823019504,1000.0,nan,nan,0,0,0,31382,0.0,0.0,0.38986963149288734,0.38986963149288734,0.5639733958570019,0.6110497724308875,2.0841851413249968,1.2228463074564935,5.0849318385124205,2.4628055727481843,0.38986963149288734,0.0,0.345,0.9973513868004529,0.9379182000557911
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.7424673163890838,1.327269167105357,nan,0.16711098168577468,0.18146902985870839,1000.0,nan,nan,0,0,0,31208,0.0,0.0,0.44226468151870224,0.4422646815187023,0.5101016749228615,0.5925417333287831,1.9778289794921875,1.2136009693145753,4.903170619692121,2.411817885041237,0.44226468151870235,1.1102230246251565e-16,0.36,0.9969188655878711,0.9187962206294862
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.7724433139959971,1.1717295630772908,nan,0.1607090946700838,0.17520476177334784,1000.0,nan,nan,0,0,0,30866,0.0,0.0,0.53157775151441,0.53157775151441,0.4819636751876517,0.5699517999310285,2.26080858707428,1.1639545926451682,5.350962267981635,2.252374770641327,0.53157775151441,1.1102230246251565e-16,0.375,0.9967502916308841,0.9078700238312404
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.7941213136911393,1.0437459907929103,nan,0.14287352164586384,0.16715352676808834,1000.0,nan,nan,0,0,0,31172,0.0,0.0,0.558999622203959,0.5589996222039592,0.42170335212718263,0.5388843891322778,1.7838401357332865,1.1196603325009347,4.261350154876709,2.160489445924759,0.5589996222039593,2.220446049250313e-16,0.39,0.9961289025196017,0.892882158393269
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.809402980208397,0.9415407351652781,nan,0.12740735958019891,0.15867962934076785,1000.0,nan,nan,0,0,0,31048,0.0,0.0,0.5880046216568432,0.5880046216568432,0.3670942085747725,0.5017262655785727,1.5753317011727228,1.040763458609581,3.7850270668665567,1.9705084758996962,0.5880046216568433,0.0,0.405,0.9950616874411747,0.8813072616293416
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.8198829795916875,0.8610011718670527,nan,0.11736269910698352,0.14751499719917774,1000.0,nan,nan,0,0,0,31914,0.0,0.0,0.6186656634250421,0.6186656634250421,0.3405339785185924,0.4611883576695828,1.406764364760855,0.9680478686094284,3.084495326747065,1.831391866207123,0.6186656634250423,0.0,0.42,0.9935151292836657,0.8603960502117262
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.828156312306722,0.7950029975175857,nan,0.10634804517030716,0.1336302737891674,1000.0,nan,nan,0,0,0,31738,0.0,0.0,0.6510644430024427,0.6510644430024426,0.33230383443325995,0.4193717024031825,1.403195599714915,0.890287899672985,3.0254664619763694,1.6695044243335724,0.6510644430024427,1.1102230246251565e-16,0.435,0.992711021113905,0.8406443016962053
