algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,0,0.2635107699722956,0.3751015901863575,2.099936162471771,nan,0.17456878535449505,0.0,1000.0,nan,nan,0,0,0,116,0.26351076997229567,0.0,0.6435787789542289,0.0,0.0,0.0,4.449929893016815,0.0,11.12482464313507,0.0,0.26351076997229567,5.551115123125783e-17,0.3,0.9996612142953527,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,1,0.30216558923805237,0.5415127876698971,1.9024480509757995,nan,0.17909184594949087,0.0,1000.0,nan,nan,0,0,0,210,0.3021655892380525,0.0,0.6324988321717719,0.0,0.0,0.0,3.975729356209437,0.0,9.793628573417664,0.0,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990518074572386,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,2,0.34410266237445,0.6356823832392693,1.6996701140403747,nan,0.18120855700086663,0.0,1000.0,nan,nan,0,0,0,272,0.3441026623744499,0.0,0.6069314804817948,0.0,0.0,0.0,3.5305855097594083,0.0,8.715971363915337,0.0,0.3441026623744499,5.551115123125783e-17,0.33,0.9982575530812015,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,3,0.38986963149288734,0.6948049837350845,1.5064300634860992,nan,0.1773665307887963,0.0,1000.0,nan,nan,0,0,0,308,0.38986963149288734,0.0,0.5660477995581953,0.0,0.0,0.0,3.171119110924857,0.0,7.800791570118496,0.0,0.38986963149288734,0.0,0.345,0.9973586698713072,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,4,0.44226468151870224,0.7388851809501648,1.3299248445034026,nan,0.16788519059236234,0.0,1000.0,nan,nan,0,0,0,244,0.44226468151870235,0.0,0.5114550329374775,0.0,0.0,0.0,3.1083878370431752,0.0,7.728872299194336,0.0,0.44226468151870235,1.1102230246251565e-16,0.36,0.9966460694785704,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,5,0.5315777515144099,0.7692379803657532,1.1752155377864837,nan,0.1588393710553646,0.0,1000.0,nan,nan,0,0,0,178,0.53157775151441,0.0,0.4739637846614947,0.0,0.0,0.0,3.2419447898864746,0.0,7.674745655059814,0.0,0.53157775151441,1.1102230246251565e-16,0.375,0.9961327385027884,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,6,0.558999622203959,0.7913917804956436,1.0470611844062805,nan,0.1437194442207163,0.0,1000.0,nan,nan,0,0,0,182,0.5589996222039593,0.0,0.42025115964487936,0.0,0.0,0.0,2.805549480698325,0.0,6.57608303156766,0.0,0.5589996222039593,2.220446049250313e-16,0.39,0.9956006238115935,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,7,0.5880046216568433,0.8066513798236847,0.9446244424581528,nan,0.12859831390709714,0.0,1000.0,nan,nan,0,0,0,320,0.5880046216568433,0.0,0.3667621416602626,0.0,0.0,0.0,2.146504352832663,0.0,4.975136625355687,0.0,0.5880046216568433,0.0,0.405,0.9946677728307183,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,8,0.6186656634250423,0.8175113795995712,0.8629854832887649,nan,0.11750050711220708,0.0,1000.0,nan,nan,0,0,0,330,0.6186656634250423,0.0,0.3431120659770274,0.0,0.0,0.0,2.187028712239759,0.0,4.669703417810901,0.0,0.6186656634250423,0.0,0.42,0.9937287203836124,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,9,0.6510644430024428,0.825939378619194,0.7972112052440643,nan,0.10610111057758331,0.0,1000.0,nan,nan,0,0,0,254,0.6510644430024427,0.0,0.32265196693487813,0.0,0.0,0.0,2.2461925171039723,0.0,4.66481966442532,0.0,0.6510644430024427,1.1102230246251565e-16,0.435,0.9930039594016905,0.0
