algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.23904768922901146,0.3795479893684387,2.0957843486467995,nan,1.6909120423453194,1.6915872639417648,1000.0,0.0,nan,0,30595,0,205,5.607153347560337,5.584101989269256,676.364972795759,676.634875793457,1.0,1.0,0.0055777794153436,0.23904768922901148,3864.2998729266524,3866.9384874170228,3.0,3.0,676.364972795759,676.634875793457,3.0,3.0,0.09896574334081075,0.11774257472746642,1.0,3.0,280.1230599365234,1600.8755931877822
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.24858530860204994,0.5513806534806888,1.891652110417684,nan,1.836123287677765,2.940787452459335,1000.0,0.0,nan,0,30955,0,213,5.547703355550766,8.993437690734863,677.434383392334,742.7900750732422,0.9877343624830246,0.8915267190337182,0.016811231237766924,0.24771456668420958,3735.387798794505,4026.1760454668,3.006580278401031,3.2923313626081865,677.434383392334,742.7900750732422,3.006580278401031,3.2923313626081865,0.10917256541634399,0.12267469241510519,0.8986532111410741,3.2711646156298793,318.79393029785155,1730.002827748144
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.2576013541631095,0.6473876503109932,1.6817324682076773,nan,1.8405191421508789,4.335872836112976,1000.0,0.0,nan,0,31094,0,212,5.452949396769205,10.366613636016845,667.1696044921875,730.4802261352539,0.9940817435582479,0.8985814222693443,0.028039958332175534,0.2567566466510625,3637.445770709384,3705.371392814441,2.9579992212577486,3.2388270859410055,667.1696044921875,730.4802261352539,2.9579992212577486,3.2388270859410055,0.11952663365973032,0.126993197388155,0.9052442353825236,3.219234444218919,312.2071785888672,1591.2719302470582
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.26755210040626043,0.706715981165568,1.481974209547043,nan,1.787057912349701,5.6448725938796995,1000.0,0.0,nan,0,31166,0,216,5.301181054115295,11.520766236782073,659.7699890136719,722.8815905761719,0.9955023974180222,0.8994951766729354,0.04255366884282333,0.2660751412762191,3745.5793176836582,3387.9925435445034,2.924430635657594,3.2039399713390195,659.7699890136719,722.8815905761719,2.924430635657594,3.2039399713390195,0.13196225781618165,0.13059733118954778,0.9082231058315797,3.1785300317316176,315.5434357910156,1505.0201901251476
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.2775402461699613,0.748742649157842,1.301071397860845,nan,1.729310291154044,7.000136249065399,1000.0,0.0,nan,0,31001,0,207,5.206583329609463,23.724227843284606,650.7122628348214,706.1045892333984,0.9981329611369542,0.9146473720669747,0.053085753975749765,0.27600462297075073,3909.2571024275867,3052.3501807282523,2.8877498111232742,3.1283860280228146,650.7122628348214,706.1045892333984,2.8877498111232742,3.1283860280228146,0.14225330157375016,0.13387683324800315,0.9201090461182817,3.1126434717770497,300.6617790527344,1330.3992711592737
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.2881665924728135,0.7773283139864604,1.147271865606308,nan,2.3886440992355347,8.065840170383453,1000.0,0.0,nan,0,30663,0,203,5.159038013882107,22.409367492198943,658.9607815212673,708.3079721069336,0.9759960042105781,0.8999784117937089,0.05732995409065307,0.2859069430017889,4186.6327508211825,2734.271984669212,2.92218819480361,3.139118706863495,658.9607815212673,708.3079721069336,2.92218819480361,3.139118706863495,0.1487607496551074,0.13749217832990113,0.9032518966346266,3.1297772015594805,295.18448291015625,1169.0681833824663
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.30002998967019034,0.7971729805072149,1.0213777232170105,nan,2.0158219655354817,9.182679784297942,1000.0,0.0,nan,0,30963,0,209,5.03515625,26.109939501285552,656.5271565755208,701.2609979248047,0.9709792335828146,0.8997674104571343,0.06680944393689527,0.29619229373229644,4672.1418481913115,2328.632765719448,2.90728578640016,3.1084800945750817,656.5271565755208,701.2609979248047,2.90728578640016,3.1084800945750817,0.15856258385505573,0.14056136041506773,0.9047356771868329,3.09444328237683,300.2002138671875,1071.6173617335185
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.31344364784318823,0.8116606463988622,0.9209654271602631,nan,1.8473883602354262,10.386855692863465,1000.0,0.0,nan,0,30833,0,215,4.915333482954237,27.9914453291893,648.9822930230034,686.3827291870117,0.971990191274219,0.9121679198741913,0.07979550614314328,0.3073563943487676,5154.556154883382,1944.5183645523234,2.8755299773758423,3.042863725814209,648.9822930230034,686.3827291870117,2.8755299773758423,3.042863725814209,0.17081986142539302,0.1434690864778141,0.9171073734760284,3.0290471777780135,297.9164542236328,963.3713673967313
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.33057185840083925,0.8214319789409638,0.8423780562480291,nan,2.1405312911323877,11.546725187301636,1000.0,0.0,nan,0,31697,0,217,4.834359542183254,31.206198666095734,659.7046004585598,672.5260943603515,0.9443952726281207,0.9230607289075852,0.09358044328440167,0.3199289986204626,5777.603346702432,1629.5678966097412,2.9233379374799697,2.98242073563335,659.7046004585598,672.5260943603515,2.9233379374799697,2.98242073563335,0.18411986541882608,0.14708305831483845,0.9252611526993892,2.9763269941197725,299.3568493652344,917.5969125922082
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.36321204620790815,0.8294209782282511,0.7791221924622853,nan,2.279320332739088,12.589744114875794,1000.0,0.0,nan,0,31524,0,214,4.703439977433947,30.36085339784622,667.0972866482205,663.2626776123047,0.9206600983937582,0.9273966366052627,0.10329141950782818,0.33467361273010954,6482.320971442493,1394.3315296852231,2.95932718675657,2.9408569896997743,667.0972866482205,663.2626776123047,2.95932718675657,2.9408569896997743,0.1958442967967407,0.15212386944160938,0.9268404086795422,2.9423820518420785,289.3205733642578,791.096166846019
