algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.6313603477891995,0.3799953225255013,2.095615855852763,nan,1.0145470585141863,1.014952376484871,1000.0,0.0,nan,0,30595,0,205,2.018575532095773,2.0102767789363862,2318.5798444687107,2320.163013919169,1.8000000000000003,1.8000000000000005,405.8189697265625,405.9809117126465,1.0,1.0,405.8189697265625,405.9809117126465,1.8000000000000003,1.8000000000000005,0.014731741448414656,0.6313603477891994,0.26138318398472854,0.31097557633494644,1.0,1.8000000000000007,168.07383026123046,960.5253233902295
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.6721597360289637,0.5531229870518048,1.8908909447987874,nan,1.107954017817974,1.814121932387352,1000.0,0.0,nan,0,30955,0,213,1.9971729964017868,3.3721124589443208,2239.383593660188,2393.201569064431,1.79829076631161,1.9306951944394877,405.1886501312256,435.58781463623046,0.9909089505672455,0.9166116645932197,405.1886501312256,435.58781463623046,1.79829076631161,1.9306951944394877,0.04623287183544263,0.6488750189218231,0.2872897306699948,0.3228237222018356,0.9221151672579624,1.9208874590226077,187.2011626586914,1028.9409026228984
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.7190377018691071,0.649321651061376,1.6805680700143177,nan,1.1105751434961955,2.7062036967277527,1000.0,0.0,nan,0,31093,0,213,1.9630618572235108,3.972346813082695,2185.0976590182067,2235.3165473219765,1.7709825666221972,1.8795043913702394,399.43959757486977,423.8993312072754,0.9962451179822286,0.9347372785210609,399.43959757486977,423.8993312072754,1.7709825666221972,1.8795043913702394,0.07990266307197931,0.6781057859918905,0.3191839122399438,0.3390797115805863,0.9390285231346308,1.8719331012715388,181.54292041015626,959.6795486993368
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.7571456477801017,0.7086443144083023,1.4806582287947336,nan,1.0747840851545334,3.539814016819,1000.0,0.0,nan,0,31167,0,215,1.9084248125553132,4.41442042350769,2246.50535305229,2148.8064803092425,1.7523614710282829,1.8514343198442833,395.34569091796874,417.72626739501953,0.9968173205852509,0.9401006171107292,395.34569091796874,417.72626739501953,1.7523614710282829,1.8514343198442833,0.12494096088939571,0.7242213115762586,0.36465310116414085,0.36072480027960696,0.9452566810629585,1.8424276972246467,182.90433459472655,949.3828062457886
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.7853109259292599,0.7501553163925807,1.3001588491598766,nan,1.0375860674040658,4.328059136867523,1000.0,0.0,nan,0,31001,0,207,1.874369842665536,10.363556264042854,2345.554310727668,2089.522142120412,1.7326499013998962,1.8288356782128352,390.4273659842355,412.78568572998046,0.998132952622005,0.9425156232714653,390.4273659842355,412.78568572998046,1.7326499013998962,1.8288356782128352,0.1573540765305951,0.7746211124046022,0.40426089088019795,0.3801492126648736,0.9461541401448651,1.8225431507577832,176.04624053955078,901.4843775485394
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.7965173241807068,0.7786283133427302,1.1462827324867249,nan,1.4493645628293355,4.984826905727386,1000.0,0.0,nan,0,30662,0,204,1.8572529819276598,9.333897383213044,2516.0324898401345,2063.0278936743894,1.740959204197776,1.8371972994187473,392.59095594618054,414.54173583984374,0.9832110603650411,0.9270042115449906,392.59095594618054,414.54173583984374,1.740959204197776,1.8371972994187473,0.1699754079940609,0.7882299185304532,0.41727721220861774,0.3846983249975106,0.9294246021640358,1.833053075222629,172.88333154296876,870.4997422868781
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.8083037683443628,0.7986513127883276,1.0200988680124283,nan,1.2173487464586894,5.604674484729767,1000.0,0.0,nan,0,30963,0,209,1.8126559416453043,12.276420553922653,2799.350084487821,1970.0154523099284,1.7386265183191452,1.8387944180156353,392.6175842285156,414.8244734191895,0.9743682344754537,0.915278269648552,392.6175842285156,414.8244734191895,1.7386265183191452,1.8387944180156353,0.1976394915215749,0.8005063564565765,0.4387862374955755,0.38710608907335886,0.9194008253341497,1.8318059598972753,177.70831689453124,871.986683458606
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.8211634930286869,0.813031646211942,0.9194256607691447,nan,1.1132649812433455,6.264987659454346,1000.0,0.0,nan,0,30833,0,215,1.7695197727945116,11.962026506662369,3092.2877735031984,1796.2468326869084,1.721036760556098,1.817645806774704,388.4205898708767,410.01030838012696,0.9745411078135172,0.916977778673172,388.4205898708767,410.01030838012696,1.721036760556098,1.817645806774704,0.23283120028494167,0.8130743068869859,0.4649284429257593,0.3875911974857623,0.9217307141067785,1.809668913050232,177.98726458740234,829.8210929208785
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.8345131522249446,0.8231546455621719,0.8401129227876664,nan,1.2984342419582864,6.9538462805747985,1000.0,0.0,nan,0,31697,0,217,1.7403697449228037,13.513827028274536,3466.7101248954664,1571.1732987782261,1.7428198953734928,1.7837495180824907,393.30233101222825,402.2243228149414,0.9511254144751508,0.92649289727211,393.30233101222825,402.2243228149414,1.7428198953734928,1.7837495180824907,0.26584574452350734,0.8263558895814098,0.49004980254666836,0.38730647508146043,0.9290334707952935,1.7795280771752848,178.98163635253906,787.937985256482
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.8493557008351005,0.8311739786465963,0.7766427055994669,nan,1.3816633058918848,7.576795043945313,1000.0,0.0,nan,0,31525,0,213,1.6932384769121807,9.586884148716926,3895.241339823388,1370.0294622921779,1.765141568532072,1.7598802759086039,397.9020300971137,396.91588668823243,0.9270152714517381,0.9302134776115417,397.9020300971137,396.91588668823243,1.765141568532072,1.7598802759086039,0.2863612935010752,0.8397149414684031,0.5077027526880064,0.3882631025910604,0.9299494055433011,1.7603146945655874,173.09082775878906,688.240473150513
