algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,5.194253122102357,0.38010598927736283,2.0955694699287415,nan,0.33831140398979187,0.338446871638298,1000.0,0.0,nan,0,30595,0,205,135.32463945661272,135.37864288330078,0.22445744701794215,0.22353487469255925,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.6002290721471661,773.1550394080994,773.6829762349688,135.32463945661272,135.37864288330078,0.12119923951572166,5.194253122102358,1.0,1.0,2.150420792550376,2.5584214528700366,1.0,0.6002290721471663,56.046002105712894,320.29736104570094
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,5.641076522017706,0.5540819869438807,1.890466296672821,nan,0.3735542204231024,0.6138263893127441,1000.0,0.0,nan,0,30955,0,213,135.24486351013184,135.4183243560791,0.22656374517828226,0.3853172428905964,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.6002290721471661,748.9651037445149,752.5350098882644,135.24486351013184,135.4183243560791,0.3665765412132673,5.641076522017706,0.9926520138978958,0.9300782737135888,2.476376533535043,2.7836655799926144,0.9347133655790929,0.6002290721471661,58.49516537475586,324.98088727513027
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,6.060769043005112,0.6504819840192795,1.6799213647842408,nan,0.3780340751012166,0.9316412502527237,1000.0,0.0,nan,0,31093,0,213,135.37906494140626,135.37435775756836,0.22719308137893676,0.47618380457162857,0.6002290721471663,0.6002290721471661,0.6002290721471663,0.6002290721471661,742.4393701027246,740.8533266141354,135.37906494140626,135.37435775756836,0.6103739953146687,6.06076904300511,0.9977426131566366,0.9650116193294526,2.790532014390845,2.970506099627848,0.9672951770383258,0.6002290721471663,58.21111505126953,318.61451174873594
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,6.480461563992518,0.7095579812924068,1.4800530993938446,nan,0.3691633969545364,1.2187343561649322,1000.0,0.0,nan,0,31167,0,215,135.41684112548828,135.42527000427245,0.22533126175403595,0.5305861917138099,0.6002290721471659,0.6002290721471661,0.6002290721471659,0.6002290721471661,769.9352627251717,753.4338101681319,135.41684112548828,135.42527000427245,0.9250080053069124,6.480461563992519,0.9975637346506119,0.9706411463022232,3.1471894287811555,3.130848744306376,0.9730886543338949,0.6002290721471663,59.58678164672852,332.1709345762596
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,6.900154084979923,0.7507549826304117,1.2998689941565196,nan,0.3596549140555518,1.4903332662582398,1000.0,0.0,nan,0,31000,0,208,135.25248173304968,135.4775555419922,0.2257812981094633,1.3493956618756056,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.6002290721471661,812.5431709948585,781.2255870343466,135.25248173304968,135.4775555419922,1.1515817185977326,6.900154084979922,0.9981329696519035,0.9732712203264237,3.4510106651506076,3.279482906736293,0.9748976899084644,0.6002290721471663,57.978091705322264,335.24144360159477
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,7.300194468373703,0.7792023142178853,1.1458497393131255,nan,0.5051996873484718,1.740211301445961,1000.0,0.0,nan,0,30662,0,204,135.3549075656467,135.43501014709472,0.22823861241340637,1.2085604568570851,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.6002290721471661,871.8774983314675,821.924681128921,135.3549075656467,135.43501014709472,1.2440198130352165,7.300194468373702,0.9873086876339383,0.9704821816086769,3.6664896751706104,3.4354468766595487,0.9712067679925398,0.6002290721471661,56.61039239501953,344.46366742153475
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,7.424627291164088,0.7994709795713425,1.0194838064908982,nan,0.4257258156935374,1.9732113403081895,1000.0,0.0,nan,0,30963,0,209,135.54058024088542,135.40802207946777,0.22725819448630016,1.7977074568718672,0.6002290721471663,0.6002290721471661,0.6002290721471663,0.6002290721471661,967.0762643501286,878.4859584376287,135.54058024088542,135.40802207946777,1.4403429699147479,7.424627291164087,0.9763699491818746,0.9663442119956016,3.8340566984144835,3.451201028122421,0.9670436820318532,0.6002290721471663,58.22942623901367,380.4066713055554
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,7.549060113954473,0.8137436461448669,0.9186709400018056,nan,0.3938844021823671,2.1904396295547484,1000.0,0.0,nan,0,30834,0,214,135.46879069010416,135.39594444274903,0.22633175551891327,1.8215904867649078,0.600229072147166,0.6002290721471661,0.600229072147166,0.6002290721471661,1079.8267287750969,934.7666851454413,135.46879069010416,135.39594444274903,1.6886990942783957,7.5490601139544715,0.975880374511083,0.9614422979950905,4.032843502148827,3.447668651633099,0.9626344327532917,0.6002290721471663,59.035254241943356,412.78043629408
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,7.673492936744859,0.8240359803040822,0.8389960169792176,nan,0.4618435398392055,2.3804000961780547,1000.0,0.0,nan,0,31697,0,217,135.45711019764775,135.34774139404297,0.22710055825502976,1.7964463718235493,0.6002290721471659,0.6002290721471661,0.6002290721471659,0.6002290721471661,1198.237487118322,982.4779337923453,135.45711019764775,135.34774139404297,1.9285870733035833,7.673492936744861,0.9551588322805322,0.9510888758301735,4.226549418680094,3.4413160026646405,0.9515086471232598,0.6002290721471663,60.37012362670898,448.11009792438085
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,7.797925759535243,0.8320206455389658,0.7753678133090337,nan,0.48864927060074276,2.5712251710891723,1000.0,0.0,nan,0,31524,0,214,135.2952677408854,135.3727239227295,0.22541367924875683,1.545422940030694,0.600229072147166,0.6002290721471661,0.600229072147166,0.6002290721471661,1330.520652492464,1015.6678889844209,135.2952677408854,135.3727239227295,2.081904166960398,7.797925759535246,0.9306022028128306,0.946657684147358,4.368312803990337,3.452960064443752,0.9453320022023052,0.6002290721471663,59.01971920776367,454.165899083497
