algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,2.969313182636736,0.3801176559925079,2.0955674703915914,nan,0.4509097252573286,0.4510901203751564,1000.0,0.0,nan,0,30595,0,205,180.36399841308594,180.43596893310547,1030.4799987585318,1031.1836083751948,0.39873095069612774,0.39709195390343666,180.36399841308594,180.43596893310547,0.06928397426152384,2.9693131826367365,1.0,1.0,0.7999999999999999,0.8,0.7999999999999999,0.8,1.2292956576116087,1.4625306792274435,1.0,0.7999999999999998,74.6994835510254,426.90016333269733
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,3.2727168710033934,0.5540079870820045,1.890505694548289,nan,0.49367318861186504,0.8170165705680847,1000.0,0.0,nan,0,30955,0,213,179.83077907562256,191.4124725341797,995.3161582944664,1061.9755882422337,0.3945031352341175,0.6778562553226948,179.83077907562256,191.4124725341797,0.2134171061168263,3.261493472572911,0.9923292025923729,0.9288208982348443,0.7981154443578503,0.8484165532945406,0.7981154443578503,0.8484165532945406,1.4326476526992602,1.6103205814624773,0.9335252170761427,0.8446905452251562,82.3195739440918,456.6403523623164
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,3.369195817897791,0.6503796507914861,1.6799768988291424,nan,0.49538605809211733,1.2370509278774262,1000.0,0.0,nan,0,31093,0,213,177.2814514160156,183.68643074035646,971.9897367805423,1000.1326337299688,0.38776548306147257,0.8274133411049843,177.2814514160156,183.68643074035646,0.35959513239987156,3.354911487322129,0.9976411302884419,0.9613881003856659,0.7860086674148226,0.8144368048660633,0.7860086674148226,0.8144368048660633,1.5577216743687745,1.6556414676770246,0.9639173815416735,0.8124534464392327,78.79301583862305,429.2127455954039
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,3.4858802281711694,0.7095159806807836,1.480092154343923,nan,0.47827311754226687,1.616122566461563,1000.0,0.0,nan,0,31167,0,215,175.58953781127929,181.1684436035156,998.2506415027425,995.6240148508061,0.37697255313396455,0.9095803195238114,175.58953781127929,181.1684436035156,0.553653954228108,3.465693157781285,0.9975029736757278,0.9657189071178436,0.7782950092736408,0.8029707736169268,0.7782950092736408,0.8029707736169268,1.7184696356493787,1.7010015303797381,0.9686083677140149,0.8007275223129916,79.49095895385742,438.1796316004322
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,3.6289849436663526,0.7507026495536169,1.2998741908868154,nan,0.4611493008477347,1.97648905813694,1000.0,0.0,nan,0,31001,0,207,173.52327837262834,178.9628399658203,1042.468610168496,1012.2497130603072,0.3702459122453417,2.3107297402620315,173.52327837262834,178.9628399658203,0.6966294849538577,3.596310994517235,0.9981329568794796,0.9684385058283805,0.770066619571969,0.7928907115490261,0.770066619571969,0.7928907115490261,1.8565020887792083,1.747012118381594,0.9703811334672375,0.791397546653331,76.44378778076172,434.0890063088407
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,3.7849532067816423,0.7791653136412303,1.1458770728111267,nan,0.6478058927588992,2.3059704899787903,1000.0,0.0,nan,0,30663,0,203,173.84048631456164,177.74043319702147,1119.1409422043173,1046.8710664546393,0.3668645355436537,2.0693059976398946,173.84048631456164,177.74043319702147,0.7540684010177389,3.7395314211516784,0.9869665635956658,0.9648639014363289,0.7709017701687004,0.7877215322533082,0.7709017701687004,0.7877215322533082,1.9482536090713145,1.8006135595762904,0.9658156907159176,0.7869972362783731,74.22530203247071,438.89296354153356
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,3.9713410897499903,0.7993869797388713,1.0195290199915568,nan,0.5428988575935364,2.6039980947971344,1000.0,0.0,nan,0,30963,0,209,174.19876810709636,177.30695037841798,1242.6307613413294,1104.5476148111236,0.3580553968747457,2.990638636946678,174.19876810709636,177.30695037841798,0.8787077998312769,3.888890546763026,0.9761178692181905,0.9568098810315132,0.7714047018727821,0.7859515646640431,0.7714047018727821,0.7859515646640431,2.082780898603976,1.8467412567866863,0.9581569499747697,0.7849366672600018,76.14874319458008,479.0979687646893
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,4.176586575361526,0.8136803126335144,0.9187304043769836,nan,0.495850576294793,2.8822610819339753,1000.0,0.0,nan,0,30833,0,215,172.41675482855902,176.80788345336913,1374.0263457000456,1152.8592498496503,0.34953465726640487,2.94121677801013,172.41675482855902,176.80788345336913,1.0389129927393936,4.046942681321039,0.9758115079667833,0.9491877275705337,0.7639576163124511,0.7838166949556481,0.7639576163124511,0.7838166949556481,2.2421248681720516,1.8853351765831214,0.9513860213647195,0.782176954517219,76.93015655517578,510.60864838506177
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,4.398896378916405,0.8239569793144862,0.8390804928541183,nan,0.5805560259715371,3.1486416912078856,1000.0,0.0,nan,0,31697,0,217,174.19782223908797,175.86985374450683,1540.1625584591802,1176.2332895359275,0.34377702552339306,2.9838527642190456,174.19782223908797,175.86985374450683,1.1933666386623543,4.215877828082939,0.9547488508017167,0.9438926672935486,0.7719107375234813,0.7799279538880919,0.7719107375234813,0.7799279538880919,2.4023711144305886,1.923774944305594,0.9450123633504448,0.7791010661016072,78.36104132080078,541.3407935034933
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,4.640286604886802,0.8319546449184417,0.7754675390323004,nan,0.6174443397257063,3.398602744340897,1000.0,0.0,nan,0,31525,0,213,176.31203121609158,174.98799026489257,1733.1660179952726,1161.195162491827,0.33446692923704785,2.5195488260686396,176.31203121609158,174.98799026489257,1.2916651116138187,4.399254390174203,0.9302525487211015,0.9388171178102493,0.7821404448705594,0.7758785034473735,0.7821404448705594,0.7758785034473735,2.534700823037972,1.974731834197143,0.9381099515551821,0.7763955444823156,76.34242922973633,526.8720416445607
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,4.896742615570873,0.838135648171107,0.7246341667572658,nan,0.6164869697470414,3.629736552238464,1000.0,0.0,nan,0,31819,0,215,167.37458881578948,174.17906051635742,1806.9817474401284,1103.1263136305702,0.33011559436195775,0.9084161719679833,167.37458881578948,174.17906051635742,1.4483629147160222,4.598823357755645,0.9756325106871756,0.9330515742301941,0.7415088273198356,0.7723318870008663,0.7415088273198356,0.7723318870008663,2.7085470919318704,2.0129122677326152,0.9367458107264619,0.7696577402705486,76.03185858154296,509.9158318549529
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,5.228190535288998,0.8434303136666615,0.6830936644474666,nan,0.7042427278227277,3.8790148997306826,1000.0,0.0,nan,0,31468,0,212,168.5018573337131,172.11170257568358,1999.0813276563354,1034.3023154689392,0.32385852601793075,3.777395783960819,168.5018573337131,172.11170257568358,1.551316294373922,4.831649758155977,0.9577157464292314,0.9354267582297325,0.7469710504246054,0.7629448396008717,0.7469710504246054,0.7629448396008717,2.863449679886744,2.0765547897095216,0.9372671334021682,0.7616259028798954,74.91074789428711,485.68785398320387
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,5.283771741290863,0.8476286466916402,0.6488509645064672,nan,0.7216871624643152,4.094212766885757,1000.0,0.0,nan,0,30494,0,206,168.49902205033735,170.80267471313476,2157.489169794041,949.3163177229028,0.3174120160666379,9.63269101381302,168.49902205033735,170.80267471313476,1.6158853574246443,5.050080784834585,0.9461778510700573,0.9325100436806679,0.7477251204409266,0.757422926599937,0.7477251204409266,0.757422926599937,2.9895635283886204,2.142168728761022,0.9332225834023896,0.7569173537670029,72.02804837036133,427.19128882463
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,5.333872670417429,0.8511543101072312,0.6203035515546799,nan,0.6932839856428259,4.250064063072204,1000.0,0.0,nan,0,30762,0,214,170.20030481675093,171.29063270568847,2347.732720320306,853.7559379241363,0.3436493785942302,11.00825878471136,170.20030481675093,171.29063270568847,1.698404066514011,5.175734220226446,0.9254931386779336,0.919515474140644,0.7548156523357599,0.7590148202699757,0.7548156523357599,0.7590148202699757,3.0893361279989855,2.1659444247671984,0.9199837704408004,0.7586858531967882,74.30306344604492,421.325287660545
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,5.393181433170803,0.8545123114188512,0.5957631860176722,nan,0.7610193623436822,4.354016418457031,1000.0,0.0,nan,0,30430,0,202,166.43574693467883,172.6624555206299,2473.2283321089185,802.8548645595723,0.7000672154956393,7.878694587051869,166.43574693467883,172.6624555206299,1.753166188835972,5.2538040395969,0.9414967033598158,0.8992090943455696,0.7361748465047435,0.7655853114262312,0.7361748465047435,0.7655853114262312,3.153421329140343,2.178336609888352,0.9010300918629295,0.7643188320755452,72.06082565307617,365.6600558017895
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,5.4583610346352165,0.8573076452811559,0.5749173887570699,nan,0.7472045980393887,4.590706870555878,1000.0,0.0,nan,0,31039,0,211,167.68877506256104,169.48837211608887,2663.7942467045796,742.0408862817578,0.2987980432808399,6.363032674044371,167.68877506256104,169.48837211608887,1.8395817738568905,5.3242659461671,0.9185056276619434,0.9088625976443291,0.7446806661841414,0.7513205324665949,0.7446806661841414,0.7513205324665949,3.2334554427809743,2.178952315086937,0.9095768961641524,0.7508286905197465,73.1613896484375,382.05777040724956
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,5.521974092338988,0.8597313117980957,0.5567939130465189,nan,0.8141005526889454,4.776518779993057,1000.0,0.0,nan,0,30797,0,205,164.83357100053266,167.649833984375,2770.226818138703,692.0252536635529,0.4993124577132138,12.275919906497002,164.83357100053266,167.649833984375,1.8874406314824734,5.390189786138961,0.9293698722665961,0.9098874524235725,0.7298646509024974,0.743146109353109,0.7298646509024974,0.743146109353109,3.288540293345068,2.190204288485418,0.9109031236002231,0.7424537110452574,70.68627215576171,337.75509146447257
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,5.575999256887937,0.8617613108952841,0.5411249387264252,nan,0.6104783397167921,4.863158147335053,1000.0,0.0,nan,0,30842,0,212,166.23794651031494,168.35152618408202,2939.1132487548375,649.2210887346,0.30874580703675747,9.00870050176978,166.23794651031494,168.35152618408202,1.9997294283414113,5.4496134681297645,0.9089147001504898,0.8942637237906456,0.736408223510838,0.7462966341377065,0.736408223510838,0.7462966341377065,3.3796830442567525,2.1737383326077264,0.8953489812987822,0.7455641592764571,72.6602247619629,353.7400594539948
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,5.651191237949435,0.8638299781084061,0.5272879741589228,nan,0.6667798236012459,5.025890154838562,1000.0,0.0,nan,0,30646,0,212,167.91508865356445,166.59786361694336,3121.3987670814467,613.5323763797076,0.2870211713016033,14.456812074780464,167.91508865356445,166.59786361694336,2.1019076828242955,5.5104401600357,0.8853457942605019,0.8947030860185623,0.7448299632627953,0.7385772696108015,0.7448299632627953,0.7385772696108015,3.4653206737088578,2.1605450558492367,0.8940099532957431,0.7390404321035419,72.0124282836914,345.2977110984893
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,5.739064789172033,0.865467312335968,0.5151707030336062,nan,0.7512178177183325,5.110376842021942,1000.0,0.0,nan,0,30814,0,206,161.3487215909091,166.67387199401855,3171.3607760730856,579.5804019706619,0.2776572812687267,8.07828973338008,161.3487215909091,166.67387199401855,2.177347549811114,5.568718621161082,0.9190728176723827,0.8829976335167885,0.7151060852427884,0.7389722476797144,0.7151060852427884,0.7389722476797144,3.5338959783511013,2.1559088636260486,0.8848783303211085,0.7377280401593057,70.21922067260742,301.60209786187266
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,5.8183720533917755,0.866966980099678,0.5042333530386289,nan,0.6228710571924846,5.229769859313965,1000.0,0.0,nan,0,30523,0,209,161.00830485026043,165.59279762268068,3289.8235665891793,558.7387226667885,0.29133461316426595,16.579691905230284,161.00830485026043,165.59279762268068,2.2619302934819867,5.628644922825713,0.9089539130528768,0.8790577256679535,0.7146183875272027,0.7341999299366577,0.7146183875272027,0.7341999299366577,3.6086161452194765,2.1519136581844354,0.8811435061831807,0.732833775815068,71.06736819458008,322.1901960643908
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,5.903057507892824,0.8683386441071829,0.49445689221223194,nan,0.7449485883116722,5.334057838916778,1000.0,0.0,nan,0,30602,0,208,164.2088940938314,164.7172868347168,3469.518629358658,530.5241375180482,0.34009979168574017,8.219476891756058,164.2088940938314,164.7172868347168,2.317387001880079,5.68884191894886,0.8771762053171793,0.8740214735269547,0.7281146231762868,0.7301603638878208,0.7281146231762868,0.7301603638878208,3.665968968707591,2.157526093763396,0.8742000432509296,0.7300445672437716,69.82792819213867,295.478102111827
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,5.992551884944221,0.8695819781223932,0.48572313219308855,nan,0.7365899603617819,5.489252436161041,1000.0,0.0,nan,0,31162,0,216,166.05659645482115,162.42400756835937,3629.175411064426,503.11117491041733,0.26542448056371587,9.290413056910038,166.05659645482115,162.42400756835937,2.4062933895760312,5.755211035907516,0.853269238221018,0.8784384301304817,0.7362183940235728,0.7200593943140768,0.7362183940235728,0.7200593943140768,3.7458604481086253,2.153351073763202,0.8762548016086561,0.7214613166633026,71.27975369262695,339.15313558461514
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,6.045822613616058,0.8706426459550858,0.4778842176000277,nan,0.7815602009113019,5.48553738117218,1000.0,0.0,nan,0,30467,0,207,157.51349463829627,163.62666564941406,3642.3194426416167,493.7929693392942,0.2544832665186662,19.70862260609865,157.51349463829627,163.62666564941406,2.507085076745297,5.819012982705981,0.899720664207752,0.8587841773033142,0.6993671235415924,0.7253874550728031,0.6993671235415924,0.7253874550728031,3.8318562391295705,2.138931864750443,0.8612826483350404,0.723799359721133,69.54601712036133,292.21749324439975
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,6.125929895268013,0.871614311337471,0.47070189744234087,nan,0.6548516392707825,5.503065073490143,1000.0,0.0,nan,0,30718,0,212,163.66307373046874,164.1594374847412,3832.202253270474,478.06595233946086,0.2678960273663203,11.357057628929615,163.66307373046874,164.1594374847412,2.595390286580946,5.881415543396273,0.8462267597516377,0.8441269096732139,0.7260721409059167,0.7273935813665174,0.7260721409059167,0.7273935813665174,3.909800389307077,2.128931462378585,0.8442734108414761,0.7273013878460104,70.57366720581055,306.1924485338986
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,6.225510271377123,0.8726709789037704,0.4641051177183787,nan,0.587502638498942,5.582512872219086,1000.0,0.0,nan,0,30650,0,208,150.7515551249186,163.04180404663086,3654.6798217292944,465.08943059328175,0.24652020012338957,10.081359252780675,150.7515551249186,163.04180404663086,2.7145640198410836,5.947630057750573,0.9272688577572504,0.8401994928717613,0.6683550828829888,0.7226028345264679,0.6683550828829888,0.7226028345264679,4.00779043500488,2.104723525805753,0.8451279474879211,0.7195322070749502,68.83475894165039,273.74808795881574
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,6.314636977781518,0.8735299781958262,0.4580347215135892,nan,0.7388865099503443,5.643911650180817,1000.0,0.0,nan,0,30683,0,211,158.25307288536658,162.17654342651366,3869.39424136661,452.1241057426074,0.32112317704237425,15.095246909186244,158.25307288536658,162.17654342651366,2.8071572511393725,6.0174694419182995,0.8631629531200116,0.8345032760500908,0.7012480062376467,0.718926477800351,0.7012480062376467,0.718926477800351,4.0912821274509446,2.0935760743071734,0.8362524582186776,0.7178475100523926,68.985197265625,281.45389257257483
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,6.4274179624990895,0.8742769791682561,0.45274596552054086,nan,0.772613038035,5.64403886795044,1000.0,0.0,nan,0,31157,0,211,160.42829087201287,162.41748405456542,4099.012078109462,440.5313386831962,0.23683934089015513,17.313910314515233,160.42829087201287,162.41748405456542,2.892019435106303,6.085846172457138,0.8364497668602887,0.8208276325464249,0.7105843108877764,0.7201248044821602,0.7105843108877764,0.7201248044821602,4.1695501300466375,2.0875455627928523,0.8220514863866815,0.7193773925415864,70.42155551147461,315.57894612900014
