algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.5312902227802184,0.3799386560916901,2.09563614209493,nan,1.1272745983941215,1.1277248817682266,1000.0,0.0,nan,0,30595,0,205,450.9099818638393,451.0899159240723,2576.199915849622,2577.9589843740064,0.012396771864871764,0.5312902227802185,1.0,1.0,450.9099818638393,451.0899159240723,2.4920684610094344,2.481823444366455,2.0,2.0,2.0,2.0,0.21995415223101045,0.2616861888915521,1.0,2.0,186.74870611572265,1067.2503925714973
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.5419209490512614,0.5528593202431996,1.8909909884134928,nan,1.225186511874199,2.0080494689941406,1000.0,0.0,nan,0,30955,0,213,448.16658782958984,483.11732788085936,2475.700564974653,2648.287637381848,0.03731794586655716,0.5412829691938864,0.9904521331191063,0.9131365939974785,448.16658782958984,483.11732788085936,2.44111230969429,4.1263457298278805,1.9890353145303434,2.1413642359414697,1.9890353145303434,2.1413642359414697,0.2389039551974888,0.2684343245758912,0.9188636709694509,2.1300806121332383,207.5882619628906,1138.5374730319284
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.5535994507604962,0.6490696503718694,1.6807144399483998,nan,1.2228935639063516,2.993860317468643,1000.0,0.0,nan,0,31093,0,213,439.51662190755206,468.08618621826173,2402.932987469155,2451.8552124015846,0.06229755017905634,0.552452443860413,0.9959920326868693,0.9306858423352241,439.51662190755206,468.08618621826173,2.3755438486735025,4.805499509572983,1.9486700950522886,2.075422296531934,1.9486700950522886,2.075422296531934,0.258359507651599,0.2743943409093713,0.935242088173711,2.0665791196845174,200.41997314453124,1052.8300745847087
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.565995709714137,0.7084019809961319,1.4808056632677713,nan,1.1770906031131745,3.891837915182114,1000.0,0.0,nan,0,31167,0,215,432.8067398071289,461.4852406311035,2459.1752013444866,2331.051457964807,0.09465652008670858,0.5643422130002261,0.9966458767652512,0.9302326580882072,432.8067398071289,461.4852406311035,2.286447322368622,5.278457329273224,1.9184080303985556,2.0453897700299257,1.9184080303985556,2.0453897700299257,0.2825307972521156,0.279287057721566,0.936270223422484,2.0338459755179827,201.90636584472657,1030.7875912397021
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.5803778126609925,0.7500103161732355,1.300244344075521,nan,1.130771245275225,4.776748056411743,1000.0,0.0,nan,0,31001,0,207,425.2182050432478,452.2525424194336,2554.565793025745,2232.587067553993,0.11829430713945044,0.5775323791171596,0.9981329568794796,0.9362030935287475,425.2182050432478,452.2525424194336,2.223302057811192,12.22361066699028,1.8870456971556542,2.003692394902531,1.8870456971556542,2.003692394902531,0.30198953593053407,0.28352992682029465,0.9402545799161787,1.9960613025265672,192.80712670898438,964.5626692263181
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.5960146021902408,0.7784876471757889,1.1463794644673666,nan,1.5777616898218791,5.500403280258179,1000.0,0.0,nan,0,30663,0,203,425.8353746202257,451.91229553222655,2726.4011257970155,2158.5355268478634,0.12782595342938607,0.5911093038809868,0.9822705917888217,0.920596467256546,425.8353746202257,451.91229553222655,2.1810790167914496,10.736571847200393,1.8883836586258669,2.0028191932455366,1.8883836586258669,2.0028191932455366,0.31313929361002635,0.28835297332436877,0.9232522908009981,1.9978913472571298,188.4299549560547,912.4894310034916
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.61622495905897,0.798489980896314,1.0202259075641633,nan,1.3224626700083415,6.208871333599091,1000.0,0.0,nan,0,30962,0,210,423.5309285481771,448.4167332458496,3019.3490595198177,2018.7871070778306,0.14946242241770938,0.6057201210135256,0.9739275376001993,0.9125569340586662,423.5309285481771,448.4167332458496,2.107524808247884,14.66555896282196,1.8755192434704346,1.987696260341483,1.8755192434704346,1.987696260341483,0.3319655018560358,0.29267010399248417,0.9168386040731918,1.9798699568388518,192.07262115478517,898.0953146167267
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.6472382884907647,0.8128693129618962,0.9195699075857798,nan,1.2018173933029175,6.936540372371674,1000.0,0.0,nan,0,30833,0,215,416.85270351833765,441.20885635375976,3317.9142138811285,1780.092386986331,0.17908997927459175,0.6242178622738992,0.9742507338523865,0.9137542560696602,416.85270351833765,441.20885635375976,2.036900440851847,13.951935657262801,1.847014436675125,1.955947361630892,1.847014436675125,1.955947361630892,0.3571411324743147,0.29784315113973986,0.9187493780884174,1.9469528999372965,191.49023986816405,831.481866494253
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.70725941392458,0.8229799793163936,0.840322059392929,nan,1.4001788445141004,7.705219054222107,1000.0,0.0,nan,0,31696,0,218,420.15785814368206,430.4117190551758,3701.039817031074,1534.8749276511319,0.21025735967685308,0.6550192761432624,0.9503992459048396,0.9239470940828324,420.15785814368206,430.4117190551758,1.9834121413852857,14.748260914087295,1.861824718401475,1.9087466264936415,1.861824718401475,1.9087466264936415,0.38816212626341684,0.308021969088867,0.9266753429254608,1.9039071471836875,191.4919490966797,784.1978026438821
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.8196406240791286,0.8310233120123546,0.7768813421328863,nan,1.4940405322445764,8.441398026943206,1000.0,0.0,nan,0,31525,0,213,422.91903008355035,420.6213481140137,4137.5046824136,1315.1081474029231,0.23113598793432028,0.7094398622516539,0.9263559348053403,0.9327267426252365,422.91903008355035,420.6213481140137,1.9104981356196933,12.712634453177452,1.876119806499999,1.8649872541748993,1.876119806499999,1.8649872541748993,0.42245753766125377,0.32742217542901786,0.9322007126217589,1.8659064557430267,183.47362432861328,674.993427528059
