algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3801006558537483,2.095569508870443,nan,0.5636371799877712,0.5638625544309616,1000.0,0.0,nan,0,30595,0,205,1.0,1.0,1.0,1.0,225.45499093191964,225.54495796203614,1288.099957924811,1288.9794921870032,0.6230170982224601,0.6204560029506684,225.45499093191964,225.54495796203614,0.04447437226608758,1.9060445256894676,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,2.0058664393858714,0.5539109868804614,1.890554024775823,nan,0.6071870923042297,1.0193786010146142,1000.0,0.0,nan,0,30955,0,213,0.9780998082403066,1.0411907100547884,0.9780998082403066,1.0411907100547884,220.3847427368164,234.90460945129394,1219.3379050629046,1300.635126628906,0.5922414101660252,1.039844789505005,220.3847427368164,234.90460945129394,0.13864510725021748,1.97875197692904,0.9921126179397106,0.9271003121137619,0.8746878551217463,0.9828362867711333,0.9319160384712396,1.0365173099203822,101.0141555480957,559.2728636135754
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.223891032126358,0.6502243171135584,1.6800396887461344,nan,0.5985951821009318,1.5395801365375519,1000.0,0.0,nan,0,31093,0,213,0.9442274113842672,0.982070214733421,0.9442274113842672,0.982070214733421,212.96720072428386,221.49410095214844,1167.0694896950545,1199.658154650116,0.5593008875846863,1.2432823565602302,212.96720072428386,221.49410095214844,0.23984331587840255,2.1782449627437517,0.9973848263422648,0.9572019547224044,1.0152039746245423,1.0788197212080248,0.9600054108819296,0.9794300191509219,94.9866564025879,514.8753465508981
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.4340489655130715,0.7094253144661585,1.4801312923431396,nan,0.5649417251348495,2.009406341910362,1000.0,0.0,nan,0,31167,0,215,0.916287816675133,0.9499569060383664,0.916287816675133,0.9499569060383664,206.7217544555664,214.3317636871338,1175.2454824981216,1163.187917713853,0.5224136888980866,1.3312481224536896,206.7217544555664,214.3317636871338,0.38205357866874823,2.4200671191484138,0.9974214345216751,0.9605815827846527,1.1972589948606145,1.1865103563135102,0.9639306602152911,0.9468960797326177,94.00157565307617,512.284986385466
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.548776299113781,0.7506446496645609,1.299875959555308,nan,0.5334963223763874,2.460287616252899,1000.0,0.0,nan,0,31001,0,207,0.8885763554169797,0.9185019481401246,0.8885763554169797,0.9185019481401246,200.2277123587472,207.3143985748291,1202.8997316478574,1147.866302819387,0.4929730785744531,3.471648831516504,200.2277123587472,207.3143985748291,0.4877336544291176,2.523174386857729,0.9981329568794796,0.9643919453024864,1.3019099474005622,1.2267234628760806,0.9665993012000467,0.9165441990834703,88.53213537597657,492.82771361389484
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.732141461084113,0.7791073137521743,1.1459020777543385,nan,0.7501482897334628,2.8638511753082274,1000.0,0.0,nan,0,30664,0,202,0.8722333162381428,0.8963117659614136,0.8722333162381428,0.8963117659614136,196.69099765353732,202.24258728027343,1265.6960316236452,1155.0402487241827,0.4693176911936866,3.010500317811966,196.69099765353732,202.24258728027343,0.5323702964738969,2.6754243745243405,0.9866094655460782,0.9586342981457711,1.3895919276940742,1.2873932798282108,0.9598389704261671,0.8952748949206986,84.43747286987305,484.79862805889866
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,3.0208121675656554,0.7993086465199788,1.0195674391587575,nan,0.6226601779460907,3.2245405316352844,1000.0,0.0,nan,0,30963,0,209,0.8553289645482357,0.8788228480388136,0.8553289645482357,0.8788228480388136,193.15057576497395,198.2587646484375,1377.8575220568828,1181.8353499152552,0.44008806546529133,4.373803656995296,193.15057576497395,198.2587646484375,0.633982071615462,2.887803857455864,0.975985312461853,0.9478580272197723,1.5355107859516226,1.3686697840585074,0.9498203959575919,0.8771837398883082,85.09802313232422,514.0698656278086
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,3.3515460629677247,0.8136513137817383,0.9187623673677444,nan,0.5537024736404419,3.5627407562732696,1000.0,0.0,nan,0,30833,0,215,0.8303052131763295,0.8603309292465121,0.8303052131763295,0.8603309292465121,187.3907004462348,194.06724700927734,1493.3214521251173,1185.4246219169354,0.41276974148220485,4.220509473532438,187.3907004462348,194.06724700927734,0.7721038664383959,3.1803411673189443,0.9756706754366556,0.9386286082863807,1.7353987867906153,1.4768762860712172,0.9416871275923667,0.8578517416810842,84.3729640197754,527.9294210432785
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,3.444918116686866,0.8239113122224808,0.8391297666231791,nan,0.6475072541962499,3.8999208211898804,1000.0,0.0,nan,0,31697,0,217,0.8224599540310524,0.8375314095126896,0.8224599540310524,0.8375314095126896,185.60525512695312,188.85923866271972,1640.6610192709225,1144.4978402909446,0.39005212161851965,4.272644879221916,185.60525512695312,188.85923866271972,0.9196551770382644,3.354811718604351,0.9544484822646432,0.935288907289505,1.893717793664699,1.5331039284340313,0.9372650069506179,0.835976954463014,84.08153720092774,533.2695430028404
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,3.5798147006855365,0.8318873111406963,0.7755335597197215,nan,0.6960208863019943,4.2227120995521545,1000.0,0.0,nan,0,31525,0,213,0.8167988414769242,0.8143931267142058,0.8167988414769242,0.8143931267142058,184.12481604682074,183.67433303833008,1809.3298645265681,1063.5172286989882,0.36460885405540466,3.436197177171707,184.12481604682074,183.67433303833008,1.0207183407068214,3.487327358007769,0.9300225542651283,0.9331739550828934,2.0073619476272,1.5755597416280833,0.932913747675922,0.8145917637129625,80.09822659301757,490.54276660255175
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,3.7889824949573425,0.8380783136685689,0.72472694059213,nan,0.6792534683880053,4.541326911449432,1000.0,0.0,nan,0,31819,0,215,0.7592372433491134,0.7897775551807976,0.7592372433491134,0.7897775551807976,171.37631948370682,178.11321281433106,1849.5044241231662,952.4897273321344,0.34575483202934265,1.2300289641320705,171.37631948370682,178.11321281433106,1.1798147084430135,3.6378548899280543,0.9751369200254741,0.9339118111133575,2.1630307810370297,1.6142603297809845,0.93748841873587,0.7871279390858114,77.75758526611328,451.27705904953405
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,4.129385391626807,0.8433453130722046,0.6832344335317612,nan,0.7697205394506454,4.857096776962281,1000.0,0.0,nan,0,31467,0,213,0.7497361247419727,0.7641912318668329,0.7497361247419727,0.7641912318668329,169.12623087565103,172.39298637390138,2003.6239788490286,848.9532276271873,0.3259010563294093,5.5454952675104145,169.12623087565103,172.39298637390138,1.2901075036619523,3.8653963007380923,0.9571409457259707,0.9370343524217606,2.3202230224924083,1.687615795878799,0.9386945298505486,0.7629976909115693,75.04573886108399,411.71175428944
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,4.6281849078476425,0.8475453140338262,0.6489895878235499,nan,0.7954176230864092,5.129943835735321,1000.0,0.0,nan,0,30495,0,205,0.7356574130839779,0.7432135198029435,0.7356574130839779,0.7432135198029435,165.77962563254616,167.59875244140625,2119.46435009287,750.7945676344004,0.30688944729891693,14.709865443855524,165.77962563254616,167.59875244140625,1.3638889425678973,4.194482202669226,0.9455605907873674,0.9347302007675171,2.496126246608429,1.8039961581523838,0.9352948182567036,0.7428195995474525,70.68665274047852,346.9460427558033
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,5.166806137097326,0.8510426449775695,0.6204850469032923,nan,0.7491016370408675,5.292935540676117,1000.0,0.0,nan,0,30762,0,214,0.7276856858361745,0.7338474283980002,0.7276856858361745,0.7338474283980002,164.08288663976333,165.6111725616455,2259.022980631238,660.0613338915588,0.33650317963431864,17.165847921073436,164.08288663976333,165.6111725616455,1.4643912869084863,4.590021766951038,0.9252222180366516,0.9161214426159858,2.7146434789255074,1.9488049669757588,0.9168344065890334,0.7333647112387788,71.82328717041015,340.8313148980856
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,5.299923075187935,0.8544169781605403,0.5959241900841395,nan,0.8500775694847107,5.441617331504822,1000.0,0.0,nan,0,30429,0,203,0.6958932550226661,0.7233659562231199,0.6958932550226661,0.7233659562231199,157.32879977756076,163.1406739807129,2334.0350279835325,606.3925419932582,0.8439431521627638,12.926979503929616,157.32879977756076,163.1406739807129,1.5357506911947278,4.9670340658648175,0.9408772190411886,0.8990648239850998,2.908264041062764,2.0864631309968775,0.900865357743496,0.7221829212431962,68.08818798828125,284.56964730100685
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,5.434578456587239,0.8571889787912369,0.5750929631789525,nan,0.8129001092165709,5.73271075963974,1000.0,0.0,nan,0,31039,0,211,0.68971133393946,0.6963148636668218,0.68971133393946,0.6963148636668218,155.31067848205566,157.08082580566406,2465.8587461930706,548.4248416613515,0.25622473284602165,10.570497680455446,155.31067848205566,157.08082580566406,1.6526014718655677,5.238040382016488,0.9183173105120659,0.9079609143733979,3.0867770359259348,2.173794678453338,0.908728054828114,0.6958257133166469,67.80227203369141,298.27741654271887
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,5.605392231581603,0.8596023124456406,0.5569886229435603,nan,0.9038105092265389,5.934463541507721,1000.0,0.0,nan,0,30795,0,207,0.6626348464419811,0.6779599091513056,0.6626348464419811,0.6779599091513056,149.65031571821734,152.9450410461426,2514.950207240682,504.4905394659447,0.4642755077643828,20.98810722589493,149.65031571821734,152.9450410461426,1.733396531769298,5.407512723119876,0.9291327866640958,0.9043663451075554,3.2030430083095287,2.2318319426429,0.905657486610503,0.6771609722328101,64.47032336425781,257.12512034567294
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,5.833567477081369,0.8616599784294764,0.5412819194793701,nan,0.6317505519837141,6.0059925866127015,1000.0,0.0,nan,0,30843,0,211,0.6567254253338138,0.6704338268269409,0.6567254253338138,0.6704338268269409,148.25070095062256,151.23738929748535,2614.353284136416,465.1571360790833,0.25200515147298574,11.936638043671847,148.25070095062256,151.23738929748535,1.8955234255021796,5.547384494197502,0.9063609316945076,0.88353245139122,3.356267852980308,2.2633970310172185,0.8852234499322044,0.6694183896793019,65.23897814941407,269.72215952399864
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,6.122407368692888,0.8637026437123616,0.5274540722370148,nan,0.7223007250577211,6.255912532806397,1000.0,0.0,nan,0,30646,0,212,0.6580217040237425,0.6463023334975645,0.6580217040237425,0.6463023334975645,148.34679412841797,145.783835067749,2755.922713712175,433.6929725744814,0.2484267633408308,21.472658355385065,148.34679412841797,145.783835067749,2.050870192724902,5.74555989472496,0.8839540183544159,0.8909407606720925,3.528746073524925,2.3149342018077634,0.8904232242041163,0.6471704350180221,63.06063143920898,261.6667158685822
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,6.455403456409614,0.8653703117370606,0.515327461262544,nan,0.7834756428545172,6.359071941375732,1000.0,0.0,nan,0,30813,0,207,0.626964700147526,0.6341339702702112,0.626964700147526,0.6341339702702112,141.46433882279828,143.02847770690917,2782.466118922146,403.09596558954,0.22855727780948987,13.846157944947482,141.46433882279828,143.02847770690917,2.1597389317939184,5.9922279047612905,0.9192522926764055,0.8789905506372452,3.692734520980867,2.3911584314744947,0.8810895040136943,0.633760216851493,60.323606536865235,222.45264085210323
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,6.875095977397019,0.8668626487255097,0.5043869588772456,nan,0.6343167861302693,6.5001894164085385,1000.0,0.0,nan,0,30523,0,209,0.6188287482407498,0.6198122611524238,0.6188287482407498,0.6198122611524238,139.43360188802083,139.79401527404787,2850.4216173061,381.2403666990997,0.2511195143063863,23.30880116455257,139.43360188802083,139.79401527404787,2.2855348917018516,6.30549531021114,0.9089582721392314,0.8740700566768647,3.893519059105567,2.4933024557620853,0.8765041182207507,0.6197436439725397,60.10061416625977,238.00879519882287
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,7.294788498384425,0.8682513107856115,0.49461637288331983,nan,0.8043381224075953,6.5749942445755005,1000.0,0.0,nan,0,30603,0,207,0.6209740687745863,0.6121703189912752,0.6209740687745863,0.6121703189912752,140.0509821573893,138.09891693115233,2958.5349951945896,360.15030127556776,0.32089565321803093,13.471266833543778,140.0509821573893,138.09891693115233,2.3814857031418644,6.657577384888107,0.8769978980223337,0.861886179447174,4.091922375840362,2.616599180018175,0.8627415597438812,0.6126686444507079,58.600790344238284,215.06496039489727
