algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3801006558537483,2.095569508870443,nan,0.5636371799877712,0.5638625544309616,1000.0,0.0,nan,0,30595,0,205,1.0,1.0,0.04447437226608758,1.9060445256894676,0.6230170982224601,0.6204560029506684,1.0,1.0,225.45499093191964,225.54495796203614,1.0,1.0,225.45499093191964,225.54495796203614,1288.099957924811,1288.9794921870032,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9645577544807222,0.5538996534546217,1.890561366478602,nan,0.6217591911554337,1.0193786010146142,1000.0,0.0,nan,0,30955,0,213,1.0078873820602894,1.072899687886238,0.1337772478650238,1.9528214061698639,0.628863550722599,1.0649377995729445,1.0078873820602894,1.072899687886238,227.09646129608154,242.05852005004883,0.9921126179397106,0.9271003121137619,227.09646129608154,242.05852005004883,1256.472294540681,1340.2453644760199,0.8613949111869599,0.967893558995059,0.9319160384712396,1.0680839615287605,104.09049478149414,576.3052592157097
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.0400810209010816,0.6502083176374436,1.680059072971344,nan,0.6292282899220785,1.5394800806045532,1000.0,0.0,nan,0,31093,0,213,1.0026223103205363,1.0428602612018585,0.22297336101695392,2.023465151336018,0.6306100447972616,1.302521353662014,1.0026223103205363,1.0428602612018585,226.13797098795573,235.20457160949707,0.9973776896794637,0.9571397387981415,226.13797098795573,235.20457160949707,1239.2358620219177,1273.79388650091,0.9431700771445796,1.0019658725060954,0.9599470376968384,1.0400529623031616,100.8659677734375,546.6946304610216
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.1185676421416075,0.7093893144528071,1.4801603766282398,nan,0.6148645013570786,2.008992886543274,1000.0,0.0,nan,0,31167,0,215,1.0025930017232896,1.0396159800887108,0.33794959137069003,2.0979707068830793,0.6254427820444107,1.4529265615344047,1.0025930017232896,1.0396159800887108,226.19287567138673,234.56089027404786,0.9974069982767105,0.9603840199112892,226.19287567138673,234.56089027404786,1285.864327841037,1272.798429671906,1.0419580375756459,1.0309802837025202,0.9637497452172366,1.0362502547827634,102.8720711364746,560.5539449824039
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.2090517606211626,0.7506109829743703,1.2998955357074737,nan,0.5991960721356528,2.459489004611969,1000.0,0.0,nan,0,31001,0,207,1.0018670346055711,1.0359211307764054,0.42085050254892525,2.177222795254913,0.6266915627888271,3.5687406143546103,1.0018670346055711,1.0359211307764054,225.75611223493303,233.81699127197265,0.9981329653944288,0.9640788692235946,225.75611223493303,233.81699127197265,1356.2656511048574,1294.3867407835721,1.1233994196313204,1.0570465799291024,0.9663067072908454,1.0336932927091544,99.84796765136718,555.7301345443648
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.296300640347345,0.7790746474266053,1.1459340306123098,nan,0.8404099014070299,2.8629007720947266,1000.0,0.0,nan,0,30664,0,202,1.0137083530426025,1.0416837897896767,0.45375876699691775,2.250890723848158,0.6335127088758681,3.2209904745221136,1.0137083530426025,1.0416837897896767,228.59399583604602,235.0441379547119,0.9862916469573975,0.9583162102103233,228.59399583604602,235.0441379547119,1470.4351708096272,1342.3463551853156,1.1726115497374137,1.0835369985084544,0.9595208940893839,1.040479105910616,98.1323471069336,563.4063751486993
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.38061586647149,0.7992386464277903,1.0196207878986994,nan,0.7086915016174317,3.2216457605361937,1000.0,0.0,nan,0,30963,0,209,1.0240286668141683,1.0529926609992981,0.5243193564781008,2.3152041834271535,0.6307912071545919,4.525826321840286,1.0240286668141683,1.0529926609992981,231.24635314941406,237.55076293945314,0.9759713331858317,0.9470073390007019,231.24635314941406,237.55076293945314,1649.661946627504,1415.8060415292612,1.240673287257722,1.0995948490867002,0.9490280827810598,1.0509719172189402,101.95769577026367,615.8122750105297
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.4615959271923527,0.8135816462834676,0.9188545004526774,nan,0.6558323370085822,3.560731383562088,1000.0,0.0,nan,0,30833,0,215,1.02447533276346,1.0619004625082016,0.6138655587426982,2.3741114821184492,0.6282197501924303,4.466995705962181,1.02447533276346,1.0619004625082016,231.21290927463107,239.53580619812013,0.9755246672365401,0.9380995374917984,231.21290927463107,239.53580619812013,1842.245936767093,1462.7451040378965,1.3179639280929987,1.1070413148757166,0.9411896858193459,1.0588103141806542,104.13798721313476,651.4188953387738
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.49581208649936,0.8238063124815623,0.8392654981215795,nan,0.7679744103680486,3.8966300880908964,1000.0,0.0,nan,0,31697,0,217,1.0460238534471262,1.0654999110102654,0.6984459026161283,2.426135952910805,0.6303530102190764,4.45159433633089,1.0460238534471262,1.0654999110102654,236.0570227581522,240.26502548217775,0.9539761465528737,0.9345000889897347,236.0570227581522,240.26502548217775,2085.682806727295,1455.6415151718302,1.389521922733999,1.1095952075960522,0.936508830352749,1.063491169647251,106.96463323974609,678.1980151781877
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.5212409730010275,0.83180197874705,0.7756799431641896,nan,0.8126929038100772,4.219894044399261,1000.0,0.0,nan,0,31525,0,213,1.0704283581839666,1.0674492660164834,0.750610697732008,2.464942772924075,0.6256711184978485,3.6584780272841453,1.0704283581839666,1.0674492660164834,241.29857635498047,240.7474649810791,0.9295716418160332,0.9325507339835167,241.29857635498047,240.7474649810791,2369.739818771366,1393.52558277735,1.436343527808835,1.111754197293293,0.9323047538962933,1.0676952461037068,104.98573474121093,642.7208665867091
