algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.3224927136171427,0.38009332259496054,2.0955755066871644,nan,0.6763646687780108,0.67663503408432,1000.0,0.0,nan,0,30595,0,205,270.5459943498884,270.6539598083496,270.5459943498884,270.6539598083496,1.2,1.1999999999999997,0.03085816331773333,1.3224927136171427,1545.719978962547,1546.7754492950346,1.0,1.0,0.897144649709974,0.8934566822648048,1.2,1.1999999999999997,0.5475119834374972,0.6513917689889069,1.0,1.1999999999999995,112.04922784423829,640.3502594234894
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.3615194567273012,0.5537589867909749,1.8906260959307353,nan,0.7439921572804451,1.2205211955308914,1000.0,0.0,nan,0,30955,0,213,271.7700901031494,290.1592791748047,271.7700901031494,290.1592791748047,1.2061561210046114,1.286100806022224,0.09315144799740231,1.353587434013353,1503.2335000082103,1603.734664213331,0.9918499812483788,0.9250292485952377,0.9001466035842896,1.5244420760869979,1.2061561210046114,1.286100806022224,0.5973258424037824,0.6711663425531907,0.9299789324954704,1.2801789775024008,124.76035455322265,689.597337685595
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.416805679789698,0.6500443172454834,1.6801625533898672,nan,0.7510317087173461,1.8377220159769059,1000.0,0.0,nan,0,31093,0,213,269.77915852864584,281.9025473022461,269.77915852864584,281.9025473022461,1.1961129635078964,1.2499121698368854,0.1557517562211192,1.401770802929511,1478.0250015826,1517.3740415230598,0.9972406546274821,0.952138178050518,0.8972464601198832,1.848842697739601,1.1961129635078964,1.2499121698368854,0.654159374904476,0.6948711957248196,0.9552848624628644,1.2461587368371887,120.85439367675781,651.2903666567017
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,1.4752992762594146,0.7092243138949076,1.4802513523896534,nan,0.7314470708370209,2.397078958749771,1000.0,0.0,nan,0,31166,0,216,269.03262786865236,280.41684295654295,269.03262786865236,280.41684295654295,1.1924794479380119,1.2428580582221636,0.2370030534802235,1.455491053680363,1529.2457994224685,1501.2039716989489,0.9972831636667252,0.9549214434623718,0.8845712542533875,2.0587819570302965,1.1924794479380119,1.2428580582221636,0.7243982535602795,0.7165780278720139,0.9587725089354948,1.2382781845599684,122.92804229736328,661.6514206564783
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,1.54962980734456,0.7505229832728704,1.2999335026741028,nan,0.7107297692980085,2.9324383330345154,1000.0,0.0,nan,0,31001,0,207,267.67588806152344,278.8899670410156,267.67588806152344,278.8899670410156,1.1878997723311557,1.235617159866117,0.29597980184714145,1.5166319813879396,1608.105353188554,1509.4188627492,0.9981329653944288,0.9578884273767472,0.88103529385158,4.832461286485195,1.1878997723311557,1.235617159866117,0.7842406736634608,0.737671550220106,0.9605212476208945,1.232495461616166,119.05091168212891,648.7944949889595
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,1.6188950362678365,0.7789836470286051,1.1459961978594462,nan,0.9961178766356574,3.4109062445163727,1000.0,0.0,nan,0,30664,0,202,270.3900214301215,279.6820561218262,270.3900214301215,279.6820561218262,1.1990545400106751,1.2395127779428063,0.3197407533875647,1.5756281919113655,1738.23810987412,1545.2503697668417,0.9856867260403104,0.9514619877934456,0.8852970202763876,4.57226396381855,1.1990545400106751,1.2395127779428063,0.822095728797085,0.7595292647657211,0.9529357803495306,1.2377705571706092,116.73984283447265,649.3884338844707
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,1.6991669957461872,0.799115646481514,1.0197130878766378,nan,0.8388017535209655,3.8241405200958254,1000.0,0.0,nan,0,30962,0,210,272.6350118001302,282.69980377197265,272.6350118001302,282.69980377197265,1.2073097238946404,1.2531287752342353,0.3707302252094618,1.6272617742279152,1944.7166718224144,1596.6828083731596,0.9756349484125774,0.9367588970065117,0.8762208620707194,6.133500026762485,1.2073097238946404,1.2531287752342353,0.8733428448168433,0.7740089829766645,0.9394711796627488,1.2499320972337986,121.25897186279298,697.0146235039364
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,1.7761682059387014,0.8134529789288839,0.9189692900578181,nan,0.773297905921936,4.230474076271057,1000.0,0.0,nan,0,30833,0,215,271.7564765082465,283.9384683227539,271.7564765082465,283.9384683227539,1.2041178301579947,1.2587421277622126,0.4359024119405826,1.6775543830690571,2164.904081754459,1601.188290800174,0.9752735992272695,0.9287873181700707,0.8674285544289483,6.007012848258018,1.2041178301579947,1.2587421277622126,0.9325632003919725,0.7835232842621686,0.93262563495461,1.2542318646572774,123.35862048339844,718.4118632632301
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,1.852051754773043,0.8236779795090358,0.8394393881162008,nan,0.9046536036159681,4.657482261657715,1000.0,0.0,nan,0,31696,0,218,276.7266049592391,282.45502319335935,276.7266049592391,282.45502319335935,1.2262413344869476,1.2526042244913194,0.4984564042994046,1.7302538707249848,2443.983686181111,1535.4619025614572,0.9533107280731201,0.9308080172538757,0.8651674312093983,6.8036197987198825,1.2262413344869476,1.2526042244913194,0.9911753908696368,0.7924287086327424,0.9331289246477888,1.2498851820245005,125.71143310546876,726.6080105889139
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,1.9120767592943013,0.8316896458466848,0.7758797611792883,nan,0.958908263179991,5.0587950813770295,1000.0,0.0,nan,0,31524,0,214,281.99359130859375,281.446446685791,281.99359130859375,281.446446685791,1.2509563252307885,1.2479084598559367,0.5373429192781343,1.7879410902804869,2767.10425822582,1420.030813418592,0.9290064573287964,0.9316158562898635,0.8536045485072665,4.7785096946358685,1.2509563252307885,1.2479084598559367,1.0375821876790756,0.8062073343585184,0.9314004013297754,1.2481601184648692,122.73034796142578,667.6280786635664
