algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.373427989470462,11.260531602700551,nan,203.47300720214844,203.5543684387207,1000.0,0.0,nan,0,30595,0,205,225.45499093191964,225.54495796203614,0.04447437226608758,1.9060445256894676,225.45499093191964,225.54495796203614,1.0,1.0,1.0,1.0,81192.1953125,80858.4384375,1288.099957924811,1288.9794921870032,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9631890153366445,0.526612320865194,14.525943171977996,nan,176.53600668907166,3.752381616383791,1000.0,0.0,nan,0,31067,0,101,250.89334869384766,445.80922630310056,0.13475738888215025,1.909901203143203,250.89334869384766,445.80922630310056,1.113799385901027,1.9760205815517076,0.8750067441724241,0.004120081441942603,7537.655666589737,0.0,1137.3931203586012,456.80312785179876,1.113799385901027,1.9760205815517076,0.8448149145865712,0.9492352420398582,0.06863020460716346,1.9121523448368427,186.35227767944335,219.11783099219477
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.9673373483603538,0.5995309852312009,21.837793629964192,nan,198.0446014404297,161.47357936859132,1000.0,0.0,nan,0,31094,0,212,223.6028279622396,275.6496502685547,0.2266430873698979,1.9268166677002996,223.6028279622396,275.6496502685547,0.9913698341489429,1.2221677799658588,0.9886031667391459,0.7531427931413055,38362.710546875,6342.5014453125,1149.8797944849327,275.64965466054394,0.9913698341489429,1.2221677799658588,0.9067125195020588,0.9628839392330009,0.7695702610667362,1.2060655976995625,116.96794494628907,144.75625569876556
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.0058664393858714,0.6305359831700722,25.14623453179995,nan,177.86148376464843,161.67522758483886,1000.0,0.0,nan,0,31166,0,216,242.02503128051757,272.69629989624025,0.3470171059572752,1.9439724830207263,242.02503128051757,272.69629989624025,1.0728977949372867,1.20864976660748,0.894427602738142,0.7545413680374622,22867.778564453125,22560.0307421875,1167.1762670670919,272.6963047828564,1.0728977949372867,1.20864976660748,0.9857992567826555,0.9741352390517171,0.7672582984647968,1.1963086782738261,118.7595212097168,155.76557259582623
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.049829801992098,0.6613683186968168,22.211233783960342,nan,181.41282762799943,177.72624256134034,1000.0,0.0,nan,0,31000,0,208,233.11039406912667,253.84551216125487,0.4358541191927335,1.9744747905342626,233.11039406912667,253.84551216125487,1.0343956541016899,1.124668020485142,0.9233898584331784,0.8294334068894387,33892.69684709822,31193.9057421875,1239.2326774741746,253.8455166866652,1.0343956541016899,1.124668020485142,1.0513023877293448,0.9862190537885246,0.8355800906352908,1.118762351656318,108.0652958984375,136.23672164394299
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.127912851591411,0.6923949822410941,17.093456050157545,nan,125.14750501844618,185.52295600891114,1000.0,0.0,nan,0,30662,0,204,295.5721164279514,243.43404823303223,0.4709339707029913,2.0291840196551427,295.5721164279514,243.43404823303223,1.3109335589826916,1.07887599552114,0.6218534401721425,0.8658088493347168,17931.135850694445,28273.87841796875,946.9253505630327,243.43405333434146,1.3109335589826916,1.07887599552114,1.0942339902838518,1.0063968873793139,0.855303592480826,1.0888689049524987,102.69391738891602,114.41827764387116
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.320689249309647,0.699812315205733,19.245452858408292,nan,148.60279998779296,197.74763748168945,1000.0,0.0,nan,0,30962,0,210,263.5460703531901,228.83946922302246,0.5499615789225721,2.1516893012148044,263.5460703531901,228.83946922302246,1.1669228677552936,1.0143917754316416,0.7609186520179113,0.9228817403316498,9923.779036458332,27143.2476953125,1221.8528772119457,228.8394731906092,1.1669228677552936,1.0143917754316416,1.190652667839465,1.049167588135523,0.9115819899841796,1.025033479547245,99.44216979980469,128.19137559260207
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.4495929668191323,0.6964353160311778,24.660212572018306,nan,147.67337036132812,186.60459716796876,1000.0,0.0,nan,0,30836,0,212,258.97482723659937,237.4809718322754,0.653260069267979,2.231124426721176,258.97482723659937,237.4809718322754,1.1472443644748402,1.0527786753950208,0.7695710332029395,0.8708862575888634,13783.252170138889,14839.521904296875,1410.6036628373151,237.48097644742947,1.1472443644748402,1.0527786753950208,1.2844058122492577,1.0703439825059078,0.8625207803459889,1.060578594676841,104.31548251342774,145.77412244111514
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.4886423913743267,0.6905496503785252,22.854494016567866,nan,114.51973505642103,189.96056983947753,1000.0,0.0,nan,0,31700,0,214,293.1434405782948,231.77114227294922,0.7522973140740256,2.3312332753524654,293.1434405782948,231.77114227294922,1.2991637215549199,1.027835907500944,0.5926327416470841,0.8865586537122726,0.0,21005.017476825713,1242.035140072179,231.77114737081786,1.2991637215549199,1.027835907500944,1.3838716985854014,1.0955006148383166,0.856243425113621,1.0558203905648067,106.19305517578125,149.8420753916474
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.5154659892632156,0.6967896487563848,20.25428489049276,nan,92.84093822373285,182.7808966064453,1000.0,0.0,nan,0,31529,0,209,313.79097917344836,236.41372093200684,0.8153433009862776,2.393738927964567,313.79097917344836,236.41372093200684,1.3917554593431092,1.0482367903419614,0.4771769671804375,0.8530462607741356,0.0,11574.997109375,1178.8036522441407,236.41372579140022,1.3917554593431092,1.0482367903419614,1.4467015517775932,1.1087360516871094,0.8220111814865826,1.0766007171402212,105.86196362304688,137.00242179734917
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.554701476439361,0.686745983188351,22.459017756581307,nan,146.3286317524157,185.09255409240723,1000.0,0.0,nan,0,31820,0,214,250.32395935058594,231.84979446411134,0.9187317510159416,2.4572139612519237,250.32395935058594,231.84979446411134,1.1091670187741272,1.0280386602631442,0.7741808675621685,0.863841570019722,8513.458881578947,17673.77830078125,1637.5208911417092,231.8497992885625,1.1091670187741272,1.0280386602631442,1.5341246351103346,1.1130222642014949,0.8560627876147288,1.0350771936499419,102.2522282409668,154.96571357880993
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.589089870872441,0.6906019831821323,21.24355656703313,nan,100.19611679183112,180.9953776550293,1000.0,0.0,nan,0,31469,0,211,297.9125171237522,233.47142372131347,0.9830331844790372,2.5017839676362494,297.9125171237522,233.47142372131347,1.320668373492576,1.034929268363536,0.5257668563216511,0.8447311532497406,0.36332159572177464,9329.31767273903,1315.7842845184566,233.47142773599575,1.320668373492576,1.034929268363536,1.5905334977419223,1.1149867083167055,0.8183946516685222,1.0585224054842823,104.11342010498046,140.75680533706276
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.6375857919124908,0.6986196505029997,19.92194183607896,nan,117.80319907448508,182.22115776062012,1000.0,0.0,nan,0,30495,0,205,275.8649624911222,229.91700904846192,1.0237177199019931,2.54469882050055,275.8649624911222,229.91700904846192,1.2241720860158458,1.0195565199768541,0.6197498272257772,0.850453233718872,6549.715909090909,34609.35263671875,1423.460642166499,229.91701304951727,1.2241720860158458,1.0195565199768541,1.6321101601414156,1.1202066606331387,0.8384260419111752,1.0302236821874178,98.03583279418946,123.28293934746989
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.682066441962744,0.7011443146814903,19.564067917664847,nan,83.40140778878155,180.4703741455078,1000.0,0.0,nan,0,30766,0,210,308.37978587431064,229.4223706817627,1.0734133460570225,2.5819994323227977,308.37978587431064,229.4223706817627,1.3678204814281705,1.0165881391798375,0.44228721245685043,0.84228057295084,0.0,23655.862731666566,1446.0015757811818,229.42237548285294,1.3678204814281705,1.0165881391798375,1.6768477805633324,1.1210866025998032,0.8109446875665183,1.0441040369596608,102.25386099243164,140.93300376970134
