algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3748349894583225,2.105045402844747,nan,9.638195582798549,9.642049570083618,1000.0,0.0,nan,0,30595,0,205,182.17640904017858,181.4275517272949,225.45499093191964,225.54495796203614,1.0,1.0,1288.099957924811,1288.9794921870032,1.0,1.0,0.04447437226608758,1.9060445256894676,1.0,1.0,225.45499093191964,225.54495796203614,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9631889686101893,0.5341879873226086,1.906846787929535,nan,8.922773092985153,4.396735819578171,1000.0,0.0,nan,0,30955,0,213,44.787100076675415,21.460747356414796,238.23864364624023,349.72305335998533,1.057514219493227,1.5501132216780649,1230.347050634679,1247.11815660104,1.057514219493227,1.5501132216780649,0.1347783422908258,1.9127253158575162,0.9318575859069824,0.4343078814446926,238.23864364624023,349.72305335998533,0.8459571317175019,0.950516437620285,0.4711634151085659,1.5136244067014102,147.51285794067383,538.2183682607257
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.012594620132423,0.6195296514034271,1.7054102897644043,nan,9.417485237121582,9.056104202270507,1000.0,0.0,nan,0,31093,0,213,136.05662282307944,82.79099815368653,222.8081512451172,244.86776512145997,0.987851595057608,1.0857011499249858,1190.6327810297798,911.5747391864212,0.987851595057608,1.0857011499249858,0.2267078618601272,1.9570380191810564,0.9921924789746602,0.8923662319779396,222.8081512451172,244.86776512145997,0.9188399247884989,0.9757985624782425,0.8993308538614317,1.0788744367947039,104.6313505859375,400.3488791054619
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.038850908201703,0.6685826490322749,1.5161182963848114,nan,8.943098497390746,8.665536551475524,1000.0,0.0,nan,0,31166,0,216,86.02460613250733,82.93705116271973,229.39739151000975,250.96621223449708,1.0168606626987167,1.1123430467617192,1245.9473577606184,743.0912252056388,1.0168606626987167,1.1123430467617192,0.3471125655418336,1.9935690523035767,0.9521713197231293,0.8537810641527176,229.39739151000975,250.96621223449708,1.005695160246531,0.9938582013684886,0.8627256328409368,1.103662830028719,109.56238055419922,347.07438439268026
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.1057887666629798,0.7130283172925314,1.333202037413915,nan,8.949972867965698,8.621573808193206,1000.0,0.0,nan,0,31001,0,207,103.0387796674456,95.52452785491943,224.08041054861886,249.50745826721192,0.9943825460477393,1.1054457839527816,1299.8021067521222,667.6132536000123,0.9943825460477393,1.1054457839527816,0.4359650486087468,2.030345237082571,0.9650359324046544,0.8494401177763939,224.08041054861886,249.50745826721192,1.0737171239982763,1.0074354064691495,0.8570024607894576,1.0981799646505825,106.0772348022461,303.43976042906434
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.2404859576315244,0.7492119810978571,1.1722730310757954,nan,7.976342307196723,8.980127158164978,1000.0,0.0,nan,0,30662,0,204,90.64222632514105,109.50160713195801,246.83029513888889,239.36569007873535,1.094643143107236,1.0608322714320442,1361.0162642642633,609.3521626675105,1.094643143107236,1.0608322714320442,0.47118097436240686,2.0932756761024205,0.8492333028051589,0.884777694940567,246.83029513888889,239.36569007873535,1.1200188550584123,1.0307025173175985,0.8832470751835398,1.0622882419826505,100.18922134399413,268.2391578237609
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.294159836175253,0.7685143141945203,1.0506357177098593,nan,8.401446628570557,8.829095780849457,1000.0,0.0,nan,0,30962,0,210,87.76872049967447,87.46407176971435,232.08733011881512,240.09795989990235,1.0277144743794295,1.0642904195936418,1604.233141751035,570.2810506107412,1.0277144743794295,1.0642904195936418,0.5503157766048972,2.1522659665080006,0.9087352116902669,0.8698975363373757,232.08733011881512,240.09795989990235,1.1910958525661386,1.0492518818885825,0.8726071415945541,1.0617386094624177,103.0018038635254,276.2394144968275
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.4570752712641237,0.7800189811984698,0.960305001338323,nan,8.38944403330485,9.05519655227661,1000.0,0.0,nan,0,30837,0,211,96.19483354356554,88.34402263641357,227.30086517333984,233.00002670288086,1.0070508421277844,1.032927484042618,1749.363782093412,526.8893524481529,1.0070508421277844,1.032927484042618,0.6537349738614023,2.2471879795523453,0.9199297328790029,0.8921768227219582,227.30086517333984,233.00002670288086,1.2911161761377796,1.0763813766563028,0.8944683474138242,1.03079088058176,101.38284182739258,273.732837134624
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.51581043018604,0.7890449806054434,0.8860349150498709,nan,7.71230003108149,9.317556538581847,1000.0,0.0,nan,0,31696,0,218,51.21329697318699,87.34385478973388,241.5307915729025,225.2172745513916,1.0703854554079946,0.9987816845422478,1929.3116411061733,476.2276635691851,1.0703854554079946,0.9987816845422478,0.7537984772281006,2.3890504596748086,0.8404652787291486,0.9180327177047729,241.5307915729025,225.2172745513916,1.4078992702067838,1.1159369556531864,0.9100324885727579,1.0061668268288493,101.19732623291016,279.23940091855803
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.5543035050611174,0.7996489794055621,0.8215890171130499,nan,7.476904233296712,8.768368465900421,1000.0,0.0,nan,0,31526,0,212,72.77425723605685,83.52108119964599,245.56448449028863,234.1709464263916,1.089300826393898,1.0382949859323916,2221.9432003350253,470.72342199981284,1.089300826393898,1.0382949859323916,0.8168434021158445,2.4500504377022723,0.808115048540963,0.863924327492714,245.56448449028863,234.1709464263916,1.4701262163504156,1.1281952846109344,0.8593162218911932,1.0425064773466444,102.50870001220703,268.27932401198603
