algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.37462032278378804,2.10786647717158,nan,10.709105900355748,10.71338816165924,1000.0,0.0,nan,0,30595,0,205,1288.099957924811,1288.9794921870032,1.0,1.0,1.0,1.0,225.45499093191964,225.54495796203614,225.45499093191964,225.54495796203614,224.90914263044084,223.9846026611328,0.04447437226608758,1.9060445256894676,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9631889686101893,0.5317996539920569,1.9159009206295012,nan,10.338695645332336,8.143406527042389,1000.0,0.0,nan,0,30953,0,215,1223.1000777449053,1190.7082153423914,1.0633680103538827,1.5941476876204093,0.9259449634701014,0.389830861762166,239.55395126342773,359.65788246154784,239.55395126342773,359.65788246154784,112.52319288253784,64.78981594085694,0.1347747509170647,1.9122569984246625,1.0633680103538827,1.5941476876204093,0.8457676499201039,0.9503038764583149,0.4295430174442353,1.5548306744895553,151.52887942504884,515.4224886247936
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.9809730280483075,0.6177739849189917,1.7223080492019653,nan,11.363127263387044,25.113585226535797,1000.0,0.0,nan,0,31095,0,211,1180.7848512999485,759.0358924860353,0.9954141109016003,1.1549055773073036,0.9844771901766459,0.8217637824267149,224.51632283528645,260.47597534179687,224.51632283528645,260.47597534179687,188.82093556722006,128.7423349380493,0.22663783026851508,1.9378910349905922,0.9954141109016003,1.1549055773073036,0.911139112157346,0.9675993193490772,0.8331158806418264,1.1437782656976034,110.92587982177734,339.0379025334127
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.0058664393858714,0.6655636485417684,1.530604177713394,nan,10.295197296142579,31.693847332000733,1000.0,0.0,nan,0,31166,0,216,1246.9538823429464,400.28664508141884,1.0232556310416627,1.167042095318605,0.9455815955996514,0.797416181564331,230.83754196166993,263.3099060058594,230.83754196166993,263.3099060058594,192.2658836364746,277.22535873413085,0.3470358829300483,1.9604318907936433,1.0232556310416627,1.167042095318605,0.9923942860754864,0.9806478113832401,0.8108857646584511,1.153970598566156,114.55746408081055,209.9928133262854
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.1914000212188904,0.7092089844246705,1.344942077000936,nan,10.952295712062291,43.22598901748657,1000.0,0.0,nan,0,30999,0,209,1303.0857135408478,254.2999651860971,0.9625832744649614,1.0647769885609792,0.9981329568794796,0.8917686381936073,216.90408979143416,240.32779930114745,216.90408979143416,240.32779930114745,208.84180995396204,841.9993813323974,0.4364802862891493,2.01738666027242,0.9625832744649614,1.0647769885609792,1.0688428358824575,1.0028189431765255,0.8987270515655803,1.0580914184799313,102.20443423461914,138.20638605358258
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.2857223366294055,0.7453409811357657,1.192779587507248,nan,12.85520150926378,50.790466747283936,1000.0,0.0,nan,0,30662,0,204,1366.6975274626466,237.27090983991258,1.0768929163844334,1.0512937014921695,0.8678936031129625,0.8948053178191185,242.8244154188368,237.21342124938965,242.8244154188368,237.21342124938965,188.68907504611545,791.0685512542725,0.47241915586774136,2.0987744803175983,1.0768929163844334,1.0512937014921695,1.122961285647684,1.0336773888781208,0.8936464401523462,1.0523960600281999,99.25620797729492,119.50891943029268
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.3954542632228275,0.7608943131566047,1.08302592198054,nan,11.0233029683431,58.25121023178101,1000.0,0.0,nan,0,30963,0,209,1607.7639083046026,233.4413440065478,1.0440320118503634,1.0347972340591463,0.8914086540540059,0.9012144786119461,235.7758534749349,233.44133949279785,235.7758534749349,233.44133949279785,201.96562805175782,1088.8342903137207,0.5515199339535115,2.208716618718242,1.0440320118503634,1.0347972340591463,1.2143986078594038,1.0719940851501768,0.900530351317206,1.0354415208817893,100.44981140136719,141.60945485175722
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.473704289009304,0.7685643144448598,0.9911610698699951,nan,10.60960324605306,64.40455383300781,1000.0,0.0,nan,0,30835,0,213,1727.1164898099648,232.81499805104235,1.00921783805989,1.0321102539098148,0.9176056120130751,0.893053308725357,227.80299462212457,232.81499473571776,227.80299462212457,232.81499473571776,193.3684785630968,997.6806071472168,0.6550733800744492,2.3174006997139,1.00921783805989,1.0321102539098148,1.3200043079302293,1.10466858330766,0.8950805631252604,1.0302200544359679,101.3269057006836,155.3021928535757
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.5255211121671675,0.7710729813575745,0.9421914867560068,nan,10.434063517529031,71.52018672943115,1000.0,0.0,nan,0,31697,0,217,1903.8293943640972,228.3999605871894,1.1078701838788663,1.012883455158952,0.7998585571413455,0.9027564519643784,249.98682503078294,228.39995567321776,249.98682503078294,228.39995567321776,164.43305040442425,1055.8126263427735,0.7547650311744678,2.3913591394643583,1.1078701838788663,1.012883455158952,1.4094026744904242,1.1195574251983298,0.892143664605949,1.0226802926502438,102.85937622070313,178.93613637562422
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.5781542371316113,0.7824516461789608,0.882327407002449,nan,11.06794023513794,78.53547548294067,1000.0,0.0,nan,0,31524,0,214,2260.468473126584,223.9631046082994,1.1321910556982013,0.9930318620912866,0.7611856626139747,0.9134500735998153,255.2337188720703,223.96310012817383,255.2337188720703,223.96310012817383,188.6602062649197,1074.197063293457,0.8176131803712833,2.4611240831407777,1.1321910556982013,0.9930318620912866,1.4750175414790812,1.134209391417604,0.9008777827844707,1.0045220707377291,98.77365393066407,170.96210687587677
