algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.38011665602525074,2.0955675053596496,nan,0.45654612353869845,0.45672868892550467,1000.0,0.0,nan,0,30595,0,205,225.45499093191964,225.54495796203614,1.0,1.0,0.4087615353720529,0.4070812423527241,1.0,1.0,1.0,1.0,225.45499093191964,225.54495796203614,0.04447437226608758,1.9060445256894676,1288.099957924811,1288.9794921870032,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9752467764249377,0.5539929868777593,1.890507727066676,nan,0.5001020692288876,0.8292812439799309,1000.0,0.0,nan,0,30955,0,213,224.79091358184814,239.2828688812256,0.9923183843493462,0.9287435764074325,0.4044274855405092,0.6969372835755349,0.9976550160470229,1.06059724408055,0.9976550160470229,1.06059724408055,224.79091358184814,239.2828688812256,0.1351541893833023,1.960902361557476,1244.115473859908,1327.426463920331,0.8654534582529718,0.9724398983582825,0.933452821440167,1.0559348568188072,102.90645678710938,570.7822807316494
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.087819077045912,0.6503703165054321,1.679978485107422,nan,0.5019578317801158,1.2586055898666382,1000.0,0.0,nan,0,31093,0,213,221.6097401936849,229.65633689880372,0.9976053396860759,0.9611696818470955,0.39752017458279926,0.8533437840640545,0.9825459161694842,1.0182600996443114,0.9825459161694842,1.0182600996443114,221.6097401936849,229.65633689880372,0.2273297146528165,2.0659448213367666,1214.9767715553248,1250.1393012254741,0.9627757573263965,1.0228328145489778,0.9637117044870244,1.0157684124251376,98.51082696533203,536.5050236368494
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.2343039231334605,0.7095113146305084,1.4800929311911266,nan,0.48446221500635145,1.6481067568063736,1000.0,0.0,nan,0,31167,0,215,219.4887954711914,226.5408226776123,0.9974944084882736,0.9653522127866745,0.38645589500665667,0.9395087723433971,0.9728770736399598,1.0040693238970189,0.9728770736399598,1.0040693238970189,219.4887954711914,226.5408226776123,0.34873766708277193,2.2006842086826857,1247.8260037840112,1244.072258607651,1.0895162837227375,1.078681566474761,0.968274230577729,1.001233664782741,99.39588088989258,547.5419435944209
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.420728865520668,0.7506956495841344,1.2998726042111715,nan,0.4670671948364803,2.0204206800460813,1000.0,0.0,nan,0,31001,0,207,216.90408870152064,223.79318183898926,0.9981329611369542,0.9680251580476761,0.3795598979507174,2.4081340688467026,0.9625832703744247,0.9915105296186806,0.9625832703744247,0.9915105296186806,216.90408870152064,223.79318183898926,0.4381820710759723,2.3697682252701786,1303.0857069604176,1263.9870973217583,1.2108165327536549,1.1422391757414159,0.969994827408657,0.9896180920980284,95.59058721923829,542.081238723595
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.465709990872656,0.7791626473267873,1.1458764227231344,nan,0.6572625670168135,2.3624540305137636,1000.0,0.0,nan,0,30663,0,203,217.310787624783,222.30025787353514,0.986919124921163,0.9642828860878945,0.37609362602233887,2.1557698130607603,0.963672337773922,0.9852045942121527,0.963672337773922,0.9852045942121527,217.310787624783,222.30025787353514,0.4759697316858983,2.4545063323226204,1398.8995450827429,1306.0761634690095,1.2673843719405873,1.1743200474598112,0.9652576523534419,0.9842773678583532,92.83169732666016,547.6106571990931
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.5180244502777303,0.7993843128283818,1.0195295055707296,nan,0.550427500406901,2.678378700017929,1000.0,0.0,nan,0,30963,0,209,217.75359497070312,221.42780296325682,0.9760937452316284,0.9577802041172981,0.3670627852280935,3.1343993408977986,0.9642785964559301,0.9815256399617437,0.9642785964559301,0.9815256399617437,217.75359497070312,221.42780296325682,0.5567072601763171,2.4987663755501215,1553.3417621018118,1372.8985854559678,1.333530906325839,1.1837443268416525,0.9590578930322514,0.9803223578566869,95.10372903442382,595.7596870454415
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.57497387792727,0.8136773135264714,0.9187302847703298,nan,0.5024772948688931,2.968961067199707,1000.0,0.0,nan,0,30833,0,215,215.52322133382162,220.97406944274903,0.9758007758193545,0.9493580839037895,0.358327728178766,3.0842049324512484,0.9549570269785005,0.9796120295022505,0.9549570269785005,0.9796120295022505,215.52322133382162,220.97406944274903,0.6614420274557221,2.5444609894726296,1717.5672609240908,1429.4755748895532,1.4146496122624854,1.1880698809430577,0.9515414254381023,0.9775762953489134,96.14846374511718,633.6226513490885
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.635631690943578,0.8239463126659393,0.8390822428464889,nan,0.5888258439043293,3.2456141006946564,1000.0,0.0,nan,0,31696,0,218,217.75039142111072,220.11005180358887,0.9547338511632837,0.9425828379392623,0.35242506861686707,3.1355989348888396,0.964902268315779,0.9761190672480333,0.964902268315779,0.9761190672480333,217.75039142111072,220.11005180358887,0.7653773101080958,2.5922248651690944,1925.1859595788121,1455.4972270377307,1.4961163321324953,1.192310280172057,0.9438360814556412,0.9749621776720608,98.06053872680664,670.7574449557176
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.702337474703912,0.8319489790995915,0.7754710845152537,nan,0.6264008780320486,3.5146106767654417,1000.0,0.0,nan,0,31525,0,213,220.4021487765842,218.80865264892577,0.9301938050323062,0.9384593814611435,0.34288084672556984,2.6499021568894388,0.9777292437773271,0.9701750757147698,0.9777292437773271,0.9701750757147698,220.4021487765842,218.80865264892577,0.8314998238322441,2.64403722834076,2166.5520880263252,1426.552172695651,1.5565147856356503,1.201391399444398,0.9377769026734414,0.9707988143621369,95.45793841552734,648.6167442472079
