algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.4576347377151251,1.9727922281622887,nan,0.5635412782430649,0.5640535992383957,1000.0,0.0,nan,0,10552,0,110,1.0,1.0,1.0,1.0,0.05718133577068404,1.906044525689468,959.2692011536615,959.8655770581192,1.0,1.0,225.4163589477539,225.6212565612793,225.4163589477539,225.6212565612793,0.6252379715442657,0.9493413174152374,0.4269539737544407,0.7946720006967081,1.0,1.0,50.53424392700195,214.99557623931173
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,1,1.944340680556434,0.5716417348384857,1.706325060427189,nan,0.5999166934113753,0.9634616696834564,1000.0,0.0,nan,0,10850,0,114,1.0041713642446863,1.1128589916135827,0.9857365457635177,0.8759565895795822,0.13952257425594855,1.9366991246570924,1112.336226628929,1225.0399441417953,1.0041713642446863,1.1128589916135827,226.6093211926912,250.9303370666504,226.6093211926912,250.9303370666504,0.6157133767479345,1.6591611844301224,0.4989578843361773,0.8461780472407957,0.8934844817434039,1.0955055048908178,58.797221618652344,287.2767654402583
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,2,2.0460317277155124,0.6214977335929871,1.4820750123262405,nan,0.602169793844223,1.527288327217102,1000.0,0.0,nan,0,10942,0,116,0.9824840135768456,1.0299527660702257,0.9976684927940369,0.949240807890892,0.23320122053834105,2.023574473088079,1190.5661395610218,1220.4788420424175,0.9824840135768456,1.0299527660702257,221.7323112487793,232.3420018005371,221.7323112487793,232.3420018005371,0.6051118075847626,1.8272574073076249,0.5912758710482886,0.9121430772360952,0.9573120887080828,1.022041307321329,55.33769281005859,291.7184139909244
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,3,2.1775818827617455,0.6508469845354558,1.3060775017738342,nan,0.5842640775221365,2.0049935281276703,1000.0,0.0,nan,0,11477,0,123,0.9727059375520428,1.0110574465150142,0.9976707564459907,0.9581512701511383,0.3592811550594942,2.1431568960870755,1325.9643492797923,1315.7235660283995,0.9727059375520428,1.0110574465150142,219.35717829951534,228.02066879272462,219.35717829951534,228.02066879272462,0.6563036530106156,2.9943230652809145,0.7160563032650105,0.985941600507757,0.9665530507020125,1.0029039761055638,57.44942138671875,334.7467880667886
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,4,2.339534230065903,0.673102733194828,1.176382281780243,nan,0.5696393118964301,2.4408842611312864,1000.0,0.0,nan,0,10803,0,113,0.9621763946920532,1.0026184062137153,0.9985564417309232,0.9564639604091645,0.44686399033743124,2.2822551256707713,1514.4394327971133,1447.6419858070187,0.9621763946920532,1.0026184062137153,217.01810540093317,226.08325927734376,217.01810540093317,226.08325927734376,0.5796715650293562,1.5067771124839782,0.8139422174040992,1.043995276772175,0.9628848473904497,0.9964492858121059,53.029303649902346,344.0482167420997
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,5,2.450922381603684,0.6903877331316471,1.082180552482605,nan,0.6907740235328674,2.830943944454193,1000.0,0.0,nan,0,11468,0,112,0.9684225554518017,1.0013622959430495,0.9819253583749136,0.9472967612743378,0.5166683266119148,2.4140012984152124,1784.156712567018,1581.793610030331,0.9684225554518017,1.0013622959430495,218.40975697835287,226.04427261352538,218.40975697835287,226.04427261352538,0.5994703272978464,3.8100967955589295,0.8961349209725744,1.092285142703639,0.952579089645612,0.9963375897664182,53.07160577392578,380.58836365847884
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,6,2.491692336138226,0.7021534821391106,1.011785826086998,nan,0.6731904281510247,3.197278232574463,1000.0,0.0,nan,0,10733,0,115,0.9689313366025166,0.9987165016522256,0.9711532957024045,0.9395263189077377,0.5880072769840694,2.469923063226064,2014.9580292856201,1671.840285298223,0.9689313366025166,0.9987165016522256,218.53299543592664,225.28143463134765,218.53299543592664,225.28143463134765,0.558963762389289,1.8301227617263793,0.9643904342324684,1.116093246024181,0.9443507729950598,0.9941730018988801,52.92347476196289,406.90654611392694
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,7,2.537062132640696,0.7102907311916351,0.9578715935349464,nan,0.6410682743245905,3.5262603402137755,1000.0,0.0,nan,0,10932,0,118,0.9593447859734681,0.998865700936442,0.9710948683998801,0.9287083637714386,0.6786512562017414,2.5079048927569003,2262.830732161665,1701.8547559926571,0.9593447859734681,0.998865700936442,216.59021828391334,225.37837158203126,216.59021828391334,225.37837158203126,0.5496821403503418,2.4593730568885803,1.0445019835127731,1.1343473733090705,0.9363518318191904,0.9917389785660695,54.60564392089844,439.9355034136447
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,8,2.580667257641605,0.716894981265068,0.9148864088952542,nan,0.6764869447107669,3.8697403407096864,1000.0,0.0,nan,0,11588,0,122,0.990666026790778,0.9898317534883233,0.9268243047926161,0.9277280622720718,0.7721808941904362,2.549299432471914,2588.5812564558587,1654.4973870451017,0.990666026790778,0.9898317534883233,223.40400978370948,223.45411544799805,223.40400978370948,223.45411544799805,0.5337009319552669,3.732056555747986,1.1276046018467318,1.1500749497589917,0.9275359248551797,0.9900091186786089,56.75463961791992,470.68286525763665
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,9,2.633042732891819,0.7226382315158844,0.8796754917502403,nan,0.6779922991991043,4.178641777038575,1000.0,0.0,nan,0,11618,0,118,0.9859806126092531,0.9841872509827606,0.921165369451046,0.9231276196241379,0.8556157708958275,2.593050511076409,2803.240017469654,1564.9902684670099,0.9859806126092531,0.9841872509827606,222.5046272277832,222.07203964233398,222.5046272277832,222.07203964233398,0.6349573830763499,4.236077401638031,1.2031027189319439,1.1620540838390918,0.9227478292680555,0.9845343532330492,55.09463003540039,447.5535745319454
