algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.4579779878258705,1.9726245176792145,nan,0.5636386786188398,0.5638626518845559,1000.0,0.0,nan,0,30595,0,205,225.45499093191964,225.54495796203614,0.04447437226608758,1.9060445256894676,964.6712724282146,959.3900668043229,1.0,1.0,0.6230175239699227,0.6204563817381858,225.45499093191964,225.54495796203614,1.0,1.0,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,397.26142453572413
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9454057062765855,0.5716139847040176,1.7056775796413421,nan,0.6103412508964539,0.9637184891104699,1000.0,0.0,nan,0,30956,0,212,226.1530361175537,250.95532508850098,0.13496638748231912,1.9368772042239097,1107.975461947839,1224.47150228177,0.9861856997013092,0.8764838135242462,0.6164116859436035,0.961544215977192,226.1530361175537,250.95532508850098,1.003726679463248,1.1123370136348194,1.003726679463248,1.1123370136348194,0.8557307141789553,0.9614934451217403,0.8846098791669916,1.1042918036961846,107.6190271911621,525.2438156950388
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.042800425807896,0.6212849831581115,1.481179778575897,nan,0.6153574307759603,1.5208408844470978,1000.0,0.0,nan,0,31093,0,213,222.135151163737,233.10856025695801,0.2269853246484416,2.0188200033514687,1179.8376792726367,1226.4327498674434,0.9952322165171306,0.9455519017577171,0.6058833916982015,1.2497723096609115,222.135151163737,233.10856025695801,0.984872048351278,1.0335686269679167,0.984872048351278,1.0335686269679167,0.9437191961296524,1.0023456490246685,0.9490179702293041,1.030171191250477,99.9074786376953,525.9682303251565
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.1835443414620554,0.6506449842453003,1.305186978181203,nan,0.5974688053131103,2.0017831820249556,1000.0,0.0,nan,0,31167,0,215,219.56215591430663,228.38313247680665,0.34833387040649283,2.1366935035563563,1318.406107760819,1318.9457021691549,0.997158995270729,0.9569368132948876,0.589020037651062,1.3885799634456635,219.56215591430663,228.38313247680665,0.9732025738988191,1.01223601074685,0.9732025738988191,1.01223601074685,1.063677723666438,1.0522659743536646,0.9605933752926913,1.0086875164879383,100.13573922729492,580.3145251780946
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.359495722809379,0.6730126498142878,1.175705409447352,nan,0.5765231890337807,2.4334920299053193,1000.0,0.0,nan,0,31000,0,208,216.8866675240653,226.8597563934326,0.4377903526265972,2.270964226669112,1510.7953490950167,1452.9919491334742,0.9982133081981114,0.9538861730694771,0.5785098586763654,3.389406397342682,216.8866675240653,226.8597563934326,0.9625060737665979,1.0050951170660676,0.9625060737665979,1.0050951170660676,1.171059902243603,1.102346127295777,0.9567860791059298,1.0023089179717097,96.81672924804687,623.4990494280502
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.4539920015873853,0.6905853160222372,1.0815723741054535,nan,0.8032920824156867,2.7957247734069823,1000.0,0.0,nan,0,30663,0,203,218.37040201822916,228.40699409484864,0.475123907722446,2.387368298164611,1779.7793521933509,1588.6321024421338,0.9819762309392294,0.9358319556713104,0.5732270942793952,2.9441553738713266,218.37040201822916,228.40699409484864,0.9683741639717246,1.0122679563788295,0.9683741639717246,1.0122679563788295,1.2400216638993122,1.147407199304678,0.9378190297259098,1.0103777930694329,95.29346487426758,667.4888693163339
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.491964752181955,0.7021139828364055,1.0113541970650355,nan,0.6609851479530334,3.145755487680435,1000.0,0.0,nan,0,30963,0,209,220.757470703125,228.45308959960937,0.5549896257639179,2.4499376685543104,2048.5523139357006,1687.6029119807936,0.9619747161865234,0.9247079887986183,0.5594634373982748,4.005647406876087,220.757470703125,228.45308959960937,0.9775753972592559,1.0126718793959382,0.9775753972592559,1.0126718793959382,1.3129688428800748,1.1640899595561034,0.9273079930349838,1.01022328761896,98.0039599609375,736.4977342103886
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.5407284591702046,0.7102676486968994,0.9574826310078303,nan,0.6101793845494589,3.4600635993480684,1000.0,0.0,nan,0,30834,0,214,217.43495771620007,228.9178995513916,0.6591020249579144,2.490874833121364,2277.729968374181,1726.157060010687,0.966730448934767,0.9115893751382828,0.5461484723620944,3.6840699273347854,217.43495771620007,228.9178995513916,0.9634141437102168,1.0148273401410366,0.9634141437102168,1.0148273401410366,1.3918111482232944,1.1669682539727957,0.9161423078370751,1.0105822138302352,99.39481829833984,772.4611028657453
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.594309214429455,0.7164209824800492,0.9146082476774852,nan,0.6978425409482873,3.786214530467987,1000.0,0.0,nan,0,31696,0,218,222.9824517291525,227.30511024475098,0.7614833612817921,2.5303582458345586,2587.040310513445,1685.1995697671787,0.9295894684998885,0.9080196812748909,0.5371504996133887,3.4241673654317855,222.9824517291525,227.30511024475098,0.9881134589721597,1.0080248821476367,0.9881134589721597,1.0080248821476367,1.4690333151028985,1.168304301018403,0.9102443678496664,1.0059712376048746,101.17923687744141,793.08368219049
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.6594862961293217,0.7224989815553029,0.879564624428749,nan,0.722637308968438,4.106041997671127,1000.0,0.0,nan,0,31525,0,213,229.32889726426868,225.20935653686524,0.8259122856012616,2.571532388272453,2903.7511656585266,1589.8547408153913,0.8868620196978251,0.9073923388123513,0.5226049456331465,3.4489297422766687,229.32889726426868,225.20935653686524,1.0173315137079877,0.9985682148256524,1.0173315137079877,0.9985682148256524,1.5241603266697379,1.1734224734222243,0.9056971748487666,1.0001174780361204,98.33958291625977,740.4769382898635
