algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.38003198966383933,2.095699152350426,nan,0.5635410398244858,0.5640534126758575,1000.0,0.0,nan,0,10552,0,110,1.0,1.0,0.05718133577068404,1.906044525689468,1.0,1.0,1.0,1.0,225.4163589477539,225.6212565612793,0.6252381553252538,0.9493406355381012,1294.534361076787,1288.5584086082727,225.4163589477539,225.6212565612793,0.4269539737544407,0.7946720006967081,1.0,1.0,50.53424392700195,288.7805063874975
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,1,1.9704169030859113,0.5537174864113331,1.8906287264823913,nan,0.6069453390021073,1.019583460688591,1000.0,0.0,nan,0,10850,0,114,0.9978647916912575,1.062353397087459,0.13964285377960572,1.9597287162810604,0.9921065004248368,0.9269697737693786,0.9978647916912575,1.062353397087459,225.1815330103824,239.5432421875,0.6157127587418807,1.6591609245538712,1244.3055080374706,1326.8785948354705,225.1815330103824,239.5432421875,0.5036600262798967,0.8541827390443035,0.9373697553362165,1.0520568970662167,56.46554669189453,312.65932827251805
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,2,2.0825917976107515,0.6497984826564789,1.6802977979183198,nan,0.6025486141443253,1.5452950012683868,1000.0,0.0,nan,0,10942,0,116,0.9822527522991372,1.018986512040726,0.23334000791826853,2.063365847025176,0.9979044258594513,0.9604285949468613,0.9822527522991372,1.018986512040726,221.68009185791016,229.86759963989257,0.6051112741231919,1.82725536942482,1220.3568514985225,1247.5898773296838,221.68009185791016,229.86759963989257,0.5993451757396498,0.9248550746487151,0.9666745667656262,1.0128642187504613,54.84072360229492,298.33224952587767
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,3,2.227076338904226,0.7083199819922448,1.4807067400217055,nan,0.5843339518264488,2.017632383108139,1000.0,0.0,nan,0,11477,0,123,0.9726440069144099,1.0051985268848478,0.3594259106688746,2.195373495248574,0.9977345731523302,0.9641886204481125,0.9726440069144099,1.0051985268848478,219.3432854546441,226.69915573120116,0.6563049753506979,2.9943237257003785,1250.1813310509922,1232.6519006838505,219.3432854546441,226.69915573120116,0.7266154275848146,1.001293850164855,0.9713204371647572,0.9982774872060937,57.184368560791015,314.0401720135237
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,4,2.40681469207409,0.7499787320196628,1.3005452445149421,nan,0.5695663690567017,2.4674190402030947,1000.0,0.0,nan,0,10803,0,113,0.9622409924469704,0.9926299502985354,0.4469991615331246,2.3602842019311856,0.9984892076916165,0.9668600529432296,0.9622409924469704,0.9926299502985354,217.03269619411893,223.83056716918946,0.5796729889180925,1.5067782133817673,1300.0389752596116,1239.2147832284934,217.03269619411893,223.83056716918946,0.8296561696127369,1.0662622527406043,0.9716848392607802,0.987994346558466,52.579290496826175,294.6443597550446
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,5,2.461709969009909,0.7787867301702499,1.146342469751835,nan,0.6967454552650452,2.88988570690155,1000.0,0.0,nan,0,11468,0,112,0.9634784096183598,0.9826027022596121,0.5173551983698114,2.4543023056310953,0.9871229959858788,0.9670181798934937,0.9634784096183598,0.9826027022596121,217.29525756835938,221.80888442993165,0.5994705690277947,3.8622201442718507,1400.8385390251071,1267.3522301698135,217.29525756835938,221.80888442993165,0.9047446198220683,1.1040881595865901,0.9700850162465694,0.9796854372804378,52.18440615844727,303.9006334388665
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,6,2.511146769859363,0.7992934803664684,1.0200766330957414,nan,0.6803232298956977,3.277301881313324,1000.0,0.0,nan,0,10733,0,115,0.9636772465685842,0.9765707438503892,0.5891561410751608,2.500026067561704,0.9767322805192735,0.9630414938926697,0.9636772465685842,0.9765707438503892,217.35023413764105,220.28819076538085,0.5589633219771915,1.8327691322565078,1550.4113304276798,1309.7826768101236,217.35023413764105,220.28819076538085,0.9713301263724693,1.1252314436013853,0.9651299189713042,0.9746039391802833,51.88224658203125,317.7713432574212
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,7,2.5669423517653787,0.813649478405714,0.9192355196177959,nan,0.647942226041447,3.631038582324982,1000.0,0.0,nan,0,10932,0,118,0.9533583401791603,0.97314451054702,0.6801188930624997,2.5477949491093894,0.9775153804909099,0.9562945508956909,0.9533583401791603,0.97314451054702,215.23989382657138,219.57425811767578,0.5496817502108488,2.552941162586212,1705.9196354197143,1340.7063663305994,215.23989382657138,219.57425811767578,1.0536541042718777,1.1458561819097406,0.960121257871878,0.9695765126118324,53.385406951904294,343.2017372245873
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,8,2.626825643514703,0.8239432288706303,0.839618222117424,nan,0.706234421994951,3.9660685420036317,1000.0,0.0,nan,0,11588,0,122,0.9658102502272027,0.9685122699674968,0.7753366373148011,2.5983993726887946,0.9537502461009555,0.9508231830596924,0.9658102502272027,0.9685122699674968,217.79196280020255,218.64040191650392,0.5337004021362022,3.8874944710731505,1922.7439808968938,1325.1476140736008,217.79196280020255,218.64040191650392,1.1399491843896,1.1646863645358747,0.9514454720527168,0.9679378248258594,55.488846374511716,368.85769778315245
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,9,2.6879488121823325,0.831947728395462,0.7760177434980869,nan,0.7031892289717993,4.2886544036865235,1000.0,0.0,nan,0,11618,0,118,0.9649045819050835,0.961978031288596,0.8598746896113022,2.6536947365078243,0.9442262202501297,0.9474283766746521,0.9649045819050835,0.961978031288596,217.74489148457846,217.06051147460937,0.6472352420290312,4.506845517158508,2126.455796269583,1256.5776530373084,217.74489148457846,217.06051147460937,1.2186386989906066,1.1796345474195564,0.9468086044634542,0.962544460440174,53.86385708618164,353.3854088284016
