algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.38075748831033707,2.094067625999451,nan,0.5636993646621704,0.17517175450921058,1000.0,0.0,nan,0,49859,0,299,1.0,0.0,0.019060445256894678,0.0,225.47887420654297,0.0,1.0,0.0,1.0,0.0,225.47887420654297,0.0,0.0031217829091474414,0.003117709633273383,1268.3536149363192,0.0,0.019060445256894678,0.18964903576268666,1.0,1.0,2.2547887420654296,12.683536149363192
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.9341558839577189,0.5612789867818355,1.8774647045135497,nan,0.5588677277167639,0.18070167859395345,1000.0,0.0,nan,0,50902,0,308,0.9900498337491682,0.0,0.13510979829435782,0.0,223.5467300415039,0.0,1.0,0.0,0.9900498337491682,0.0,223.5467300415039,0.0,0.003366900433320552,0.003087035386512677,1247.2216892419312,0.0,0.13510979829435782,0.4924763331885723,1.0,0.9900498337491682,13.412803802490235,74.83330135451587
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,1.9673373483603538,0.65841548204422,1.6589610517024993,nan,0.5527980393833585,0.18401761124531427,1000.0,0.0,nan,0,50796,0,304,0.9801986733067553,0.0,0.22363997897057375,0.0,221.11924743652344,0.0,1.0,0.0,0.9801986733067553,0.0,221.11924743652344,0.0,0.003386109343005551,0.0032715594264057777,1220.5341441788617,0.0,0.22363997897057375,0.6204365294318629,1.0,0.9801986733067553,9.950366134643554,54.924036488048785
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.0420467015222963,0.7174304813146591,1.4484964883327485,nan,0.5794262034552438,0.18047326962153118,1000.0,0.0,nan,0,50934,0,308,0.9753353256571208,0.0,0.3543948442964651,0.0,219.94752829415458,0.0,0.99496129155159,0.0,0.9753353256571208,0.0,219.94752829415458,0.0,0.00367103487120143,0.0030299728239576024,1249.6553912108163,0.0,0.3543948442964651,0.756561844960983,0.99496129155159,0.9753353256571208,15.396326980590821,87.47587738475717
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.114602178773485,0.7576404827833175,1.265527468919754,nan,0.5928470028771294,0.17289448698361715,1000.0,0.0,nan,0,50663,0,305,0.966928860175082,0.0,0.43693171507308703,0.0,218.23023647732205,0.0,0.9936100244522095,0.0,0.966928860175082,0.0,218.23023647732205,0.0,0.0032208342519071368,0.0028691542622012395,1323.5424360461716,0.0,0.43693171507308703,0.8230337216496457,0.9936100244522095,0.966928860175082,9.820360641479493,59.55940962207773
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.241967171268354,0.7842304810881615,1.1137830984592438,nan,0.7691228191057841,0.16217908640702566,1000.0,0.0,nan,0,50262,0,302,0.9776882907117455,0.0,0.4705032168789404,0.0,220.58147176106772,0.0,0.9721845587094625,0.0,0.9776882907117455,0.0,220.58147176106772,0.0,0.003254751364390055,0.0028344965625243883,1497.0109672832077,0.0,0.4705032168789404,0.8496003057173,0.9721845587094625,0.9776882907117455,6.617444152832031,44.910329018496235
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.241967171268354,0.8035499796271324,0.9899454149603844,nan,0.6587437902178083,0.1486589772005876,1000.0,0.0,nan,0,50342,0,304,0.9648984647091822,0.0,0.5255608440353834,0.0,217.80072675432478,0.0,0.9754355464662824,0.0,0.9648984647091822,0.0,217.80072675432478,0.0,0.0031357491721532176,0.0025521550280973317,1594.4978675238958,0.0,0.5255608440353834,0.8877336235065697,0.9754355464662824,0.9648984647091822,7.623025436401367,55.80742536333635
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.241967171268354,0.8174709790945053,0.8890836173295975,nan,0.5754260463374001,0.13527375400066377,1000.0,0.0,nan,0,51177,0,309,0.9576708156559065,0.0,0.6586584329823932,0.0,215.88788495744978,0.0,0.9728902152606419,0.0,0.9576708156559065,0.0,215.88788495744978,0.0,0.003112413122185639,0.002506425701236973,1743.2239853740268,0.0,0.6586584329823932,0.9620480738175247,0.9728902152606419,0.9576708156559065,15.112151947021484,122.02567897618187
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.375151074816794,0.827667479813099,0.8102624931931496,nan,0.6608840942382812,0.12277356599768002,1000.0,0.0,nan,0,51359,0,311,0.9515216339332839,0.0,0.7863051880644423,0.0,214.78833821614583,0.0,0.9692289193471273,0.0,0.9515216339332839,0.0,214.78833821614583,0.0,0.0029243916117896638,0.002260408700288584,1960.556973326346,0.0,0.7863051880644423,1.018268423704815,0.9692289193471273,0.9515216339332839,16.109125366210936,147.04177299947597
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.383587727630926,0.8353174784779549,0.7488252869248391,nan,0.7359149853388468,0.11284923881292343,1000.0,0.0,nan,0,51320,0,308,0.9998608647867023,0.0,0.8481282618105976,0.0,225.60883204142252,0.0,0.9059779544671377,0.0,0.9998608647867023,0.0,225.60883204142252,0.0,0.0025093713387226066,0.0021025599376298487,2356.0651362791373,0.0,0.8481282618105976,1.0427223383026851,0.9059779544671377,0.9998608647867023,13.536529922485352,141.3639081767482
