algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3793229885399342,2.0957869350910188,nan,0.5606598556041718,0.5639234900474548,1000.0,0.0,nan,0,49859,0,299,1.0,1.0,1.0,1.0,224.26490783691406,225.56935465494792,1261.5221195067045,1288.2606447547123,224.26490783691406,225.56935465494792,0.019060445256894678,1.906044525689468,1.0,1.0,0.6223244667053223,0.6203944398959478,1.1512508935164383,0.9321785469853499,1.0,1.0,136.2386724243164,778.0024753308542
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.9713027944268762,0.55518898665905,1.8907636719942094,nan,0.5589936276276907,1.0187126950422922,1000.0,0.0,nan,0,50902,0,308,0.9900498337491682,1.062922034530028,1.0,0.9263954214255015,223.59742863972983,239.733058980306,1247.521748146267,1328.0750919663967,223.59742863972983,239.733058980306,0.13510979829435782,1.9592265880704114,0.9900498337491682,1.062922034530028,0.6154869149128596,1.2493059486150742,1.22957987215999,0.9463637483156108,0.9292263667552899,1.060119257576918,149.20617367553712,826.7855771353485
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,2.0812020929603645,0.6524044826626778,1.6803522950410843,nan,0.5532988640997145,1.5404713038603466,1000.0,0.0,nan,0,50796,0,304,0.9801986733067553,1.0217091470182718,1.0,0.9576509590943655,221.31918674045139,230.5161103820801,1221.6969071863577,1249.0720199922732,221.31918674045139,230.5161103820801,0.22363997897057375,2.0583767315944996,0.9801986733067553,1.0217091470182718,0.6087607145309448,2.2897373765707014,1.3244820305449294,0.9807798705188886,0.9588844263052092,1.0205001040946353,142.29341159057617,771.4337563247184
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.2263409741924582,0.7107264819741249,1.480574108362198,nan,0.5835435901369367,2.0010616290569305,1000.0,0.0,nan,0,50933,0,309,0.9724751639366164,1.012671629637256,0.9979085581643241,0.9564879278341929,219.5475354875837,228.52821833292643,1241.4534844974455,1236.692388377337,219.5475354875837,228.52821833292643,0.35475677223980684,2.1755324647204732,0.9724751639366164,1.012671629637256,0.5902301413672311,3.739219044248263,1.4472221877282068,1.0126459458174237,0.9583347075304408,1.0108794305295843,143.2642619934082,776.7761305923307
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.401274082644391,0.7514309826493263,1.300193165540695,nan,0.5967660744984945,2.4413812534014383,1000.0,0.0,nan,0,50666,0,302,0.9641306040394443,1.0022231044139378,0.996522479587131,0.9568753947814306,217.15521579318576,226.125378519694,1304.865681899159,1237.9902545968337,217.15521579318576,226.125378519694,0.43759876247408713,2.316847029856993,0.9641306040394443,1.0022231044139378,0.5800135930379232,6.353862079381943,1.5651477229038304,1.0586119678846793,0.9580301642417908,1.0011136141117682,139.58402099609376,766.281735032285
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.460982842378511,0.7795699816942215,1.1458516275882722,nan,0.7790285845597585,2.8382348521550496,1000.0,0.0,nan,0,50262,0,302,0.9680795249659054,0.9988344544835573,0.9822859764099121,0.9499542079369228,217.7077382405599,225.27864115397136,1401.1183749576414,1264.9353622069675,217.7077382405599,225.27864115397136,0.47191848620837606,2.4231277663538937,0.9680795249659054,0.9988344544835573,0.6972816288471222,9.154935338894527,1.6426440542956864,1.0977901818731133,0.9505881641814912,0.9982314166498779,137.77967755126954,775.7746378236722
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.5107760635536,0.7996514800190926,1.019274174273014,nan,0.664950064250401,3.1853944651285806,1000.0,0.0,nan,0,50343,0,303,0.9593059923376082,1.0018005507788132,0.981373838015965,0.936251562833786,217.0028315952846,225.92850758870443,1537.5436520814833,1300.4170767769465,217.0028315952846,225.92850758870443,0.5274027638715428,2.478083648152378,0.9593059923376082,1.0018005507788132,0.5646652323859078,11.237281043728192,1.6978112944400436,1.1095073546959726,0.9372804094991777,1.0008316194788507,138.59514419555663,801.7758571953086
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.564135666956136,0.8139359790086746,0.9182936251163483,nan,0.5795672237873077,3.524299115339915,1000.0,0.0,nan,0,51174,0,312,0.9547032057977767,0.9991577962949441,0.9760730011122567,0.9283950891097387,215.1572320120675,225.36961822509767,1708.2089750028324,1323.1514909911248,215.1572320120675,225.36961822509767,0.6605858860181314,2.515892788339754,0.9547032057977767,0.9991577962949441,0.5467766310487475,9.34962644457817,1.773770027411105,1.0949452807457225,0.930520855886921,0.9971757444893379,141.24617343139647,841.7207458947543
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.622535610865706,0.8242209795117378,0.8386765551567078,nan,0.6729618708292643,3.8479121708869934,1000.0,0.0,nan,0,51360,0,310,0.9420679995614043,0.99446836133571,0.9794699192047119,0.9227052849531173,212.3688751220703,224.2799696858724,1879.2981293660564,1326.3404500123083,212.3688751220703,224.2799696858724,0.7895176141949526,2.5559005997664985,0.9420679995614043,0.99446836133571,0.5322238008181254,9.525511198043823,1.8493474055378805,1.080636155824831,0.9254083627746219,0.9919731060131242,140.93904806518555,852.1832138883667
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.6955498097028285,0.8319824787974358,0.7750680187344551,nan,0.7490030030409495,4.158426026503245,1000.0,0.0,nan,0,51322,0,306,0.9886853985388345,0.9880865595173568,0.9182058622439703,0.9188610965013504,222.89885965983072,222.94042231241863,2190.245954009556,1255.77575379772,222.89885965983072,222.94042231241863,0.8517985783637443,2.6006352868341365,0.9886853985388345,0.9880865595173568,0.5298503488302231,10.26650090197722,1.9011006034459796,1.0834801167862382,0.9188358951837589,0.9881095917874136,139.1138260192871,806.0313551748613
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.782380605975515,0.838166478574276,0.7242780417203903,nan,0.5950094515627081,4.443498832384745,1000.0,0.0,nan,0,50849,0,307,0.9140461641715597,0.982947587723539,0.9898227615789934,0.9136749120553335,206.27372186834162,221.72623799641926,2236.5671359362664,1162.0972210063355,206.27372186834162,221.72623799641926,0.9611181920205125,2.6504359655561984,0.9140461641715597,0.982947587723539,0.5160205960273743,12.451260665257772,1.9747088561419242,1.0735410605755034,0.916368244353598,0.9805105598808641,137.5737646789551,746.4628095943993
