algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,0.5362321266048052,0.13045319686830043,2.3046338520050047,0.0,1.2430222108960152,0.0,1000.0,0.0,0.0,1.0,0.0,2.0,0.0,497.20885467529297,0.0,0.017159428051353766,0.0,19.17705363035202,0.0,19308.74067407767,0.0,2.0,0.0,497.20885467529297,0.0,0.017159428051353766,0.09437685428244573,1.0,2.0,15.910683349609375,617.8797015704855
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,0.5783718689698142,0.1380641966164112,2.3025919642448427,0.0,1.2600428660710652,0.0,1000.0,0.0,0.0,0.9902454068263372,0.0,1.9210165611030716,0.0,476.64854939778644,0.0,0.04265575738889133,0.0,22.384438792864483,0.0,18215.021670904116,0.0,1.9210165611030716,0.0,476.64854939778644,0.0,0.04265575738889133,0.1488373546265045,0.9902454068263372,1.9210165611030716,22.87913037109375,874.3210402033975
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,0.7464382160940842,0.14711459612846375,2.3002434644699097,0.0,1.1967487158598724,0.0,1000.0,0.0,0.0,0.9952508144908481,0.0,1.8182693175796687,0.0,451.7257147894965,0.0,0.0815002785688775,0.0,22.76252089606391,0.0,16071.053664165654,0.0,1.8182693175796687,0.0,451.7257147894965,0.0,0.0815002785688775,0.21525717133462657,0.9952508144908481,1.8182693175796687,24.39318859863281,867.8368978649455
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,0.7573876239722795,0.16237359589338302,2.297400468826294,0.0,1.134006781237466,0.0,1000.0,0.0,0.0,0.9929253735712597,0.0,1.7335943276450045,0.0,430.7695835658482,0.0,0.12059727425369947,0.0,23.250087363379343,0.0,13969.311114343884,0.0,1.7335943276450045,0.0,430.7695835658482,0.0,0.12059727425369947,0.26044182239236363,0.9929253735712597,1.7335943276450045,24.1230966796875,782.2814224032574
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,0.7684886907293871,0.17862119536101817,2.2936686873435974,0.0,1.05057587990394,0.0,1000.0,0.0,0.0,0.9968122198031499,0.0,1.6426813735183923,0.0,407.74948941744293,0.0,0.15904995388351625,0.0,17.23872738618117,0.0,11820.711237540178,0.0,1.6426813735183923,0.0,407.74948941744293,0.0,0.15904995388351625,0.29436087829494434,0.9968122198031499,1.6426813735183923,21.20297344970703,614.6769843520892
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,0.8633231691668318,0.1933919946551323,2.288390562534332,0.0,1.2834658533334733,0.0,1000.0,0.0,0.0,0.9680772662162781,0.0,1.6073244662798953,0.0,399.4240249633789,0.0,0.18347895607156733,0.0,18.887828320264816,0.0,9822.212545889579,0.0,1.6073244662798953,0.0,399.4240249633789,0.0,0.18347895607156733,0.3155078527200019,0.9680772662162781,1.6073244662798953,15.976960998535157,392.8885018355831
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,0.9513452921466925,0.20711119478940965,2.2802860198020936,0.0,1.1258391060612418,0.0,1000.0,0.0,0.0,0.9576209919019179,0.0,1.5444267241103902,0.0,383.8089627352628,0.0,0.2163584318780389,0.0,14.98633354360407,0.0,7593.15700120048,0.0,1.5444267241103902,0.0,383.80904735218394,0.0,0.2163584318780389,0.3435667095427773,0.9576209919019179,1.5444267241103902,16.887594360351564,334.0989080528212
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,1.0176670350219585,0.22631599472463132,2.266814576148987,0.0,1.0744633571854953,0.0,1000.0,0.0,0.0,0.9672528484771992,0.0,1.4555292347380908,0.0,361.12691839810077,0.0,0.2620740615882287,0.0,18.67389517817004,0.0,5523.2173161930305,0.0,1.4555292347380908,0.0,361.1269320783944,0.0,0.2620740615882287,0.37853132087442126,0.9672528484771992,1.4555292347380908,20.945361267089844,320.3466043391958
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,1.2172400979137774,0.2510493939369917,2.241976660728455,0.0,1.2076749143929317,0.0,1000.0,0.0,0.0,0.9187889592400913,0.0,1.449514869232847,0.0,360.0014543204472,0.0,0.3038366544859234,0.0,22.186408914368727,0.0,4255.550515356017,0.0,1.449514869232847,0.0,360.0014490587958,0.0,0.3038366544859234,0.41502316286852137,0.9187889592400913,1.449514869232847,20.88008435058594,246.821929890649
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,1.2699354576668274,0.26261959338188173,2.1929740290641786,0.0,1.1072766802929066,0.0,1000.0,0.0,0.0,0.8665894159564266,0.0,1.4453889914645164,0.0,359.18826972113715,0.0,0.3442053990291473,0.0,15.345947194982458,0.0,3165.0807348455123,0.0,1.4453889914645164,0.0,359.1882312915943,0.0,0.3442053990291473,0.4452602777016648,0.8665894159564266,1.4453889914645164,19.396166564941407,170.91435968165763
