algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.4569641880989075,1.972892572402954,0.0,0.5643462240695953,0.0,1000.0,0.0,0.0,0.06099342482206297,0.0,1.0,0.0,1.0,0.0,225.73837089538574,0.0,3.9553289264440536,0.0,1.0,0.0,225.73837089538574,0.0,955.1733451340266,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,30.565547044288852
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.940375137346708,0.5710875846147537,1.7064528143405915,0.0,0.5913466165463129,0.0,1000.0,0.0,0.0,0.1465001661780974,0.0,0.9978507529271171,0.0,0.9901029045383135,0.0,224.9917755126953,0.0,4.96278648575147,0.0,0.9978507529271171,0.0,224.9917755126953,0.0,1107.8473084523523,0.0,0.1465001661780974,0.5108395492855814,0.9901029045383135,0.9978507529271171,10.799605224609374,53.17667080571292
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.030499504877166,0.62126378428936,1.4822156233787536,0.0,0.586792336569892,0.0,1000.0,0.0,0.0,0.24975172499511508,0.0,0.9781434173746375,0.0,0.9980971680747138,0.0,220.70481985586662,0.0,5.465036021338569,0.0,0.9781434173746375,0.0,220.70481985586662,0.0,1174.250347909541,0.0,0.24975172499511508,0.6519668729763521,0.9980971680747138,0.9781434173746375,11.918060272216797,63.4095187871152
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.1382626179090924,0.6504739842414856,1.3061418147087098,0.0,0.579499432018825,0.0,1000.0,0.0,0.0,0.35601480303181715,0.0,0.9668747804928416,0.0,0.9976836059774671,0.0,218.19583456856864,0.0,6.033893014703478,0.0,0.9668747804928416,0.0,218.19583456856864,0.0,1318.6363267011404,0.0,0.35601480303181715,0.7601765269363399,0.9976836059774671,0.9668747804928416,12.218966735839844,73.84363429526387
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.2347639481380566,0.67322618329525,1.176441481590271,0.0,0.5560645782030545,0.0,1000.0,0.0,0.0,0.46086349082561073,0.0,0.9541986147094632,0.0,0.9988828140955704,0.0,215.09896381084735,0.0,4.816500361149128,0.0,0.9541986147094632,0.0,215.09896381084735,0.0,1504.0068103628446,0.0,0.46086349082561073,0.8438704920099271,0.9988828140955704,0.9541986147094632,11.185146118164063,78.20835413886792
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.321514941685036,0.6901777818202972,1.0823566467761994,0.0,0.691086220741272,0.0,1000.0,0.0,0.0,0.5228461475902173,0.0,0.9616555154024816,0.0,0.9788790285587311,0.0,217.0260437011719,0.0,5.5406104028224945,0.0,0.9616555154024816,0.0,217.0260437011719,0.0,1771.5639548507297,0.0,0.5228461475902173,0.8878359295643614,0.9788790285587311,0.9616555154024816,8.681041748046875,70.86255819402918
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.321514941685036,0.7020665818452835,1.0119656386375426,0.0,0.6334269642829895,0.0,1000.0,0.0,0.0,0.5993568536091857,0.0,0.9581001135168207,0.0,0.9703725928610022,0.0,216.139816977761,0.0,4.68488423390822,0.0,0.9581001135168207,0.0,216.139816977761,0.0,2021.764395418251,0.0,0.5993568536091857,0.9350638308243895,0.9703725928610022,0.9581001135168207,9.510151947021484,88.95763339840306
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.3986696662625797,0.7103253809213639,0.9580333780050277,0.0,0.6172421739019197,0.0,1000.0,0.0,0.0,0.7024028141353456,0.0,0.9443320202644798,0.0,0.9729172094114895,0.0,212.78622278673896,0.0,6.268343629508183,0.0,0.9443320202644798,0.0,212.78622278673896,0.0,2249.8779604184115,0.0,0.7024028141353456,0.9905744878550615,0.9729172094114895,0.9443320202644798,12.34160092163086,130.49292170426787
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.415050991444226,0.716860181927681,0.9150942521095276,0.0,0.692049961665581,0.0,1000.0,0.0,0.0,0.7809042311156263,0.0,0.9731219032196033,0.0,0.92882724465995,0.0,219.44375084186422,0.0,7.6760682237559354,0.0,0.9731219032196033,0.0,219.44375084186422,0.0,2547.483134049562,0.0,0.7809042311156263,1.0278749783059533,0.92882724465995,0.9731219032196033,12.727737548828125,147.7540217748746
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.471291551830929,0.7227777818441391,0.8799126350879669,0.0,0.6718949521029437,0.0,1000.0,0.0,0.0,0.8543595961759504,0.0,0.9793552258474258,0.0,0.9089515187122204,0.0,221.04978660300927,0.0,5.767947285263626,0.0,0.9793552258474258,0.0,221.04978660300927,0.0,2791.031355536632,0.0,0.8543595961759504,1.0562289217710485,0.9089515187122204,0.9793552258474258,11.9366884765625,150.71569319897816
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.471291551830929,0.7274809813499451,0.8508242748975754,0.0,0.7191293566457687,0.0,1000.0,0.0,0.0,0.9492104938704174,0.0,0.9475992805019674,0.0,0.9315847946751502,0.0,213.73385718560988,0.0,8.200087147374306,0.0,0.9475992805019674,0.0,213.73385718560988,0.0,2920.706037583168,0.0,0.9492104938704174,1.0863027229303737,0.9315847946751502,0.9475992805019674,13.251499145507813,181.08377433015644
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.4832547778854623,0.732037381887436,0.8258322956562042,0.0,0.7684388359387716,0.0,1000.0,0.0,0.0,1.0254757563002221,0.0,0.9504434362679327,0.0,0.9154410878817241,0.0,214.38127899169922,0.0,8.648881069819133,0.0,0.9504434362679327,0.0,214.38127899169922,0.0,3118.3803605202024,0.0,1.0254757563002221,1.1055480969878733,0.9154410878817241,0.9504434362679327,12.862876739501953,187.10282163121218
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.556267800965124,0.7360803816318512,0.8045800662040711,0.0,0.7597417732079824,0.0,1000.0,0.0,0.0,1.098586300994848,0.0,0.9639320990145069,0.0,0.8867701371510823,0.0,217.432373046875,0.0,9.701392598946889,0.0,0.9639320990145069,0.0,217.432373046875,0.0,3352.0272310993905,0.0,1.098586300994848,1.1208476514463372,0.8867701371510823,0.9639320990145069,13.0459423828125,201.12163386596345
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.5585300010484167,0.7399883815050126,0.7858250223398209,0.0,0.7430916516869156,0.0,1000.0,0.0,0.0,1.151424029508565,0.0,0.9792841781597273,0.0,0.8553869922955831,0.0,221.02099891945167,0.0,6.990540610419379,0.0,0.9792841781597273,0.0,221.02099891945167,0.0,3568.774477266622,0.0,1.151424029508565,1.1296475748231347,0.8553869922955831,0.9792841781597273,11.93513394165039,192.71382177239758
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.61651991113298,0.7433813806772233,0.7695203388929367,0.0,0.7488398038678699,0.0,1000.0,0.0,0.0,1.2112639144092856,0.0,0.9024918699404382,0.0,0.9324093262354533,0.0,203.6811514960395,0.0,4.477364712291294,0.0,0.9024918699404382,0.0,203.6811514960395,0.0,3517.1246613574694,0.0,1.2112639144092856,1.1382317834335092,0.9324093262354533,0.9024918699404382,7.332521453857422,126.6164878088689
