algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.4569641880989075,1.972892572402954,0.0,0.5643462240695953,0.0,1000.0,0.0,0.0,0.06099342482206297,0.0,225.73837089538574,0.0,3.9553289264440536,0.0,1.0,0.0,225.73837089538574,0.0,955.1733451340266,0.0,1.0,0.0,1.0,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,30.565547044288852
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.9385627377612653,0.5710867846012115,1.706453294277191,0.0,0.592368612686793,0.0,1000.0,0.0,0.0,0.14622379796662324,0.0,225.44220606486002,0.0,4.981584340333939,0.0,0.9998484514656104,0.0,225.44220606486002,0.0,1110.065204333517,0.0,0.9901029045383135,0.0,0.9998484514656104,0.0,0.14622379796662324,0.5098697303729937,0.9901029045383135,0.9998484514656104,10.821225891113281,53.283129808008816
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.0238011633817314,0.6212619838714599,1.4822169575691224,0.0,0.5889151714466236,0.0,1000.0,0.0,0.0,0.2486958169326026,0.0,221.5897329824942,0.0,5.508931839907611,0.0,0.9820652331486289,0.0,221.5897329824942,0.0,1178.9572843078895,0.0,0.9980957331480803,0.0,0.9820652331486289,0.0,0.2486958169326026,0.6491810745864057,0.9980957331480803,0.9820652331486289,11.965845581054687,63.66369335262604
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.107453676918018,0.6504741843938827,1.3061438996791839,0.0,0.5828340756041663,0.0,1000.0,0.0,0.0,0.3535575870296406,0.0,219.50970894949776,0.0,6.105931980269296,0.0,0.9726969011804663,0.0,219.50970894949776,0.0,1326.5628778044502,0.0,0.9976800680160522,0.0,0.9726969011804663,0.0,0.3535575870296406,0.7548328944071121,0.9976800680160522,0.9726969011804663,12.292543701171875,74.28752115704921
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.182039648047836,0.6732249829769135,1.1764442062377929,0.0,0.5604471518443181,0.0,1000.0,0.0,0.0,0.4564014235465694,0.0,216.8274864783654,0.0,4.894184497686533,0.0,0.9618664670709418,0.0,216.8274864783654,0.0,1516.1002379378288,0.0,0.9988790177381955,0.0,0.9618664670709418,0.0,0.4564014235465694,0.8354873493791811,0.9988790177381955,0.9618664670709418,11.275029296875,78.8372123727671
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.2453637568434175,0.6901719821691513,1.0823602676391602,0.0,0.6965811163187027,0.0,1000.0,0.0,0.0,0.5165954008796275,0.0,219.21291427612306,0.0,5.636754369735717,0.0,0.9713456181896042,0.0,219.21291427612306,0.0,1789.3635081911852,0.0,0.9788524270057678,0.0,0.9713456181896042,0.0,0.5165954008796275,0.8768287471516961,0.9788524270057678,0.9713456181896042,8.768516571044922,71.57454032764741
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.2453637568434175,0.702071381688118,1.0119687163829802,0.0,0.6394914253191515,0.0,1000.0,0.0,0.0,0.5905281318783241,0.0,218.7420321377841,0.0,4.786426858468489,0.0,0.9696351936491611,0.0,218.7420321377841,0.0,2046.1043685313452,0.0,0.9704059145667336,0.0,0.9696351936491611,0.0,0.5905281318783241,0.9206545202755331,0.9704059145667336,0.9696351936491611,9.6246494140625,90.02859221537919
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.3756695035913657,0.7103219810724258,0.9580399068593979,0.0,0.6245787184813927,0.0,1000.0,0.0,0.0,0.6896055571661058,0.0,215.7970717857624,0.0,6.427102960389236,0.0,0.9576940178087664,0.0,215.7970717857624,0.0,2281.6759827633855,0.0,0.9728653307618766,0.0,0.9576940178087664,0.0,0.6896055571661058,0.9714626875670551,0.9728653307618766,0.9576940178087664,12.51623016357422,132.33720700027635
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.3852420006592445,0.7168543820381165,0.915100880265236,0.0,0.6999273629024111,0.0,1000.0,0.0,0.0,0.7654441638786081,0.0,223.00776567130254,0.0,7.878952182572464,0.0,0.9889261490843324,0.0,223.00776567130254,0.0,2588.732672605581,0.0,0.9287090918113445,0.0,0.9889261490843324,0.0,0.7654441638786081,1.0062495620905088,0.9287090918113445,0.9889261490843324,12.934450408935547,150.1464950111237
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.432561204739881,0.7227697820663452,0.8799200007915496,0.0,0.6796907892933598,0.0,1000.0,0.0,0.0,0.837268313122185,0.0,225.05294799804688,0.0,5.916856606801351,0.0,0.9970910228855673,0.0,225.05294799804688,0.0,2841.4282678935156,0.0,0.909008644245289,0.0,0.9970910228855673,0.0,0.837268313122185,1.0338415056570385,0.909008644245289,0.9970910228855673,12.152859191894532,153.43712646624982
