algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.4569641880989075,1.972892572402954,0.0,0.5643462240695953,0.0,1000.0,0.0,0.0,0.06099342482206297,0.0,1.0,0.0,225.73837089538574,0.0,225.73837089538574,0.0,3.9553289264440536,0.0,1.0,0.0,955.1733451340266,0.0,1.0,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,30.565547044288852
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.9378840224915777,0.5710861849784851,1.706453774690628,0.0,0.5933926776051521,0.0,1000.0,0.0,0.0,0.1459564725443,0.0,1.0018501493992427,0.0,225.89354451497397,0.0,225.89354451497397,0.0,5.000458051760991,0.0,0.9901029045383135,0.0,1112.2875701678531,0.0,1.0018501493992427,0.0,0.1459564725443,0.5089329281466344,0.9901029045383135,1.0018501493992427,10.84289013671875,53.38980336805695
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.0176431020075927,0.6212599838972092,1.4822189631462097,0.0,0.5910481832645558,0.0,1000.0,0.0,0.0,0.24769458753344856,0.0,0.986001749973458,0.0,222.47795500578704,0.0,222.47795500578704,0.0,5.553180173591331,0.0,0.9980953379913613,0.0,1183.6808180340452,0.0,0.986001749973458,0.0,0.24769458753344856,0.646545843679322,0.9980953379913613,0.986001749973458,12.0138095703125,63.91876417383844
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.0792638247643356,0.6504721840620041,1.306147017478943,0.0,0.5861894573484149,0.0,1000.0,0.0,0.0,0.35126376282777455,0.0,0.9785529538479653,0.0,220.8312530517578,0.0,220.8312530517578,0.0,6.178842093263354,0.0,0.9976776838302612,0.0,1334.537611275736,0.0,0.9785529538479653,0.0,0.35126376282777455,0.7498648024461151,0.9976776838302612,0.9785529538479653,12.366550170898437,74.7341062314412
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.1345694464730713,0.6732275829315185,1.1764477849006654,0.0,0.5648634594220382,0.0,1000.0,0.0,0.0,0.45227996121530384,0.0,0.9695968079281927,0.0,218.57008655254657,0.0,218.57008655254657,0.0,4.973121175399194,0.0,0.9988743227261764,0.0,1528.2732370723866,0.0,0.9695968079281927,0.0,0.45227996121530384,0.827790298231523,0.9988743227261764,0.9695968079281927,11.365644500732422,79.4702083277641
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.1775577375518402,0.6901669821739197,1.0823639149665834,0.0,0.7021508246660233,0.0,1000.0,0.0,0.0,0.5108707726740811,0.0,0.9811065841508524,0.0,221.4157455444336,0.0,221.4157455444336,0.0,5.735599681735039,0.0,0.9788536965847016,0.0,1807.3966436525213,0.0,0.9811065841508524,0.0,0.5108707726740811,0.8668326370910233,0.9788536965847016,0.9811065841508524,8.856629821777343,72.29586574610087
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.1775577375518402,0.7020625820159913,1.0119729270935058,0.0,0.6455705653537404,0.0,1000.0,0.0,0.0,0.5824836595341915,0.0,0.9813547614052958,0.0,221.38589546897194,0.0,221.38589546897194,0.0,4.889797763390974,0.0,0.9703913818706166,0.0,2070.7636259668498,0.0,0.9813547614052958,0.0,0.5824836595341915,0.9076654980505561,0.9703913818706166,0.9813547614052958,9.740979400634766,91.11359954254137
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.295531054098689,0.7103291813135147,0.9580450534820557,0.0,0.632103091683881,0.0,1000.0,0.0,0.0,0.6776869243718192,0.0,0.9711646203492601,0.0,218.832384306809,0.0,218.832384306809,0.0,6.591854358541554,0.0,0.9728985469916771,0.0,2313.6032672443916,0.0,0.9711646203492601,0.0,0.6776869243718192,0.9538472933629821,0.9728985469916771,0.9711646203492601,12.692278289794922,134.18898950017467
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.3248695475584813,0.7168471825122833,0.9151088719367981,0.0,0.7080500886358064,0.0,1000.0,0.0,0.0,0.7499583319679913,0.0,1.004871394556803,0.0,226.6035445640827,0.0,226.6035445640827,0.0,8.089949673619763,0.0,0.9287142445301187,0.0,2630.4923616085025,0.0,1.004871394556803,0.0,0.7499583319679913,0.9846650910593209,0.9287142445301187,1.004871394556803,13.143005584716796,152.5685569732932
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.4025478686274617,0.7227697815895081,0.8799271005392074,0.0,0.687507324748569,0.0,1000.0,0.0,0.0,0.818178790092553,0.0,1.0152123549880143,0.0,229.14311670373988,0.0,229.14311670373988,0.0,6.070409668816461,0.0,0.908996617352521,0.0,2893.192198152268,0.0,1.0152123549880143,0.0,0.818178790092553,1.0086806487803042,0.908996617352521,1.0152123549880143,12.373728302001954,156.23237870022248
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.4025478686274617,0.7274733814001083,0.8508247346878052,0.0,0.7372363267406341,0.0,1000.0,0.0,0.0,0.9065187280302014,0.0,0.986346761192069,0.0,222.47345955141128,0.0,222.47345955141128,0.0,8.663158570566486,0.0,0.9315033093575509,0.0,3039.9564873586314,0.0,0.986346761192069,0.0,0.9065187280302014,1.0343214281851,0.9315033093575509,0.986346761192069,13.7933544921875,188.4773022162351
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.4025478686274617,0.7320319821834564,0.8258392132520675,0.0,0.789431776603063,0.0,1000.0,0.0,0.0,0.978890512665413,0.0,0.9934300287979055,0.0,224.07739919026693,0.0,224.07739919026693,0.0,9.224073537190755,0.0,0.915186208486557,0.0,3258.862620307697,0.0,0.9934300287979055,0.0,0.978890512665413,1.052230391439521,0.915186208486557,0.9934300287979055,13.444643951416015,195.53175721846182
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.4081845454057658,0.7360657809972763,0.8045908411741257,0.0,0.7811004489660263,0.0,1000.0,0.0,0.0,1.047828592147373,0.0,1.011357339074535,0.0,228.13009440104167,0.0,228.13009440104167,0.0,10.241475407282511,0.0,0.8867392420768738,0.0,3517.1294932140395,0.0,1.011357339074535,0.0,1.047828592147373,1.065880051026544,0.8867392420768738,1.011357339074535,13.6878056640625,211.0277695928424
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.4081845454057658,0.7399951804876328,0.7858411176204682,0.0,0.7660071408307111,0.0,1000.0,0.0,0.0,1.0975275129366395,0.0,1.031733717249777,0.0,232.85870813440394,0.0,232.85870813440394,0.0,7.490206594820376,0.0,0.8551877979879026,0.0,3759.737171513232,0.0,1.031733717249777,0.0,1.0975275129366395,1.0734284791396187,0.8551877979879026,1.031733717249777,12.574370239257812,203.02580726171453
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.4081845454057658,0.7433705810308456,0.7695308446884155,0.0,0.7720391286744012,0.0,1000.0,0.0,0.0,1.15210450358065,0.0,0.9544930904112936,0.0,215.4171659681532,0.0,215.4171659681532,0.0,4.787590861320496,0.0,0.9323872029781342,0.0,3719.7245396565468,0.0,0.9544930904112936,0.0,1.15210450358065,1.0788443268549037,0.9323872029781342,0.9544930904112936,7.755017974853516,133.91008342763567
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.428210224755968,0.746078981757164,0.7555846638679504,0.0,0.8390619262405064,0.0,1000.0,0.0,0.0,1.1977171166895881,0.0,1.0076595141215796,0.0,227.29287719726562,0.0,227.29287719726562,0.0,7.205713655637658,0.0,0.8638670703639155,0.0,4058.2913816155215,0.0,1.0076595141215796,0.0,1.1977171166895881,1.0822150068649663,0.8638670703639155,1.0076595141215796,10.455472351074219,186.681403554314
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.4517629332260946,0.7489197814464569,0.742919524550438,0.0,0.9851004406809807,0.0,1000.0,0.0,0.0,1.2264283416223134,0.0,1.0015004537470305,0.0,225.7511666615804,0.0,225.7511666615804,0.0,11.786300857861837,0.0,0.8617416520913442,0.0,4188.627406504108,0.0,1.0015004537470305,0.0,1.2264283416223134,1.0862104551366056,0.8617416520913442,1.0015004537470305,10.836055999755859,201.0541155121972
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.478290074703557,0.7517225816249847,0.7310722409486771,0.0,0.765665972774679,0.0,1000.0,0.0,0.0,1.2775599492527485,0.0,0.9893955076251948,0.0,223.09701052579013,0.0,223.09701052579013,0.0,5.862533628940582,0.0,0.8664674813097174,0.0,4271.239758741376,0.0,0.9893955076251948,0.0,1.2775599492527485,1.0870725440548714,0.8664674813097174,0.9893955076251948,9.816268463134765,187.9345493846205
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.5079486589668023,0.7540277820825577,0.7212024527788162,0.0,0.855461589668108,0.0,1000.0,0.0,0.0,1.3197593951550175,0.0,1.0051915204898645,0.0,226.63969222359034,0.0,226.63969222359034,0.0,7.972658343937086,0.0,0.8391202869622604,0.0,4558.252263723429,0.0,1.0051915204898645,0.0,1.3197593951550175,1.0871552076951174,0.8391202869622604,1.0051915204898645,10.425425842285156,209.67960413127778
