algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,0.9455527092498777,0.3807141900062561,2.0956218161582947,0.0,0.8465197794139385,0.0,1000.0,0.0,0.0,8.899489864706993,0.0,1940.7653872707335,0.0,1.0,0.0,0.030257686695996086,0.0,338.6075611114502,0.0,1.5,0.0,338.6075611114502,0.0,1.5,0.0,0.030257686695996086,0.1664172768279785,1.0,1.5,10.835441955566406,62.104492392663474
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,0.9613352305352525,0.5543339877128601,1.8907718155384063,0.0,0.8930375576019287,0.0,1000.0,0.0,0.0,11.228130797545115,0.0,1880.3584112865826,0.0,0.9937467773755392,0.0,0.07217121386878676,0.0,336.2684847513835,0.0,1.491375517877083,0.0,336.2684847513835,0.0,1.491375517877083,0.0,0.07217121386878676,0.25165001224616296,0.9937467773755392,1.491375517877083,16.140887268066408,90.25720374175596
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,0.9813179202097082,0.6500751826763153,1.6802992181777954,0.0,0.8800408001299258,0.0,1000.0,0.0,0.0,12.296326796213785,0.0,1834.690938583033,0.0,0.998036817268089,0.0,0.12209318594093946,0.0,331.07725807472514,0.0,1.467303505507076,0.0,331.07725807472514,0.0,1.467303505507076,0.0,0.12209318594093946,0.31868101010465827,0.998036817268089,1.467303505507076,17.878171936035155,99.07331068348378
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,0.9868015105358459,0.7084115834236145,1.4805382833480836,0.0,0.8687581505094256,0.0,1000.0,0.0,0.0,13.572083473205566,0.0,1855.1096950849278,0.0,0.9973788474287305,0.0,0.1726981897569511,0.0,327.39315141950334,0.0,1.450753144303105,0.0,327.39315141950334,0.0,1.450753144303105,0.0,0.1726981897569511,0.3686289472375012,0.9973788474287305,1.450753144303105,18.33401647949219,103.88614292475596
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,1.007799534549282,0.7496479805707932,1.300408210992813,0.0,0.834002299950673,0.0,1000.0,0.0,0.0,10.837114334106445,0.0,1930.1759581109864,0.0,0.9988235189364507,0.0,0.22217585691123976,0.0,322.66758728027344,0.0,1.4313826963935457,0.0,322.66758728027344,0.0,1.4313826963935457,0.0,0.22217585691123976,0.40658422812850215,0.9988235189364507,1.4313826963935457,16.778714538574217,100.36914982177129
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,1.0377178898438362,0.7782569810152054,1.1464033904075623,0.0,1.0460602343082428,0.0,1000.0,0.0,0.0,12.618928503990173,0.0,2096.129720470388,0.0,0.9842070400714874,0.0,0.25093166689662816,0.0,323.8378875732422,0.0,1.4349566746878584,0.0,323.8378875732422,0.0,1.4349566746878584,0.0,0.25093166689662816,0.42569962585782634,0.9842070400714874,1.4349566746878584,12.953515502929687,83.84518881881552
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,1.0445598672534044,0.7989163793325424,1.0200339130163192,0.0,0.9682687493887815,0.0,1000.0,0.0,0.0,10.73303974758495,0.0,2280.0893196385596,0.0,0.9801850698210977,0.0,0.2867774158201787,0.0,321.12048894708806,0.0,1.4234539508115247,0.0,321.12048894708806,0.0,1.4234539508115247,0.0,0.2867774158201787,0.4468830008499476,0.9801850698210977,1.4234539508115247,14.129301513671875,100.32393006409661
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,1.1244007076856004,0.8131023794412613,0.9192938106060028,0.0,0.9371649252957311,0.0,1000.0,0.0,0.0,14.353548608977219,0.0,2521.37211994006,0.0,0.9800523663389271,0.0,0.3352741830896892,0.0,316.95655243972254,0.0,1.4066576009523755,0.0,316.95655243972254,0.0,1.4066576009523755,0.0,0.3352741830896892,0.47215240414312715,0.9800523663389271,1.4066576009523755,18.383480041503905,146.23958295652346
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,1.1993756772918496,0.8233047800064087,0.8398545464277267,0.0,1.0715699093095188,0.0,1000.0,0.0,0.0,18.109474675408727,0.0,2858.294328075222,0.0,0.9493373303577818,0.0,0.3732263326716891,0.0,322.8641031199488,0.0,1.4317338425949568,0.0,322.8641031199488,0.0,1.4317338425949568,0.0,0.3732263326716891,0.49073619278093406,0.9493373303577818,1.4317338425949568,18.72611798095703,165.7810710283629
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,1.2544605714032104,0.831476378083229,0.7762491427659989,0.0,1.0485845627608124,0.0,1000.0,0.0,0.0,13.959324130305538,0.0,3164.4774937400266,0.0,0.9340592821439108,0.0,0.410014809802203,0.0,323.9410886411314,0.0,1.4352267067597406,0.0,323.9410886411314,0.0,1.4352267067597406,0.0,0.410014809802203,0.5068195107604767,0.9340592821439108,1.4352267067597406,17.492818786621093,170.88178466196143
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,1.25798618594485,0.837355580329895,0.7256636719703674,0.0,1.1243936265668562,0.0,1000.0,0.0,0.0,19.86353797297324,0.0,3380.9446787148477,0.0,0.9546346895156368,0.0,0.4586267351003654,0.0,313.6869841544859,0.0,1.390733786555637,0.0,313.6869841544859,0.0,1.390733786555637,0.0,0.4586267351003654,0.5256631511651687,0.9546346895156368,1.390733786555637,19.448593017578126,209.61857008032058
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,1.271306801917457,0.8426489797830582,0.6843013930320739,0.0,1.2080772082010904,0.0,1000.0,0.0,0.0,20.931638622283934,0.0,3679.028762591898,0.0,0.9453945199648539,0.0,0.4976155843928898,0.0,312.6911895751953,0.0,1.38629102368524,0.0,312.6911895751953,0.0,1.38629102368524,0.0,0.4976155843928898,0.537809209583848,0.9453945199648539,1.38629102368524,18.761471374511718,220.74172575551387
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,1.271306801917457,0.8468511798381806,0.6501715993881225,0.0,1.210408478975296,0.0,1000.0,0.0,0.0,24.41478772163391,0.0,4056.5210882486313,0.0,0.9259115636348725,0.0,0.5350494445921066,0.0,314.68213704427086,0.0,1.3950600260709494,0.0,314.68213704427086,0.0,1.3950600260709494,0.0,0.5350494445921066,0.547595103928052,0.9259115636348725,1.3950600260709494,18.88092822265625,243.3912652949179
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,1.2746112437300372,0.850327578663826,0.621666627407074,0.0,1.2100851425418147,0.0,1000.0,0.0,0.0,18.163952615525986,0.0,4342.006173527178,0.0,0.9121461223672938,0.0,0.5617031482537325,0.0,315.0995121708623,0.0,1.3960850741841169,0.0,315.0995121708623,0.0,1.3960850741841169,0.0,0.5617031482537325,0.5528978534425384,0.9121461223672938,1.3960850741841169,17.01537365722656,234.46833337046766
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,1.2746112437300372,0.8537427785396576,0.5970771137475968,0.0,1.1601756248209212,0.0,1000.0,0.0,0.0,10.683547761705187,0.0,4475.810619341728,0.0,0.9530151453283098,0.0,0.591528555593317,0.0,299.6232452392578,0.0,1.3276089926302101,0.0,299.6232452392578,0.0,1.3276089926302101,0.0,0.591528555593317,0.5577149701151315,0.9530151453283098,1.3276089926302101,10.786436828613281,161.12918229630216
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,1.2873416170642469,0.8563913779258728,0.5764174133539199,0.0,1.3179555768552034,0.0,1000.0,0.0,0.0,17.4792364369268,0.0,4815.577451590892,0.0,0.9186751842498779,0.0,0.617100445769969,0.0,305.5870162300442,0.0,1.354797611183789,0.0,305.5870162300442,0.0,1.354797611183789,0.0,0.617100445769969,0.5616418864731715,0.9186751842498779,1.354797611183789,14.05700274658203,221.51656277318108
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,1.3078792193352813,0.8587893797159195,0.5584468666315079,0.0,1.533338541785876,0.0,1000.0,0.0,0.0,28.482567071914673,0.0,5084.602416508254,0.0,0.9101967364549637,0.0,0.6350219771383695,0.0,304.11977513631183,0.0,1.3491331780625544,0.0,304.11977513631183,0.0,1.3491331780625544,0.0,0.6350219771383695,0.5666076181841687,0.9101967364549637,1.3491331780625544,14.597749206542968,244.06091599239616
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,1.3350325144241961,0.8609251787662506,0.5426704325675964,0.0,1.172515484419736,0.0,1000.0,0.0,0.0,13.074405496770686,0.0,5370.983281565178,0.0,0.9031983288851652,0.0,0.6633456161496192,0.0,302.5160508589311,0.0,1.3416007371742324,0.0,302.5160508589311,0.0,1.3416007371742324,0.0,0.6633456161496192,0.5689446800204028,0.9031983288851652,1.3416007371742324,13.310706237792969,236.32326438886784
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,1.3698859743709333,0.8628221778869629,0.5289653658866882,0.0,1.3339862357015195,0.0,1000.0,0.0,0.0,18.862474690312926,0.0,5646.643788014488,0.0,0.8818237198435742,0.0,0.6874859860494971,0.0,304.70517365828806,0.0,1.3514311539594035,0.0,304.70517365828806,0.0,1.3514311539594035,0.0,0.6874859860494971,0.5711344452913898,0.8818237198435742,1.3514311539594035,14.01643798828125,259.7456142486664
