algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.38071859008073805,2.095598162174225,0.0,0.5643468648195267,0.0,1000.0,0.0,0.0,225.73837089538574,0.0,225.73837089538574,0.0,1293.8435728713762,0.0,3.9553306475281715,0.0,1.0,0.0,0.06099342482206297,0.0,1.0,0.0,1.0,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,41.40299433188404
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.9673096016560703,0.5546621872782708,1.8905794253349304,0.0,0.5959764619668325,0.0,1000.0,0.0,0.0,224.05377388000488,0.0,224.05377388000488,0.0,1253.0590769479825,0.0,4.994164655605952,0.0,0.9936957117218727,0.0,0.1466039598652714,0.0,0.9936957117218727,0.0,0.9943081066012383,0.0,0.1466039598652714,0.5112061954640991,0.9943081066012383,0.9936957117218727,10.754581146240234,60.146835693503164
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.0634454375478963,0.6505297822952271,1.6800073378086091,0.0,0.5869832745304814,0.0,1000.0,0.0,0.0,220.6784051965784,0.0,220.6784051965784,0.0,1223.491578242312,0.0,5.465033487037376,0.0,0.9780268755618877,0.0,0.24986532484336488,0.0,0.9780268755618877,0.0,0.9982165407251429,0.0,0.24986532484336488,0.6522728364304367,0.9982165407251429,0.9780268755618877,11.916633880615235,66.06854522508485
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.14603560318941,0.7088793824911117,1.4802114357948304,0.0,0.5797282989536013,0.0,1000.0,0.0,0.0,218.1493077959333,0.0,218.1493077959333,0.0,1236.7891203111317,0.0,6.0348301359585355,0.0,0.9666685324426858,0.0,0.3561613255434919,0.0,0.9666685324426858,0.0,0.9978974142244884,0.0,0.3561613255434919,0.7605003590886037,0.9978974142244884,0.9666685324426858,12.216361236572265,69.26019073742337
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.2516235945369734,0.7500351806879043,1.3000952014923095,0.0,0.5562567687951602,0.0,1000.0,0.0,0.0,215.05998288668118,0.0,215.05998288668118,0.0,1286.7708861218016,0.0,4.816492850963886,0.0,0.9540258059618539,0.0,0.46104373263008325,0.0,0.9540258059618539,0.0,0.9990641199625455,0.0,0.46104373263008325,0.8442152052544029,0.9990641199625455,0.9540258059618539,11.183119110107421,66.91208607833369
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.368062069264882,0.7786865799427033,1.1460390963554383,0.0,0.6989487051963806,0.0,1000.0,0.0,0.0,215.60137176513672,0.0,215.60137176513672,0.0,1397.5823875420524,0.0,5.622425353527069,0.0,0.9553505849083465,0.0,0.5236681682490328,0.0,0.9553505849083465,0.0,0.9855738341808319,0.0,0.5236681682490328,0.8893896079251028,0.9855738341808319,0.9553505849083465,8.62405487060547,55.903295501682095
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.3683558886138574,0.79926518034935,1.0196873407363891,0.0,0.6462737348946658,0.0,1000.0,0.0,0.0,213.94018069180575,0.0,213.94018069180575,0.0,1519.5832515369418,0.0,4.777316559444774,0.0,0.9483479705321156,0.0,0.6009959130402365,0.0,0.9483479705321156,0.0,0.9808527854355898,0.0,0.6009959130402365,0.9379009343949872,0.9808527854355898,0.9483479705321156,9.413367950439453,66.86166306762544
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.407073255817609,0.8134493794441223,0.9188989143371582,0.0,0.6257030121211348,0.0,1000.0,0.0,0.0,211.1195894438645,0.0,211.1195894438645,0.0,1680.3755844345194,0.0,6.391393036677919,0.0,0.9369527748588853,0.0,0.7044999203527134,0.0,0.9369527748588853,0.0,0.9809430899291203,0.0,0.7044999203527134,0.9937882931941643,0.9809430899291203,0.9369527748588853,12.244936187744141,97.46178389720214
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.438974740555219,0.823679978966713,0.8393200196027756,0.0,0.7168082142698353,0.0,1000.0,0.0,0.0,214.79489661907328,0.0,214.79489661907328,0.0,1905.3788490001527,0.0,8.088529923866535,0.0,0.9525031950384516,0.0,0.7838411040832766,0.0,0.9525031950384516,0.0,0.9515234745781997,0.0,0.7838411040832766,1.0320412791883116,0.9515234745781997,0.9525031950384516,12.45810400390625,110.51197324200884
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.5070067239112803,0.8318039774894714,0.7756989979743958,0.0,0.7003027862972684,0.0,1000.0,0.0,0.0,215.76418954354745,0.0,215.76418954354745,0.0,2111.066354390153,0.0,6.2117522027757435,0.0,0.9559462839492974,0.0,0.8581462466235992,0.0,0.9559462839492974,0.0,0.9350301976557132,0.0,0.8581462466235992,1.0611237701649954,0.9350301976557132,0.9559462839492974,11.651266235351562,113.99758313706826
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.5070067239112803,0.8377779808044433,0.7249991359710694,0.0,0.753412066928802,0.0,1000.0,0.0,0.0,208.62735871345765,0.0,208.62735871345765,0.0,2254.5799027293333,0.0,8.911873802062004,0.0,0.9249489014253549,0.0,0.9545095872975785,0.0,0.9249489014253549,0.0,0.9571230257711103,0.0,0.9545095872975785,1.0925944394163858,0.9571230257711103,0.9249489014253549,12.934896240234375,139.78395396921863
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.5526935984960395,0.8431627802848816,0.6834448385238647,0.0,0.8120808074871699,0.0,1000.0,0.0,0.0,207.8223434448242,0.0,207.8223434448242,0.0,2457.4447462423236,0.0,9.353162129720053,0.0,0.9213733278956203,0.0,1.0322803101282458,0.0,0.9213733278956203,0.0,0.9486132303873698,0.0,1.0322803101282458,1.1131721809626125,0.9486132303873698,0.9213733278956203,12.469340606689453,147.4466847745394
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.6006351134205796,0.84740878033638,0.6492326709032059,0.0,0.8101891279220581,0.0,1000.0,0.0,0.0,209.4243896484375,0.0,209.4243896484375,0.0,2708.710663911267,0.0,10.904722007115682,0.0,0.9284269538399259,0.0,1.105865203074587,0.0,0.9284269538399259,0.0,0.9277744650840759,0.0,1.105865203074587,1.1286035702895894,0.9277744650840759,0.9284269538399259,12.56546337890625,162.52263983467606
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.648787139439506,0.850929379105568,0.6206249313354493,0.0,0.8127259137453856,0.0,1000.0,0.0,0.0,209.45125834147134,0.0,209.45125834147134,0.0,2899.1371529612497,0.0,8.10574339054249,0.0,0.9279994290900254,0.0,1.1612136130185489,0.0,0.9279994290900254,0.0,0.9153299508271394,0.0,1.1612136130185489,1.1397587794297064,0.9153299508271394,0.9279994290900254,11.310367950439453,156.55340625990746
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.648787139439506,0.8543113793134689,0.5961388698816299,0.0,0.7755859394868215,0.0,1000.0,0.0,0.0,199.50411393907336,0.0,199.50411393907336,0.0,2988.3065412120177,0.0,4.77044223414527,0.0,0.8839892289592721,0.0,1.2213285933319709,0.0,0.8839892289592721,0.0,0.9542967776457468,0.0,1.2213285933319709,1.1480895245249294,0.9542967776457468,0.8839892289592721,7.18214810180664,107.57903548363264
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.703120003747423,0.8570029768943787,0.575359142780304,0.0,0.8868496405041736,0.0,1000.0,0.0,0.0,202.81042281441066,0.0,202.81042281441066,0.0,3214.228838782929,0.0,7.85388417865919,0.0,0.8991531988287846,0.0,1.2748388965676074,0.0,0.8991531988287846,0.0,0.9235181782556616,0.0,1.2748388965676074,1.157058660167051,0.9235181782556616,0.8991531988287846,9.329279449462891,147.85452658401474
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.8037561274446423,0.8594379799365998,0.5572830483913421,0.0,1.027968971679608,0.0,1000.0,0.0,0.0,201.98327445983887,0.0,201.98327445983887,0.0,3396.086491032216,0.0,12.797807614008585,0.0,0.8960285898736791,0.0,1.3121264986319607,0.0,0.8960285898736791,0.0,0.9143085752924284,0.0,1.3121264986319607,1.167775218233674,0.9143085752924284,0.8960285898736791,9.695197174072266,163.01215156954638
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.8324085596970616,0.8615067776441574,0.5415667140483856,0.0,0.7853701290759173,0.0,1000.0,0.0,0.0,201.27568886496803,0.0,201.27568886496803,0.0,3581.667953536703,0.0,5.83434924212369,0.0,0.8926197882407828,0.0,1.3714897572810385,0.0,0.8926197882407828,0.0,0.9053820019418543,0.0,1.3714897572810385,1.1738082627356523,0.9053820019418543,0.8926197882407828,8.856130310058594,157.59338995561492
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.9921845558609252,0.8634709768295288,0.5277540764808655,0.0,0.8931783359983693,0.0,1000.0,0.0,0.0,202.7221281632133,0.0,202.7221281632133,0.0,3771.049221642299,0.0,8.422016205994979,0.0,0.8991163970311101,0.0,1.4236600717143364,0.0,0.8991163970311101,0.0,0.8841045006461765,0.0,1.4236600717143364,1.1811218447644214,0.8841045006461765,0.8991163970311101,9.325217895507812,173.46826419554574
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,3.176939312934123,0.8651301779747009,0.5155415601730347,0.0,0.8814098022200845,0.0,1000.0,0.0,0.0,194.1422486738725,0.0,194.1422486738725,0.0,3776.7229417610083,0.0,8.704392238096757,0.0,0.8608600600237694,0.0,1.4872089767869043,0.0,0.8608600600237694,0.0,0.9186863113533367,0.0,1.4872089767869043,1.1869610936943291,0.9186863113533367,0.8608600600237694,8.54225894165039,166.17580943748436
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,3.290081317717156,0.8667007786035538,0.5046304253935814,0.0,0.7411061269896371,0.0,1000.0,0.0,0.0,194.16878945486886,0.0,194.16878945486886,0.0,3945.501090446408,0.0,7.021628703389849,0.0,0.8610147938084357,0.0,1.5629887840380179,0.0,0.8610147938084357,0.0,0.9054356749568667,0.0,1.5629887840380179,1.1955148211091342,0.9054356749568667,0.8610147938084357,10.873452209472656,220.94806106499883
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,3.290081317717156,0.8681783797740936,0.4948838702440262,0.0,0.8278129398822784,0.0,1000.0,0.0,0.0,198.76391383579798,0.0,198.76391383579798,0.0,4228.323774336318,0.0,5.862141155061268,0.0,0.8811890543582466,0.0,1.6091041633029755,0.0,0.8811890543582466,0.0,0.8662656545639038,0.0,1.6091041633029755,1.202296055165863,0.8662656545639038,0.8811890543582466,8.348084381103515,177.58959852212533
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,3.290081317717156,0.8693275785446167,0.4862969440817833,0.0,1.0247534896646227,0.0,1000.0,0.0,0.0,196.51711327689034,0.0,196.51711327689034,0.0,4272.5619463235425,0.0,12.748126455715724,0.0,0.871626001988257,0.0,1.6592690093675873,0.0,0.871626001988257,0.0,0.8650312061820712,0.0,1.6592690093675873,1.21161233348686,0.8650312061820712,0.871626001988257,11.004958343505859,239.26346899411837
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,3.333620457680318,0.8704813778400421,0.4783513695001602,0.0,0.8775847440674192,0.0,1000.0,0.0,0.0,190.70220220656623,0.0,190.70220220656623,0.0,4269.93520156476,0.0,6.35638968149821,0.0,0.8458841273595429,0.0,1.7245102850405587,0.0,0.8458841273595429,0.0,0.8852534095446268,0.0,1.7245102850405587,1.213858011316123,0.8852534095446268,0.8458841273595429,8.009492492675781,179.33727846571995
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,3.3634836398847234,0.8714415781497955,0.47128602004051207,0.0,0.9133440956473351,0.0,1000.0,0.0,0.0,192.24755401611327,0.0,192.24755401611327,0.0,4525.664456045068,0.0,5.398798680305481,0.0,0.8510444195820884,0.0,1.7724681926091213,0.0,0.8510444195820884,0.0,0.8649132892489433,0.0,1.7724681926091213,1.2178867443384278,0.8649132892489433,0.8510444195820884,7.6899021606445315,181.02657824180272
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,3.411208776345109,0.8724565774202346,0.46457558035850527,0.0,0.7024733518299303,0.0,1000.0,0.0,0.0,180.46057209215667,0.0,180.46057209215667,0.0,4395.702929543028,0.0,4.4506949249066805,0.0,0.8003590519667946,0.0,1.8391783677123328,0.0,0.8003590519667946,0.0,0.9196282844794424,0.0,1.8391783677123328,1.2171979517682856,0.9196282844794424,0.8003590519667946,6.857501739501953,167.0367113226351
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,3.4658038977209533,0.8733415789604188,0.4585303311944008,0.0,0.853333139961416,0.0,1000.0,0.0,0.0,193.79178688742897,0.0,193.79178688742897,0.0,4810.579031654817,0.0,6.1998702396046035,0.0,0.8577966204190545,0.0,1.8894076739357448,0.0,0.8577966204190545,0.0,0.8281171213496815,0.0,1.8894076739357448,1.2179223352490358,0.8281171213496815,0.8577966204190545,8.526838623046874,211.66547739281197
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,3.527461866748551,0.8741267790794373,0.45311845910549164,0.0,0.902507177912272,0.0,1000.0,0.0,0.0,189.23370009202225,0.0,189.23370009202225,0.0,4803.733251801387,0.0,12.059058230656843,0.0,0.838631093065483,0.0,1.950555737933882,0.0,0.838631093065483,0.0,0.8404689775063441,0.0,1.950555737933882,1.218143666646688,0.8404689775063441,0.838631093065483,9.840152404785156,249.79412909367215
