algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.38071859008073805,2.095598162174225,0.0,0.5643468648195267,0.0,1000.0,0.0,0.0,1.0,0.0,225.73837089538574,0.0,1.0,0.0,3.9553306475281715,0.0,0.06099342482206297,0.0,1.0,0.0,225.73837089538574,0.0,1293.8435728713762,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,41.40299433188404
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.9655014169971647,0.554661787211895,1.890579913854599,0.0,0.5969984581073126,0.0,1000.0,0.0,0.0,0.9956850918623301,0.0,224.50232696533203,0.0,0.9943081066012383,0.0,5.012962460517883,0.0,0.14632353053191846,0.0,0.9956850918623301,0.0,224.50232696533203,0.0,1255.5676865725302,0.0,0.14632353053191846,0.5102225264867998,0.9943081066012383,0.9956850918623301,10.776111694335938,60.267248955481456
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.0552335782131532,0.650527582526207,1.6800086901187896,0.0,0.58910529922556,0.0,1000.0,0.0,0.0,0.9819487132688635,0.0,221.56332397460938,0.0,0.9982146068855569,0.0,5.508929287945783,0.0,0.24880453696908883,0.0,0.9819487132688635,0.0,221.56332397460938,0.0,1228.3947771276846,0.0,0.24880453696908883,0.6494745011039882,0.9982146068855569,0.9819487132688635,11.964419494628906,66.33331796489496
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.114385794392894,0.7088789830207824,1.4802133462429046,0.0,0.5830627488238471,0.0,1000.0,0.0,0.0,0.9724904241756814,0.0,219.46313313075476,0.0,0.9978928331817899,0.0,6.106891529900687,0.0,0.35369573468938265,0.0,0.9724904241756814,0.0,219.46313313075476,0.0,1244.2259802713852,0.0,0.35369573468938265,0.7551386196503911,0.9978928331817899,0.9724904241756814,12.289935455322265,69.67665489519757
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.197210196572081,0.7500337804555893,1.300098670721054,0.0,0.5606440649582789,0.0,1000.0,0.0,0.0,0.9616890633279553,0.0,216.78746971717248,0.0,0.999063661465278,0.0,4.894176978331346,0.0,0.45656991230335997,0.0,0.9616890633279553,0.0,216.78746971717248,0.0,1297.0921677174629,0.0,0.45656991230335997,0.8358094870313104,0.999063661465278,0.9616890633279553,11.272948425292968,67.44879272130807
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.28941938590931,0.7786857806444168,1.1460434465408325,0.0,0.7045043498277664,0.0,1000.0,0.0,0.0,0.9649563836329131,0.0,217.7691963195801,0.0,0.9855692446231842,0.0,5.7199698895215985,0.0,0.5173117868099413,0.0,0.9649563836329131,0.0,217.7691963195801,0.0,1411.6113131808427,0.0,0.5173117868099413,0.8781657804438862,0.9855692446231842,0.9649563836329131,8.710767852783203,56.4644525272337
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.28941938590931,0.7992637803554535,1.0196921780109405,0.0,0.6523487161506306,0.0,1000.0,0.0,0.0,0.9598003345489221,0.0,216.52373990145597,0.0,0.9808489273894917,0.0,4.8797033483331855,0.0,0.5919176614467869,0.0,0.9598003345489221,0.0,216.52373990145597,0.0,1537.9154449480216,0.0,0.5919176614467869,0.9230274488557605,0.9808489273894917,0.9598003345489221,9.527044555664062,67.66827957771294
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.382351304751356,0.8134507795572281,0.9189052351713181,0.0,0.6331341204972103,0.0,1000.0,0.0,0.0,0.950181398562681,0.0,214.10034495386583,0.0,0.980922676365951,0.0,6.552871917856151,0.0,0.691664744222411,0.0,0.950181398562681,0.0,214.10034495386583,0.0,1704.1085014784219,0.0,0.691664744222411,0.9746416496644377,0.980922676365951,0.950181398562681,12.417820007324218,98.83829308574848
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.403119114572337,0.8236743797063828,0.839328786611557,0.0,0.7249090877072565,0.0,1000.0,0.0,0.0,0.9678965596539761,0.0,218.26618904903017,0.0,0.9514901740797634,0.0,8.29801108919341,0.0,0.768323888866663,0.0,0.9678965596539761,0.0,218.26618904903017,0.0,1936.0416000483965,0.0,0.768323888866663,1.010375281360786,0.9514901740797634,0.9678965596539761,12.65943896484375,112.290412802807
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.457972418137803,0.8317979784011841,0.7757082960605621,0.0,0.7081096084029587,0.0,1000.0,0.0,0.0,0.9733310407471855,0.0,219.68805835865163,0.0,0.9350062056824013,0.0,6.363782158604375,0.0,0.8407530860512588,0.0,0.9733310407471855,0.0,219.68805835865163,0.0,2149.346056493202,0.0,0.8407530860512588,1.0383971366511975,0.9350062056824013,0.9733310407471855,11.863155151367188,116.0646870506329
