algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.38071859008073805,2.095598162174225,0.0,0.5643468648195267,0.0,1000.0,0.0,0.0,225.73837089538574,0.0,1293.8435728713762,0.0,225.73837089538574,0.0,1.0,0.0,3.9553306475281715,0.0,1.0,0.0,0.06099342482206297,0.0,1.0,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,41.40299433188404
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.9637672466053575,0.5546613873839379,1.8905804064273835,0.0,0.5980225230256716,0.0,1000.0,0.0,0.0,224.95178286234537,0.0,1258.0813458668747,0.0,224.95178286234537,0.0,0.9943081066012383,0.0,5.031835953394572,0.0,0.9976784547444827,0.0,0.14605232363826576,0.0,0.9976784547444827,0.0,0.14605232363826576,0.5092724569570135,0.9943081066012383,0.9976784547444827,10.797685577392578,60.38790460160999
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.047645846395221,0.6505249829292298,1.6800102393627168,0.0,0.5912375935801754,0.0,1000.0,0.0,0.0,222.4515414767795,0.0,1233.3149373539743,0.0,222.4515414767795,0.0,0.9982137591750534,0.0,5.553177833557129,0.0,0.9858852084513132,0.0,0.24779867766796204,0.0,0.9858852084513132,0.0,0.24779867766796204,0.6468273467209054,0.9982137591750534,0.9858852084513132,12.012383239746093,66.59900661711461
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.085522851648569,0.7088763829469681,1.480216488838196,0.0,0.5864162445068359,0.0,1000.0,0.0,0.0,220.78496388026647,0.0,1251.71912017328,0.0,220.78496388026647,0.0,0.9978878668376377,0.0,6.179780602455139,0.0,0.9783477551814295,0.0,0.35139384484847663,0.0,0.9783477551814295,0.0,0.35139384484847663,0.750153115560348,0.9978878668376377,0.9783477551814295,12.363957977294922,70.09627072970369
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.1478472644211046,0.7500229811668396,1.300103425502777,0.0,0.5650619887388669,0.0,1000.0,0.0,0.0,218.529660151555,0.0,1307.5085623077407,0.0,218.529660151555,0.0,0.9990593676383679,0.0,4.973113619364225,0.0,0.9694175907127549,0.0,0.452436598871902,0.0,0.9694175907127549,0.0,0.452436598871902,0.8280897689394064,0.9990593676383679,0.9694175907127549,11.36354232788086,67.99044524000251
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.2269741463304555,0.778681579709053,1.146048279762268,0.0,0.7100918859243393,0.0,1000.0,0.0,0.0,219.96163482666014,0.0,1425.7612395144197,0.0,219.96163482666014,0.0,0.9855516731739045,0.0,5.819212397933006,0.0,0.974671238980257,0.0,0.5114828854102931,0.0,0.974671238980257,0.0,0.5114828854102931,0.8679613853272377,0.9855516731739045,0.974671238980257,8.798465393066406,57.03044958057678
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.2269741463304555,0.7992623802423477,1.0196962198019028,0.0,0.6585087857463143,0.0,1000.0,0.0,0.0,219.1358379017223,0.0,1556.503096766629,0.0,219.1358379017223,0.0,0.9808575348420576,0.0,4.9844924211502075,0.0,0.9713791173874935,0.0,0.5836363897262281,0.0,0.9713791173874935,0.0,0.5836363897262281,0.9096090488327597,0.9808575348420576,0.9713791173874935,9.641976867675782,68.48613625773167
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.3344212858283173,0.8134435806274414,0.9189113266468049,0.0,0.6406697671988915,0.0,1000.0,0.0,0.0,217.1215425688645,0.0,1728.1300937131166,0.0,217.1215425688645,0.0,0.9809098716439872,0.0,6.7186339477012895,0.0,0.9635895993601773,0.0,0.6795808193077041,0.0,0.9635895993601773,0.0,0.6795808193077041,0.9567673408049762,0.9809098716439872,0.9635895993601773,12.59304946899414,100.23154543536074
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.3759192200738255,0.8236645793914795,0.8393381708860397,0.0,0.7331255304402319,0.0,1000.0,0.0,0.0,221.7927430251549,0.0,1967.2660857266526,0.0,221.7927430251549,0.0,0.951460784879224,0.0,8.514149452077932,0.0,0.9835350259873149,0.0,0.7533385682219154,0.0,0.9835350259873149,0.0,0.7533385682219154,0.9896271411611077,0.951460784879224,0.9835350259873149,12.863979095458985,114.10143297214586
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.421099928941563,0.8317985773086548,0.7757176498174667,0.0,0.7160369334397493,0.0,1000.0,0.0,0.0,223.68178530092592,0.0,2188.3538243737385,0.0,223.68178530092592,0.0,0.9349893883422569,0.0,6.520922554863824,0.0,0.9910252785143199,0.0,0.8219689490675152,0.0,0.9910252785143199,0.0,0.8219689490675152,1.0137918164415953,0.9349893883422569,0.9910252785143199,12.07881640625,118.17110651618187
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.421099928941563,0.8377589800357819,0.7250213701725006,0.0,0.7717903256416321,0.0,1000.0,0.0,0.0,217.1636446060673,0.0,2346.6582350737267,0.0,217.1636446060673,0.0,0.9570170083353596,0.0,9.391195028058943,0.0,0.9627946486088658,0.0,0.9119020993761482,0.0,0.9627946486088658,0.0,0.9119020993761482,1.0409806175272462,0.9570170083353596,0.9627946486088658,13.464145965576172,145.49281057457102
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.434563701052643,0.8431511801481247,0.6834728918075561,0.0,0.8340256651242574,0.0,1000.0,0.0,0.0,217.19205627441406,0.0,2567.739536203892,0.0,217.19205627441406,0.0,0.9485096275806427,0.0,9.953050470352172,0.0,0.9629137453128869,0.0,0.9853647338020285,0.0,0.9629137453128869,0.0,0.9853647338020285,1.0597222885173432,0.9485096275806427,0.9629137453128869,13.031523376464843,154.06437217223353
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.434563701052643,0.8473873800039291,0.6492650626897812,0.0,0.8321681519349416,0.0,1000.0,0.0,0.0,219.73971862792968,0.0,2841.814144204007,0.0,219.73971862792968,0.0,0.9276876191298167,0.0,11.614532248179119,0.0,0.9741572120055227,0.0,1.0558274391600244,0.0,0.9741572120055227,0.0,1.0558274391600244,1.074709817256628,0.9276876191298167,0.9741572120055227,13.18438311767578,170.50884865224043
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.4908998809180884,0.8509157791137695,0.6206621383428573,0.0,0.8371402555041842,0.0,1000.0,0.0,0.0,220.66387713396992,0.0,3053.626891547971,0.0,220.66387713396992,0.0,0.9151675347928647,0.0,8.714768480371546,0.0,0.9776784611084793,0.0,1.1067945385650064,0.0,0.9776784611084793,0.0,1.1067945385650064,1.0832122188708924,0.9151675347928647,0.9776784611084793,11.915849365234376,164.89585214359042
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.4908998809180884,0.8542965787649155,0.5961730754375458,0.0,0.7992633779843649,0.0,1000.0,0.0,0.0,210.99406941731772,0.0,3160.0187466552943,0.0,210.99406941731772,0.0,0.9543018175495995,0.0,5.0923044549094305,0.0,0.9349004550983414,0.0,1.1621716151406005,0.0,0.9349004550983414,0.0,1.1621716151406005,1.0889796971964663,0.9543018175495995,0.9349004550983414,7.595786499023437,113.7606748795906
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.4908998809180884,0.8569807771444321,0.575397720694542,0.0,0.9118798206681791,0.0,1000.0,0.0,0.0,215.39219864555028,0.0,3413.170869437464,0.0,215.39219864555028,0.0,0.9233154162116672,0.0,8.409146267434824,0.0,0.9549335612601794,0.0,1.2099713934528895,0.0,0.9549335612601794,0.0,1.2099713934528895,1.094061690425544,0.9233154162116672,0.9549335612601794,9.908041137695312,157.00585999412334
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.4908998809180884,0.8594125800132751,0.5573240476846695,0.0,1.0527868866920471,0.0,1000.0,0.0,0.0,215.37896347045898,0.0,3619.8039254110467,0.0,215.37896347045898,0.0,0.9140756006042162,0.0,13.480434040228525,0.0,0.955454252303998,0.0,1.2413380069393556,0.0,0.955454252303998,0.0,1.2413380069393556,1.1001744070123707,0.9140756006042162,0.955454252303998,10.338190246582032,173.75058841973026
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.4908998809180884,0.8614837777614593,0.5416088125705719,0.0,0.8131160993467678,0.0,1000.0,0.0,0.0,215.46589105779475,0.0,3833.8850880805835,0.0,215.46589105779475,0.0,0.9052428982474587,0.0,6.354117556051775,0.0,0.9555506706294087,0.0,1.2933371865052,0.0,0.9555506706294087,0.0,1.2933371865052,1.1011076477150326,0.9052428982474587,0.9555506706294087,9.48049920654297,168.69094387554568
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.5301264240117307,0.8634471776485443,0.5277991789579392,0.0,0.9197986268478892,0.0,1000.0,0.0,0.0,217.87061011272928,0.0,4052.069336190056,0.0,217.87061011272928,0.0,0.8840318684992583,0.0,9.076646307240361,0.0,0.9663031322910159,0.0,1.3366480876681408,0.0,0.9663031322910159,0.0,1.3366480876681408,1.1016454011866617,0.8840318684992583,0.9663031322910159,10.022048065185547,186.3951894647426
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,2.589675222274919,0.8650997786521911,0.5155934210419655,0.0,0.9187365932898088,0.0,1000.0,0.0,0.0,209.50603207674894,0.0,4073.7864972325438,0.0,209.50603207674894,0.0,0.9185116263953123,0.0,9.46965206753124,0.0,0.9289858386842045,0.0,1.3891931097171615,0.0,0.9289858386842045,0.0,1.3891931097171615,1.098949574585086,0.9185116263953123,0.9289858386842045,9.218265411376953,179.24660587823195
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,2.6919256035519283,0.866664779663086,0.5046837446689606,0.0,0.7751140509332929,0.0,1000.0,0.0,0.0,210.37257875714982,0.0,4273.693560729224,0.0,210.37257875714982,0.0,0.9052689501217434,0.0,7.833330035209656,0.0,0.9328682647422161,0.0,1.449697397605434,0.0,0.9328682647422161,0.0,1.449697397605434,1.095353300200959,0.9052689501217434,0.9328682647422161,11.78086441040039,239.32683940083658
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,2.6919256035519283,0.8681415784358978,0.4949414958953857,0.0,0.8582297038464319,0.0,1000.0,0.0,0.0,216.25134059361048,0.0,4598.2197427860565,0.0,216.25134059361048,0.0,0.865898296946571,0.0,6.4105794089181085,0.0,0.9587172235986184,0.0,1.4851330070497752,0.0,0.9587172235986184,0.0,1.4851330070497752,1.093808204454362,0.865898296946571,0.9587172235986184,9.082556304931641,193.12522919701436
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,2.6919256035519283,0.8692923780679703,0.4863727087974548,0.0,1.0605917732630457,0.0,1000.0,0.0,0.0,214.70164217267717,0.0,4663.464119036938,0.0,214.70164217267717,0.0,0.8644631568874631,0.0,13.74440746647971,0.0,0.9522816173759832,0.0,1.5217849503123488,0.0,0.9522816173759832,0.0,1.5217849503123488,1.0922772135490049,0.8644631568874631,0.9522816173759832,12.023291961669923,261.1539906660686
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,2.705078380872678,0.8704481784105301,0.47842937034368516,0.0,0.9117013542425065,0.0,1000.0,0.0,0.0,209.11036391485305,0.0,4678.2935514861265,0.0,209.11036391485305,0.0,0.885087251663208,0.0,6.965233734675816,0.0,0.9275358334841728,0.0,1.5733706060505743,0.0,0.9275358334841728,0.0,1.5733706060505743,1.0855663981845936,0.885087251663208,0.9275358334841728,8.782635284423828,196.48832916241733
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,2.7539126969650387,0.8714041782617569,0.4713530075550079,0.0,0.948566660284996,0.0,1000.0,0.0,0.0,211.6520248413086,0.0,4981.183516314655,0.0,211.6520248413086,0.0,0.8647316560149193,0.0,5.993553912639618,0.0,0.9369447618720651,0.0,1.6093370943068326,0.0,0.9369447618720651,0.0,1.6093370943068326,1.0812100144361902,0.8647316560149193,0.9369447618720651,8.466080993652344,199.2473406525862
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,2.8431109676472155,0.8724057782888412,0.46463440531492234,0.0,0.7470510947076898,0.0,1000.0,0.0,0.0,199.47473706697164,0.0,4857.827098009938,0.0,199.47473706697164,0.0,0.9194389456196835,0.0,5.063695154691997,0.0,0.8846885657995347,0.0,1.6622647313574883,0.0,0.8846885657995347,0.0,1.6622647313574883,1.07219517724609,0.9194389456196835,0.8846885657995347,7.5800400085449215,184.59742972437766
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,2.8598836781838877,0.8733141787052154,0.4585895017385483,0.0,0.8874562951651487,0.0,1000.0,0.0,0.0,215.1180621060458,0.0,5338.04528726383,0.0,215.1180621060458,0.0,0.8276440663771196,0.0,6.860355442220515,0.0,0.9521957388194981,0.0,1.7002689995825282,0.0,0.9521957388194981,0.0,1.7002689995825282,1.0662988818185508,0.8276440663771196,0.9521957388194981,9.465194732666015,234.8739926396085
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,2.9166645221071055,0.8740959782600403,0.4531760614514351,0.0,0.935628932255965,0.0,1000.0,0.0,0.0,210.84632110595703,0.0,5355.408939176099,0.0,210.84632110595703,0.0,0.840298790198106,0.0,13.070971268873949,0.0,0.9344122043627686,0.0,1.7453109453118136,0.0,0.9344122043627686,0.0,1.7453109453118136,1.0584172508553054,0.840298790198106,0.9344122043627686,10.964008697509765,278.48126483715714
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,3.007488452089488,0.8748813791275024,0.44808691054582594,0.0,0.842140507918817,0.0,1000.0,0.0,0.0,208.64651150173611,0.0,5498.919332496047,0.0,208.64651150173611,0.0,0.8432864833761144,0.0,8.65658857204296,0.0,0.9245786199670818,0.0,1.791718305193797,0.0,0.9245786199670818,0.0,1.791718305193797,1.0508562680830347,0.8432864833761144,0.9245786199670818,11.26691162109375,296.94164395478657
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,3.04635158010241,0.8755905778408051,0.44337237274646757,0.0,0.82204127737454,0.0,1000.0,0.0,0.0,207.00336710611978,0.0,5554.188892373388,0.0,207.00336710611978,0.0,0.8417734645661854,0.0,6.325995660963512,0.0,0.9184112411831745,0.0,1.8214629745843878,0.0,0.9184112411831745,0.0,1.8214629745843878,1.0475542843355172,0.8417734645661854,0.9184112411831745,8.694141418457031,233.27593347968235
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,3.100161823503406,0.8761939784288406,0.43922423768043517,0.0,0.9996149213984609,0.0,1000.0,0.0,0.0,208.4482913017273,0.0,5734.598340094117,0.0,208.4482913017273,0.0,0.8258154038339853,0.0,14.196379154920578,0.0,0.923646317379367,0.0,1.8672457834250726,0.0,0.923646317379367,0.0,1.8672457834250726,1.0421832202342731,0.8258154038339853,0.923646317379367,13.340690643310547,367.01429376602346
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,3.2645830072462134,0.8767097789049149,0.43534787982702255,0.0,1.1143392970164616,0.0,1000.0,0.0,0.0,208.11282942030164,0.0,5751.1676645586585,0.0,208.11282942030164,0.0,0.8177631563610501,0.0,10.574412716759575,0.0,0.9225702762432932,0.0,1.8866282525025724,0.0,0.9225702762432932,0.0,1.8866282525025724,1.0428022868811209,0.8177631563610501,0.9225702762432932,7.492061859130859,207.04203592411173
